check,value,limit,unit,passed
失败窗口原样复算最大差,0.0,1e-06,数值原单位,True
81段供需平衡最大残差,2.2737367544323206e-13,1e-06,kWh,True
81段SOC递推最大残差,9.094947017729282e-13,1e-06,kWh,True
81段实际供需与附件2最大差,0.0,0.0,kW,True
81段普通计划变更最大量,0.0,0.0,kWh,True
81段最大充放电重叠,2.3836340308965493e-11,1e-06,kWh,True
81段最大相邻功率变化,1000.0000000000007,1000.0,kW,True
第二层失败窗口能量/SOC最大残差,7.220665093499467e-13,1e-06,kWh,True
第二层最大相邻功率变化,1000.0,1000.0,kW,True
第一层失败窗口能量/SOC最大残差,8.242295734817162e-13,1e-06,kWh,True
第一层最大相邻功率变化,1000.0,1000.0,kW,True
第二层未来节点最大充放电重叠,566.5937811694077,1e-06,kWh,False
