slot,hour,interval,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,start_soc_kwh,end_soc_kwh,net_power_kw,planned_cost,emergency_cost
0,0.0,00:00—00:10,667.2623518437259,195.45999999999995,0.0,0.0,1421.7991105135516,1607.2287479505048,1172.7599999999998,283.4530470632148,0.0
1,0.16666666666666666,00:10—00:20,826.049069490131,362.1266666666666,0.0,0.0,1607.2287479505048,1950.772268395877,2172.7599999999998,350.6578299985606,0.0
2,0.3333333333333333,00:20—00:30,901.7626921369279,441.39525275657024,0.0,0.0,1950.772268395877,2369.5165725248203,2648.3715165394215,384.9624932732545,0.0
3,0.5,00:30—00:40,935.1249359136943,441.39525275657024,0.0,0.0,2369.5165725248203,2788.2608766537633,2648.3715165394215,399.48537262233026,0.0
4,0.6666666666666666,00:40—00:50,942.53122659919,441.39525275657024,0.0,0.0,2788.2608766537633,3207.0051807827062,2648.3715165394215,402.555086880514,0.0
5,0.8333333333333334,00:50—01:00,926.627010723367,441.39525275657024,0.0,0.0,3207.0051807827062,3625.7494849116492,2648.3715165394215,397.05967409496276,0.0
6,1.0,01:00—01:10,948.5202289352931,441.39525275657024,0.0,0.0,3625.7494849116492,4044.493789040592,2648.3715165394215,408.9070706940048,0.0
7,1.1666666666666667,01:10—01:20,945.7577332805572,441.395252756571,0.0,0.0,4044.493789040592,4463.238093169536,2648.371516539426,406.86497685729574,0.0
8,1.3333333333333333,01:20—01:30,923.7517758365873,441.3952527565705,0.0,0.0,4463.238093169536,4881.98239729848,2648.3715165394233,395.2733848804757,0.0
9,1.5,01:30—01:40,952.2805240793034,441.3952527565705,0.0,0.0,4881.98239729848,5300.726701427423,2648.3715165394233,410.6233619829957,0.0
10,1.6666666666666667,01:40—01:50,963.5073286933991,441.3952527565705,0.0,0.0,5300.726701427423,5719.471005556366,2648.3715165394233,417.48772552284987,0.0
11,1.8333333333333333,01:50—02:00,946.7469604966166,441.3952527565705,0.0,0.0,5719.471005556366,6138.21530968531,2648.3715165394233,408.1426146700914,0.0
12,2.0,02:00—02:10,960.801107575993,441.3952527565705,0.0,0.0,6138.21530968531,6556.959613814253,2648.3715165394233,412.4719154823738,0.0
13,2.1666666666666665,02:10—02:20,973.4576189415957,441.3952527565705,0.0,0.0,6556.959613814253,6975.703917943197,2648.3715165394233,420.923074430346,0.0
14,2.3333333333333335,02:20—02:30,966.1222151838222,441.3952527565705,0.0,0.0,6975.703917943197,7394.44822207214,2648.3715165394233,421.90557137077514,0.0
15,2.5,02:30—02:40,956.8306062966333,441.39525275656956,0.0,0.0,7394.44822207214,7813.192526201083,2648.3715165394174,416.02994761777614,0.0
16,2.6666666666666665,02:40—02:50,959.8860310648336,441.39525275656956,0.0,0.0,7813.192526201083,8231.936830330025,2648.3715165394174,416.11059446660533,0.0
17,2.8333333333333335,02:50—03:00,972.4480954996029,441.39525275656956,0.0,0.0,8231.936830330025,8650.681134458968,2648.3715165394174,423.69563520917694,0.0
18,3.0,03:00—03:10,979.1700768898859,441.395252756571,0.0,0.0,8650.681134458968,9069.425438587912,2648.371516539426,428.28899163163607,0.0
19,3.1666666666666665,03:10—03:20,977.9320424453829,441.3952527565711,0.0,0.0,9069.425438587912,9488.169742716856,2648.371516539427,427.45409575287687,0.0
20,3.3333333333333335,03:20—03:30,971.3212542279871,441.39525275657115,0.0,0.0,9488.169742716856,9906.9140468458,2648.371516539427,423.1075383417112,0.0
21,3.5,03:30—03:40,965.2509810213778,441.39525275657115,0.0,0.0,9906.9140468458,10325.658350974745,2648.371516539427,420.17375203860576,0.0
22,3.6666666666666665,03:40—03:50,864.8976345923522,333.3333333333333,0.0,0.0,10325.658350974745,10641.886116991584,2000.0,377.0953686822656,0.0
23,3.8333333333333335,03:50—04:00,710.4990954557999,166.6666666666905,2.3836340308965493e-11,0.0,10641.886116991584,10800.0,1000.0,311.0565039905492,0.0
24,4.0,04:00—04:10,538.6995197974892,0.0,-0.0,0.0,10800.0,10800.0,0.0,237.081658662875,0.0
25,4.166666666666667,04:10—04:20,539.8584743554147,0.0,-0.0,0.0,10800.0,10800.0,0.0,236.94388439459152,0.0
26,4.333333333333333,04:20—04:30,553.7784768962438,0.0,-0.0,0.0,10800.0,10800.0,0.0,241.6689273175208,0.0
27,4.5,04:30—04:40,563.4693600359197,0.0,-0.0,0.0,10800.0,10800.0,0.0,247.53208986377956,0.0
28,4.666666666666667,04:40—04:50,571.2356532278428,0.0,-0.0,0.0,10800.0,10800.0,0.0,252.6004058573521,0.0
29,4.833333333333333,04:50—05:00,571.0065787122581,0.0,-0.0,0.0,10800.0,10800.0,0.0,250.95739134403746,0.0
30,5.0,05:00—05:10,553.7727307696802,0.0,-0.0,0.0,10800.0,10800.0,0.0,239.9497242425024,0.0
31,5.166666666666667,05:10—05:20,553.8670993565025,-0.0,0.0,0.0,10800.0,10800.0,-0.0,245.86160540435148,0.0
32,5.333333333333333,05:20—05:30,517.9726880343261,0.0,60.805777054500446,0.0,10800.0,10735.905083203792,-364.8346623270027,222.78005312356365,0.0
33,5.5,05:30—05:40,371.03051522206306,0.0,227.4724437211671,0.0,10735.905083203792,10496.128074176007,-1364.8346623270027,137.76363030195202,0.0
34,5.666666666666667,05:40—05:50,190.59235746394697,0.0,394.1391103878338,0.0,10496.128074176007,10080.668972916646,-2364.834662327003,108.79011764042093,0.0
35,5.833333333333333,05:50—06:00,0.0,0.0,510.98333333333335,0.0,10080.668972916646,9542.045246343856,-3065.9,0.0,0.0
36,6.0,06:00—06:10,0.0,0.0,535.1871833333332,0.0,9542.045246343856,8977.90842172271,-3211.1230999999993,0.0,0.0
37,6.166666666666667,06:10—06:20,0.0,0.0,535.1871833333332,0.0,8977.90842172271,8413.771597101564,-3211.1230999999993,0.0,0.0
38,6.333333333333333,06:20—06:30,0.0,0.0,535.1871833333332,0.0,8413.771597101564,7849.634772480418,-3211.1230999999993,0.0,0.0
39,6.5,06:30—06:40,0.0,0.0,535.1871833333332,0.0,7849.634772480418,7285.497947859272,-3211.1230999999993,0.0,0.0
40,6.666666666666667,06:40—06:50,0.0,0.0,551.4800833333333,0.0,7285.497947859272,6704.186898675007,-3308.8804999999998,0.0,0.0
41,6.833333333333333,06:50—07:00,0.0,0.0,552.0416426685865,2.3998080153587716e-05,6704.186898675007,6122.283913977165,-3312.249856011519,0.0,0.00010000000000000002
42,7.0,07:00—07:10,0.0,0.0,514.5580499999999,0.0,6122.283913977165,5579.892105185564,-3087.348299999999,0.0,0.0
43,7.166666666666667,07:10—07:20,0.0,0.0,502.0887938366459,0.0,5579.892105185564,5050.64404646206,-3012.5327630198753,0.0,0.0
44,7.333333333333333,07:20—07:30,0.0,0.0,451.3445718174339,0.0,5050.64404646206,4574.885094296549,-2708.0674309046035,0.0,0.0
45,7.5,07:30—07:40,0.0,0.0,382.75120471744214,0.0,4574.885094296549,4171.429899603048,-2296.507228304653,0.0,0.0
46,7.666666666666667,07:40—07:50,0.0,0.0,361.16134999999997,0.0,4171.429899603048,3790.732409995964,-2166.9681,0.0,0.0
47,7.833333333333333,07:50—08:00,0.0,0.0,299.92291666666665,0.0,3790.732409995964,3474.5858969467836,-1799.5375,0.0,0.0
48,8.0,08:00—08:10,0.0,0.0,242.18727758923842,0.0,3474.5858969467836,3219.2980911143013,-1453.1236655354305,0.0,0.0
49,8.166666666666666,08:10—08:20,0.0,0.0,196.9825830109039,0.0,3219.2980911143013,3011.6602172150865,-1181.8954980654235,0.0,0.0
50,8.333333333333334,08:20—08:30,0.0,0.0,142.80742121226814,0.0,3011.6602172150865,2861.1279779464826,-856.8445272736088,0.0,0.0
51,8.5,08:30—08:40,0.0,0.0,137.33763082460047,0.0,2861.1279779464826,2716.3614039941203,-824.0257849476028,0.0,0.0
52,8.666666666666666,08:40—08:50,0.0,0.0,137.33763082460047,0.0,2716.3614039941203,2571.594830041758,-824.0257849476028,0.0,0.0
53,8.833333333333334,08:50—09:00,0.0,0.0,137.33763082460047,0.0,2571.594830041758,2426.828256089396,-824.0257849476028,0.0,0.0
54,9.0,09:00—09:10,0.0,0.0,96.15984384093561,0.0,2426.828256089396,2325.466880761572,-576.9590630456137,0.0,0.0
55,9.166666666666666,09:10—09:20,0.0,0.0,36.30368065046241,0.0,2325.466880761572,2287.1994413272905,-217.82208390277447,0.0,0.0
56,9.333333333333334,09:20—09:30,0.0,0.0,27.190722848458943,0.0,2287.1994413272905,2258.5379028514535,-163.14433709075368,0.0,0.0
57,9.5,09:30—09:40,0.0,0.0,9.657459981400885,0.0,2258.5379028514535,2248.358046200402,-57.944759888405315,0.0,0.0
58,9.666666666666666,09:40—09:50,0.0,40.532636567314356,0.0,0.0,2248.358046200402,2286.8106815377646,243.19581940388613,0.0,0.0
59,9.833333333333334,09:50—10:00,0.0,85.73897989330969,0.0,0.0,2286.8106815377646,2368.1498197544365,514.4338793598582,0.0,0.0
60,10.0,10:00—10:10,0.0,113.04734606311634,0.0,0.0,2368.1498197544365,2475.3959488534515,678.284076378698,0.0,0.0
61,10.166666666666666,10:10—10:20,0.0,130.67524789344012,0.0,0.0,2475.3959488534515,2599.365373998569,784.0514873606407,0.0,0.0
62,10.333333333333334,10:20—10:30,0.0,153.23370644740467,0.0,0.0,2599.365373998569,2744.735632003597,919.4022386844281,0.0,0.0
63,10.5,10:30—10:40,0.0,165.1794400337141,0.0,0.0,2744.735632003597,2901.4386079449177,991.0766402022846,0.0,0.0
64,10.666666666666666,10:40—10:50,0.0,168.01655930416928,0.0,0.0,2901.4386079449177,3060.8331115526967,1008.0993558250157,0.0,0.0
65,10.833333333333334,10:50—11:00,0.0,288.92366046285264,0.0,0.0,3060.8331115526967,3334.9301626454226,1733.541962777116,0.0,0.0
66,11.0,11:00—11:10,103.88518556910651,288.92366046285264,0.0,0.0,3334.9301626454226,3609.0272137381485,1733.541962777116,48.43127351231745,0.0
67,11.166666666666666,11:10—11:20,62.85975982501361,455.5903271295194,0.0,0.0,3609.0272137381485,4041.238147839293,2733.5419627771166,31.473881744384318,0.0
68,11.333333333333334,11:20—11:30,195.69936995222707,551.935208416112,0.0,0.0,4041.238147839293,4564.849861669688,3311.6112504966723,94.46408587594001,0.0
69,11.5,11:30—11:40,372.4996736240283,551.935208416112,0.0,0.0,4564.849861669688,5088.461575500083,3311.6112504966723,178.24109382909754,0.0
70,11.666666666666666,11:40—11:50,512.6165394275416,551.935208416112,0.0,0.0,5088.461575500083,5612.0732893304785,3311.6112504966723,238.9818306811199,0.0
71,11.833333333333334,11:50—12:00,512.8898172971484,551.935208416112,0.0,0.0,5612.0732893304785,6135.685003160874,3311.6112504966723,227.31276702609617,0.0
72,12.0,12:00—12:10,555.9948644462047,551.935208416112,0.0,0.0,6135.685003160874,6659.296716991269,3311.6112504966723,245.2493347072209,0.0
73,12.166666666666666,12:10—12:20,580.8977874823802,551.935208416112,0.0,0.0,6659.296716991269,7182.908430821664,3311.6112504966723,264.3665830832312,0.0
74,12.333333333333334,12:20—12:30,451.74775999800505,551.935208416112,0.0,0.0,7182.908430821664,7706.52014465206,3311.6112504966723,201.61502528710963,0.0
75,12.5,12:30—12:40,265.1718296733,551.9352084161048,0.0,0.0,7706.52014465206,8230.131858482448,3311.611250496629,109.0651735446283,0.0
76,12.666666666666666,12:40—12:50,123.8173895583362,400.6418215042745,0.0,0.0,8230.131858482448,8610.214063044088,2403.850929025647,70.35304074704663,0.0
77,12.833333333333334,12:50—13:00,0.0,274.7942220894097,0.0,0.0,8610.214063044088,8870.906751941095,1648.7653325364581,0.0,0.0
78,13.0,13:00—13:10,0.0,251.58894871135985,0.0,0.0,8870.906751941095,9109.584985557649,1509.5336922681593,0.0,0.0
79,13.166666666666666,13:10—13:20,0.0,232.6386571675239,0.0,0.0,9109.584985557649,9330.285394093378,1395.8319430051433,0.0,0.0
80,13.333333333333334,13:20—13:30,0.0,232.6386571675239,0.0,0.0,9330.285394093378,9550.985802629108,1395.8319430051433,0.0,0.0
