stage,slot,hour,interval,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,end_soc_kwh,power_kw,overlap_kwh
第一层·费用,81,13.5,13:30—13:40,0.0,147.93801494838786,0.0,0.0,244.53770171827878,9691.33212655739,887.6280896903272,0.0
第一层·费用,82,13.666666666666666,13:40—13:50,0.0,241.27058348253937,0.0,0.0,0.0,9920.221499418178,1447.6235008952362,0.0
第一层·费用,83,13.833333333333334,13:50—14:00,0.0,245.75250849726717,0.0,0.0,0.0,10153.362799683551,1474.515050983603,0.0
第一层·费用,84,14.0,14:00—14:10,0.0,211.82914249765864,0.0,0.0,0.0,10354.321569211443,1270.9748549859519,0.0
第一层·费用,85,14.166666666666666,14:10—14:20,0.0,174.06257594977833,0.0,0.0,0.0,10519.451827830646,1044.37545569867,0.0
第一层·费用,86,14.333333333333334,14:20—14:30,0.0,141.59401018285658,0.0,0.0,0.0,10653.779700395116,849.5640610971395,0.0
第一层·费用,87,14.5,14:30—14:40,0.0,91.17486439350705,0.0,0.0,0.0,10740.275771447257,547.0491863610423,0.0
第一层·费用,88,14.666666666666666,14:40—14:50,0.0,51.88696591308909,0.0,0.0,0.0,10789.50006939552,311.32179547853457,0.0
第一层·费用,89,14.833333333333334,14:50—15:00,0.0,11.067898661288305,0.0,0.0,0.0,10800.0,66.40739196772984,0.0
第一层·费用,90,15.0,15:00—15:10,72.12906312746031,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,91,15.166666666666666,15:10—15:20,128.72670693030287,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,92,15.333333333333334,15:20—15:30,143.85804544164571,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,93,15.5,15:30—15:40,172.02826603254613,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,94,15.666666666666666,15:40—15:50,217.71214034433302,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,95,15.833333333333334,15:50—16:00,260.1772192815336,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,96,16.0,16:00—16:10,282.314089919597,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,97,16.166666666666668,16:10—16:20,326.4840274330113,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,98,16.333333333333332,16:20—16:30,400.62767266062383,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,99,16.5,16:30—16:40,460.24436949850644,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,100,16.666666666666668,16:40—16:50,449.9459021607527,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,101,16.833333333333332,16:50—17:00,417.00593521517976,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,102,17.0,17:00—17:10,462.37461640515517,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,103,17.166666666666668,17:10—17:20,482.82793812588955,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,104,17.333333333333332,17:20—17:30,467.63382067921475,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第一层·费用,105,17.5,17:30—17:40,360.12936116106056,0.0,115.32323723784378,0.0,0.0,10678.438634394823,-691.9394234270627,0.0
第一层·费用,106,17.666666666666668,17:40—17:50,197.98568382007767,0.0,281.9899039045104,0.0,0.0,10381.195176558069,-1691.9394234270626,0.0
第一层·费用,107,17.833333333333332,17:50—18:00,21.71064355145893,0.0,448.6565705711771,0.0,0.0,9908.269626489739,-2691.9394234270626,0.0
第一层·费用,108,18.0,18:00—18:10,0.0,0.0,472.6104806536713,0.0,0.0,9410.09443817889,-2835.662883922028,0.0
第一层·费用,109,18.166666666666668,18:10—18:20,0.0,0.0,485.71482011980345,0.0,0.0,8898.106063219704,-2914.288920718821,0.0
第一层·费用,110,18.333333333333332,18:20—18:30,0.0,0.0,498.17634332955106,0.0,0.0,8372.982089441233,-2989.0580599773066,0.0
第一层·费用,111,18.5,18:30—18:40,0.0,0.0,502.5954865092816,0.0,0.0,7843.199929744647,-3015.57291905569,0.0
第一层·费用,112,18.666666666666668,18:40—18:50,0.0,0.0,518.1595510159909,0.0,0.0,7297.011805551066,-3108.9573060959456,0.0
第一层·费用,113,18.833333333333332,18:50—19:00,0.0,0.0,523.25001928979,0.0,0.0,6745.457856656807,-3139.50011573874,0.0
第一层·费用,114,19.0,19:00—19:10,0.0,0.0,476.1304255789567,0.0,0.0,6243.572320611875,-2856.7825534737403,0.0
第一层·费用,115,19.166666666666668,19:10—19:20,0.0,0.0,441.62618033947916,0.0,0.0,5778.057452534199,-2649.757082036875,0.0
第一层·费用,116,19.333333333333332,19:20—19:30,0.0,0.0,448.3848126096623,0.0,0.0,5305.418360509426,-2690.3088756579737,0.0
第一层·费用,117,19.5,19:30—19:40,0.0,0.0,467.9630294127033,0.0,0.0,4812.142015943922,-2807.77817647622,0.0
第一层·费用,118,19.666666666666668,19:40—19:50,0.0,0.0,490.09280658991975,0.0,0.0,4295.538838047747,-2940.5568395395185,0.0
第一层·费用,119,19.833333333333332,19:50—20:00,0.0,0.0,506.4322610583125,0.0,0.0,3761.712362869993,-3038.5935663498753,0.0
第一层·费用,120,20.0,20:00—20:10,0.0,0.0,506.0355824279892,0.0,0.0,3228.3040236825514,-3036.2134945679354,0.0
第一层·费用,121,20.166666666666668,20:10—20:20,0.0,0.0,498.48120446374696,0.0,0.0,2702.858698052707,-2990.887226782482,0.0
第一层·费用,122,20.333333333333332,20:20—20:30,0.0,0.0,488.5578561804583,0.0,0.0,2187.8734999529674,-2931.34713708275,0.0
第一层·费用,123,20.5,20:30—20:40,0.0,0.0,479.0596966640285,0.0,0.0,1682.9002410704018,-2874.358179984171,0.0
第一层·费用,124,20.666666666666668,20:40—20:50,189.52203981846623,0.0,312.3930299973618,0.0,0.0,1353.6090744194125,-1874.3581799841709,0.0
第一层·费用,125,20.833333333333332,20:50—21:00,390.1490205884858,0.0,145.72636333069516,0.0,0.0,1200.0,-874.358179984171,0.0
第一层·费用,126,21.0,21:00—21:10,521.2709050207542,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,127,21.166666666666668,21:10—21:20,487.7454778412955,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,128,21.333333333333332,21:20—21:30,476.9556760303231,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,129,21.5,21:30—21:40,499.55067614638585,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,130,21.666666666666668,21:40—21:50,489.10894303354195,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,131,21.833333333333332,21:50—22:00,440.92313871085184,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,132,22.0,22:00—22:10,418.46532414605014,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,133,22.166666666666668,22:10—22:20,434.02463112376614,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,134,22.333333333333332,22:20—22:30,460.025846483862,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,135,22.5,22:30—22:40,455.7873495739832,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,136,22.666666666666668,22:40—22:50,433.37232586808386,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,137,22.833333333333332,22:50—23:00,414.6507140433703,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,138,23.0,23:00—23:10,413.52385437411886,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,139,23.166666666666668,23:10—23:20,427.87948260616264,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,140,23.333333333333332,23:20—23:30,442.1328537349226,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,141,23.5,23:30—23:40,448.0479331169548,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,142,23.666666666666668,23:40—23:50,503.1952556665034,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第一层·费用,143,23.833333333333332,23:50—24:00,588.3616202351159,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
第二层·平稳性,81,13.5,13:30—13:40,0.0,232.6386571675239,0.0,0.0,159.83705949914275,9771.686211164837,1395.8319430051433,0.0
第二层·平稳性,82,13.666666666666666,13:40—13:50,0.0,232.6386571675239,0.0,0.0,8.631926315015477,9992.386619700566,1395.8319430051433,0.0
第二层·平稳性,83,13.833333333333334,13:50—14:00,0.0,232.6386571675239,0.0,0.0,13.113851329743284,10213.087028236296,1395.8319430051433,0.0
第二层·平稳性,84,14.0,14:00—14:10,0.0,211.82914249765864,0.0,0.0,0.0,10414.045797764187,1270.9748549859519,0.0
第二层·平稳性,85,14.166666666666666,14:10—14:20,0.0,740.656357119186,566.5937811694077,0.0,0.0,10519.451827830646,1044.3754556986698,566.5937811694077
第二层·平稳性,86,14.333333333333334,14:20—14:30,0.0,141.59401018285658,0.0,0.0,0.0,10653.779700395116,849.5640610971395,0.0
第二层·平稳性,87,14.5,14:30—14:40,0.0,91.17486439350705,0.0,0.0,0.0,10740.275771447257,547.0491863610423,0.0
第二层·平稳性,88,14.666666666666666,14:40—14:50,0.0,51.88696591308909,0.0,0.0,0.0,10789.50006939552,311.32179547853457,0.0
第二层·平稳性,89,14.833333333333334,14:50—15:00,0.0,11.067898661288305,0.0,0.0,0.0,10800.0,66.40739196772984,0.0
第二层·平稳性,90,15.0,15:00—15:10,72.12906312746031,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,91,15.166666666666666,15:10—15:20,128.72670693030287,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,92,15.333333333333334,15:20—15:30,143.85804544164571,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,93,15.5,15:30—15:40,172.02826603254613,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,94,15.666666666666666,15:40—15:50,217.71214034433302,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,95,15.833333333333334,15:50—16:00,260.1772192815336,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,96,16.0,16:00—16:10,282.314089919597,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,97,16.166666666666668,16:10—16:20,326.4840274330113,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,98,16.333333333333332,16:20—16:30,400.62767266062383,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,99,16.5,16:30—16:40,460.24436949850644,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,100,16.666666666666668,16:40—16:50,449.9459021607527,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,101,16.833333333333332,16:50—17:00,417.00593521517976,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,102,17.0,17:00—17:10,462.37461640515517,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,103,17.166666666666668,17:10—17:20,482.82793812588955,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,104,17.333333333333332,17:20—17:30,467.63382067921475,-0.0,0.0,0.0,0.0,10800.0,-0.0,-0.0
第二层·平稳性,105,17.5,17:30—17:40,360.12936116106056,0.0,115.32323723784378,0.0,0.0,10678.438634394823,-691.9394234270627,0.0
第二层·平稳性,106,17.666666666666668,17:40—17:50,197.98568382007767,0.0,281.9899039045104,0.0,0.0,10381.195176558069,-1691.9394234270626,0.0
第二层·平稳性,107,17.833333333333332,17:50—18:00,21.71064355145893,0.0,448.6565705711771,0.0,0.0,9908.269626489739,-2691.9394234270626,0.0
第二层·平稳性,108,18.0,18:00—18:10,0.0,0.0,472.6104806536713,0.0,0.0,9410.09443817889,-2835.662883922028,0.0
第二层·平稳性,109,18.166666666666668,18:10—18:20,0.0,0.0,485.71482011980345,0.0,0.0,8898.106063219704,-2914.288920718821,0.0
第二层·平稳性,110,18.333333333333332,18:20—18:30,0.0,0.0,498.17634332955106,0.0,0.0,8372.982089441233,-2989.0580599773066,0.0
第二层·平稳性,111,18.5,18:30—18:40,0.0,0.0,502.5954865092816,0.0,0.0,7843.199929744646,-3015.57291905569,0.0
第二层·平稳性,112,18.666666666666668,18:40—18:50,0.0,0.0,518.1595510159909,0.0,0.0,7297.011805551065,-3108.9573060959456,0.0
第二层·平稳性,113,18.833333333333332,18:50—19:00,0.0,0.0,523.2500044375696,1.4852220406950838e-05,0.0,6745.4578723124205,-3139.500026625418,0.0
第二层·平稳性,114,19.0,19:00—19:10,0.0,0.0,476.1304255789567,0.0,0.0,6243.572336267488,-2856.7825534737403,0.0
第二层·平稳性,115,19.166666666666668,19:10—19:20,0.0,0.0,441.62619519169806,0.0,1.4852218896521663e-05,5778.057452534199,-2649.7571711501887,0.0
第二层·平稳性,116,19.333333333333332,19:20—19:30,0.0,0.0,448.3848126096623,0.0,0.0,5305.418360509426,-2690.3088756579737,0.0
第二层·平稳性,117,19.5,19:30—19:40,0.0,0.0,467.9630294127033,0.0,0.0,4812.142015943922,-2807.77817647622,0.0
第二层·平稳性,118,19.666666666666668,19:40—19:50,0.0,0.0,490.09280658991975,0.0,0.0,4295.538838047747,-2940.5568395395185,0.0
第二层·平稳性,119,19.833333333333332,19:50—20:00,0.0,0.0,506.4322610583125,0.0,0.0,3761.712362869993,-3038.5935663498753,0.0
