beta,date,month,slot,hour,charge_kwh,discharge_kwh,overlap_kwh,overlap_flag,significant_overlap_kwh,grid_kwh,emergency_kwh,end_soc_kwh,net_power_kw,total_cost
0.1,2025-02-01,2025-02,0,0.0,195.45999999999995,0.0,0.0,0,0.0,667.2623518437259,0.0,1607.2287479505048,1172.7599999999998,283.4530470632148
0.1,2025-02-01,2025-02,1,0.16666666666666666,362.1266666666666,0.0,0.0,0,0.0,826.049069490131,0.0,1950.772268395877,2172.7599999999998,350.6578299985606
0.1,2025-02-01,2025-02,2,0.3333333333333333,441.39525275657024,0.0,0.0,0,0.0,901.7626921369279,0.0,2369.5165725248203,2648.3715165394215,384.9624932732545
0.1,2025-02-01,2025-02,3,0.5,441.3952527565705,0.0,0.0,0,0.0,935.1249359136943,0.0,2788.2608766537637,2648.3715165394233,399.48537262233026
0.1,2025-02-01,2025-02,4,0.6666666666666666,441.39525275657064,0.0,0.0,0,0.0,942.53122659919,0.0,3207.005180782707,2648.371516539424,402.555086880514
0.1,2025-02-01,2025-02,5,0.8333333333333334,441.3952527565705,0.0,0.0,0,0.0,926.627010723367,0.0,3625.7494849116506,2648.3715165394233,397.05967409496276
0.1,2025-02-01,2025-02,6,1.0,441.3952527565705,0.0,0.0,0,0.0,948.5202289352931,0.0,4044.493789040594,2648.3715165394233,408.9070706940048
0.1,2025-02-01,2025-02,7,1.1666666666666667,441.395252756571,0.0,0.0,0,0.0,945.7577332805572,0.0,4463.238093169538,2648.371516539426,406.86497685729574
0.1,2025-02-01,2025-02,8,1.3333333333333333,441.39525275657047,0.0,0.0,0,0.0,923.7517758365873,0.0,4881.982397298481,2648.371516539423,395.2733848804757
0.1,2025-02-01,2025-02,9,1.5,441.3952527565704,0.0,0.0,0,0.0,952.2805240793034,0.0,5300.726701427425,2648.371516539423,410.6233619829957
0.1,2025-02-01,2025-02,10,1.6666666666666667,441.3952527565705,0.0,0.0,0,0.0,963.5073286933991,0.0,5719.471005556368,2648.3715165394233,417.48772552284987
0.1,2025-02-01,2025-02,11,1.8333333333333333,441.39525275657036,0.0,0.0,0,0.0,946.7469604966166,0.0,6138.215309685312,2648.3715165394224,408.1426146700914
0.1,2025-02-01,2025-02,12,2.0,441.3952527565703,0.0,0.0,0,0.0,960.801107575993,0.0,6556.959613814255,2648.371516539422,412.4719154823738
0.1,2025-02-01,2025-02,13,2.1666666666666665,441.39525275657013,0.0,0.0,0,0.0,973.4576189415957,0.0,6975.703917943199,2648.371516539421,420.923074430346
0.1,2025-02-01,2025-02,14,2.3333333333333335,441.39525275657013,0.0,0.0,0,0.0,966.1222151838222,0.0,7394.448222072142,2648.371516539421,421.90557137077514
0.1,2025-02-01,2025-02,15,2.5,441.39525275657013,0.0,0.0,0,0.0,956.8306062966333,0.0,7813.1925262010855,2648.371516539421,416.02994761777614
0.1,2025-02-01,2025-02,16,2.6666666666666665,441.39525275657,0.0,0.0,0,0.0,959.8860310648336,0.0,8231.936830330029,2648.37151653942,416.11059446660533
0.1,2025-02-01,2025-02,17,2.8333333333333335,441.39525275657,0.0,0.0,0,0.0,972.4480954996029,0.0,8650.681134458971,2648.37151653942,423.69563520917694
0.1,2025-02-01,2025-02,18,3.0,441.39525275657,0.0,0.0,0,0.0,979.1700768898859,0.0,9069.425438587914,2648.37151653942,428.28899163163607
0.1,2025-02-01,2025-02,19,3.1666666666666665,441.39525275657,0.0,0.0,0,0.0,977.9320424453829,0.0,9488.169742716856,2648.37151653942,427.45409575287687
0.1,2025-02-01,2025-02,20,3.3333333333333335,441.39525275657,0.0,0.0,0,0.0,971.3212542279871,0.0,9906.914046845799,2648.37151653942,423.1075383417112
0.1,2025-02-01,2025-02,21,3.5,441.39525275657,0.0,0.0,0,0.0,965.2509810213778,0.0,10325.658350974742,2648.37151653942,420.17375203860576
0.1,2025-02-01,2025-02,22,3.6666666666666665,333.33333333333417,0.0,0.0,0,0.0,864.8976345923522,0.0,10641.88611699158,2000.000000000005,377.0953686822656
0.1,2025-02-01,2025-02,23,3.8333333333333335,166.6666666666675,0.0,0.0,0,0.0,710.4990954557999,0.0,10800.0,1000.0000000000051,311.0565039905492
0.1,2025-02-01,2025-02,24,4.0,8.526512829121199e-12,7.673861546209079e-12,7.673861546209079e-12,0,0.0,538.6995197974892,0.0,10800.0,5.115907697472721e-12,237.081658662875
0.1,2025-02-01,2025-02,25,4.166666666666667,0.0,-0.0,-0.0,0,0.0,539.8584743554147,0.0,10800.0,0.0,236.94388439459152
0.1,2025-02-01,2025-02,26,4.333333333333333,0.0,-0.0,-0.0,0,0.0,553.7784768962438,0.0,10800.0,0.0,241.6689273175208
0.1,2025-02-01,2025-02,27,4.5,0.0,-0.0,-0.0,0,0.0,563.4693600359197,0.0,10800.0,0.0,247.53208986377956
0.1,2025-02-01,2025-02,28,4.666666666666667,0.0,-0.0,-0.0,0,0.0,571.2356532278428,0.0,10800.0,0.0,252.6004058573521
0.1,2025-02-01,2025-02,29,4.833333333333333,0.0,-0.0,-0.0,0,0.0,571.0065787122581,0.0,10800.0,0.0,250.95739134403746
0.1,2025-02-01,2025-02,30,5.0,0.0,-0.0,-0.0,0,0.0,553.7727307696802,0.0,10800.0,0.0,239.9497242425024
0.1,2025-02-01,2025-02,31,5.166666666666667,0.0,-0.0,-0.0,0,0.0,553.8670993565025,0.0,10800.0,0.0,245.86160540435148
0.1,2025-02-01,2025-02,32,5.333333333333333,0.0,60.805777054500446,0.0,0,0.0,517.9726880343261,0.0,10735.905083203792,-364.8346623270027,222.78005312356365
0.1,2025-02-01,2025-02,33,5.5,0.0,227.4724437211671,0.0,0,0.0,371.03051522206306,0.0,10496.128074176007,-1364.8346623270027,137.76363030195202
