label,total_cost,planned_cost,emergency_cost,status,period
exp001 同口径重算,15842654.19068547,11613278.032118578,4229376.15856689,同物理口径,2025-02-01—12-31（334天）
exp002 正式风险,15128897.452710154,11755724.512758028,3373172.939952124,同物理口径,2025-02-01—12-31（334天）
exp002 同确定性,15352302.279913764,11677852.86107377,3674449.4188399934,同物理口径,2025-02-01—12-31（334天）
exp003 正式,14988622.648176515,11804823.080143536,3183799.5680329795,同物理口径,2025-02-01—12-31（334天）
exp003 未校准,15258030.09119114,11686193.33326584,3571836.7579253,同物理口径,2025-02-01—12-31（334天）
exp004 无季节,13611587.832913524,12729841.366488617,881746.4664249112,同物理口径,2025-02-01—12-31（334天）
exp004 历史季节,13626145.40599084,12727957.705010273,898187.7009805667,同物理口径,2025-02-01—12-31（334天）
exp004 全年探索,13572926.478581838,12774482.58825294,798443.8903288965,含未来信息，仅探索,2025-02-01—12-31（334天）
exp001 原登记（不可比）,16258308.21735459,12025380.561354762,4232927.655999829,原协议不可直接比较,2025-02-01—12-31（334天）
exp005 周转惩罚 β=0.01敏感性对照,14740993.873912528,12142430.663598318,2598563.210314211,新增硬爬坡、场景、两层滚动及周转惩罚，费用描述性并列,2025-02-01—2025-12-31（334天）
exp005 周转惩罚 β=0.1 主方案,14717882.165475883,12125606.983119221,2592275.182356661,新增硬爬坡、场景、两层滚动及周转惩罚，费用描述性并列,2025-02-01—2025-12-31（334天）
exp005 严格互斥·已暂停,2390053.776659504,2002817.076279559,387236.7003799453,原零差距MILP；55日，不能与334日总额排名,2025-02-01—2025-03-27（55天）
