beta,month,days,total_cost,emergency_cost,overlap_intervals,throughput_kwh
0.01,2025-02,28,1286526.539905497,187359.48244230167,0,1054785.9535921304
0.01,2025-03,31,1224579.2161501567,224167.27524862354,0,1087844.2902232718
0.01,2025-04,30,999067.5233848166,152649.76472112202,0,997408.5878204623
0.01,2025-05,31,1032860.276850719,187568.34835761675,0,943454.8344673127
0.01,2025-06,30,1522414.6356588947,390715.4666271855,0,1033648.7562673719
0.01,2025-07,31,1651785.4736697483,260555.8048460798,0,1034595.7841610879
0.01,2025-08,31,1351487.7682267567,197433.75694072567,0,1006041.5676607043
0.01,2025-09,30,1229404.3990342063,208680.32713875634,0,1025895.7147140247
0.01,2025-10,31,1212318.2979268949,192148.7658568867,0,1088118.8290422433
0.01,2025-11,30,1462009.9338745542,350029.60724209726,0,1105926.1356201381
0.01,2025-12,31,1768539.8092302822,247254.61089281592,0,1244323.5360634124
0.1,2025-02,28,1287425.2116458057,188264.04064005814,0,1053583.5000657625
0.1,2025-03,31,1223897.4936991895,223501.2825486808,0,1087761.0957282544
0.1,2025-04,30,997677.7037413383,151261.94709242295,0,995821.5368268985
0.1,2025-05,31,1032519.6650141206,187540.58637135624,0,940085.9602809851
0.1,2025-06,30,1519334.7062335429,388878.95363112766,0,1023575.3690623937
0.1,2025-07,31,1642712.7211453512,260286.11424127105,0,987442.5967179567
0.1,2025-08,31,1350872.4444474946,196862.79759070493,0,1002315.9589298312
0.1,2025-09,30,1225537.5106408116,208429.47559971668,0,1006562.4763223474
0.1,2025-10,31,1209403.0404754968,192320.49553581508,0,1071121.7462078482
0.1,2025-11,30,1462154.221278952,350159.7357948804,0,1105151.4839177495
0.1,2025-12,31,1766347.4471537806,244769.75331062733,0,1239887.146842404
