beta,month,hour_band,intervals,overlap_intervals,overlap_kwh,overlapRate,hour_label
0.01,2025-02,0,168,0,0.0,0.0,00:00
0.01,2025-02,1,168,0,0.0,0.0,01:00
0.01,2025-02,2,168,0,0.0,0.0,02:00
0.01,2025-02,3,168,0,0.0,0.0,03:00
0.01,2025-02,4,168,0,0.0,0.0,04:00
0.01,2025-02,5,168,0,0.0,0.0,05:00
0.01,2025-02,6,168,0,0.0,0.0,06:00
0.01,2025-02,7,168,0,0.0,0.0,07:00
0.01,2025-02,8,168,0,0.0,0.0,08:00
0.01,2025-02,9,168,0,0.0,0.0,09:00
0.01,2025-02,10,168,0,0.0,0.0,10:00
0.01,2025-02,11,168,0,0.0,0.0,11:00
0.01,2025-02,12,168,0,0.0,0.0,12:00
0.01,2025-02,13,168,0,0.0,0.0,13:00
0.01,2025-02,14,168,0,0.0,0.0,14:00
0.01,2025-02,15,168,0,0.0,0.0,15:00
0.01,2025-02,16,168,0,0.0,0.0,16:00
0.01,2025-02,17,168,0,0.0,0.0,17:00
0.01,2025-02,18,168,0,0.0,0.0,18:00
0.01,2025-02,19,168,0,0.0,0.0,19:00
0.01,2025-02,20,168,0,0.0,0.0,20:00
0.01,2025-02,21,168,0,0.0,0.0,21:00
0.01,2025-02,22,168,0,0.0,0.0,22:00
0.01,2025-02,23,168,0,0.0,0.0,23:00
0.01,2025-03,0,186,0,0.0,0.0,00:00
0.01,2025-03,1,186,0,0.0,0.0,01:00
0.01,2025-03,2,186,0,0.0,0.0,02:00
0.01,2025-03,3,186,0,0.0,0.0,03:00
0.01,2025-03,4,186,0,0.0,0.0,04:00
0.01,2025-03,5,186,0,0.0,0.0,05:00
0.01,2025-03,6,186,0,0.0,0.0,06:00
0.01,2025-03,7,186,0,0.0,0.0,07:00
0.01,2025-03,8,186,0,0.0,0.0,08:00
0.01,2025-03,9,186,0,0.0,0.0,09:00
0.01,2025-03,10,186,0,0.0,0.0,10:00
0.01,2025-03,11,186,0,0.0,0.0,11:00
0.01,2025-03,12,186,0,0.0,0.0,12:00
0.01,2025-03,13,186,0,0.0,0.0,13:00
0.01,2025-03,14,186,0,0.0,0.0,14:00
0.01,2025-03,15,186,0,0.0,0.0,15:00
0.01,2025-03,16,186,0,0.0,0.0,16:00
0.01,2025-03,17,186,0,0.0,0.0,17:00
0.01,2025-03,18,186,0,0.0,0.0,18:00
0.01,2025-03,19,186,0,0.0,0.0,19:00
0.01,2025-03,20,186,0,0.0,0.0,20:00
0.01,2025-03,21,186,0,0.0,0.0,21:00
0.01,2025-03,22,186,0,0.0,0.0,22:00
0.01,2025-03,23,186,0,0.0,0.0,23:00
0.01,2025-04,0,180,0,0.0,0.0,00:00
0.01,2025-04,1,180,0,0.0,0.0,01:00
0.01,2025-04,2,180,0,0.0,0.0,02:00
0.01,2025-04,3,180,0,0.0,0.0,03:00
0.01,2025-04,4,180,0,0.0,0.0,04:00
0.01,2025-04,5,180,0,0.0,0.0,05:00
0.01,2025-04,6,180,0,0.0,0.0,06:00
0.01,2025-04,7,180,0,0.0,0.0,07:00
0.01,2025-04,8,180,0,0.0,0.0,08:00
0.01,2025-04,9,180,0,0.0,0.0,09:00
0.01,2025-04,10,180,0,0.0,0.0,10:00
0.01,2025-04,11,180,0,0.0,0.0,11:00
0.01,2025-04,12,180,0,0.0,0.0,12:00
0.01,2025-04,13,180,0,0.0,0.0,13:00
0.01,2025-04,14,180,0,0.0,0.0,14:00
0.01,2025-04,15,180,0,0.0,0.0,15:00
0.01,2025-04,16,180,0,0.0,0.0,16:00
0.01,2025-04,17,180,0,0.0,0.0,17:00
0.01,2025-04,18,180,0,0.0,0.0,18:00
0.01,2025-04,19,180,0,0.0,0.0,19:00
0.01,2025-04,20,180,0,0.0,0.0,20:00
0.01,2025-04,21,180,0,0.0,0.0,21:00
0.01,2025-04,22,180,0,0.0,0.0,22:00
0.01,2025-04,23,180,0,0.0,0.0,23:00
0.01,2025-05,0,186,0,0.0,0.0,00:00
0.01,2025-05,1,186,0,0.0,0.0,01:00
0.01,2025-05,2,186,0,0.0,0.0,02:00
0.01,2025-05,3,186,0,0.0,0.0,03:00
0.01,2025-05,4,186,0,0.0,0.0,04:00
0.01,2025-05,5,186,0,0.0,0.0,05:00
0.01,2025-05,6,186,0,0.0,0.0,06:00
0.01,2025-05,7,186,0,0.0,0.0,07:00
0.01,2025-05,8,186,0,0.0,0.0,08:00
0.01,2025-05,9,186,0,0.0,0.0,09:00
0.01,2025-05,10,186,0,0.0,0.0,10:00
0.01,2025-05,11,186,0,0.0,0.0,11:00
0.01,2025-05,12,186,0,0.0,0.0,12:00
0.01,2025-05,13,186,0,0.0,0.0,13:00
