beta,date,scope,replay_slot,layer,node,future_slot,probability,charge_kwh,discharge_kwh,overlap_kwh,end_soc_kwh,net_power_kw
0.1,2025-02-01,execution,24,1,0,24,1.0,475.12719797487415,427.61447817738497,427.61447817738497,10800.000000000002,285.0763187849351
0.1,2025-08-31,execution,31,1,2,33,1.0,414.0602960750885,833.3333333333333,414.0602960750885,9509.263647349788,-2515.638223549469
0.1,2025-12-28,execution,34,1,0,34,1.0,831.7331073269638,748.5597965942674,748.5597965942674,10800.0,499.0398643961787
0.01,2025-02-01,execution,24,1,0,24,1.0,475.12719797487415,427.61447817738497,427.61447817738497,10800.000000000002,285.0763187849351
0.01,2025-06-26,execution,9,2,244,108,0.125,88.19375858927056,79.3743827303435,79.3743827303435,10800.0,52.91625515356236
0.01,2025-07-22,execution,109,1,0,109,1.0,0.7203978947275859,66.16336229190108,0.7203978947275859,10730.941121951577,-392.657786383041
0.01,2025-08-31,execution,31,1,2,33,1.0,414.0602960750885,833.3333333333333,414.0602960750885,9493.352931706,-2515.638223549469
0.01,2025-09-04,execution,24,1,0,24,1.0,234.48215599438075,211.03394039494438,211.03394039494438,10800.0,140.6892935966182
0.01,2025-09-11,execution,10,2,137,108,0.125,24.59307576094701,21.355171226544773,21.355171226544773,10800.0,19.42742720641342
0.01,2025-09-17,execution,36,2,109,108,0.125,256.27736619840897,230.6496295785681,230.6496295785681,10800.0,153.76641971904525
0.01,2025-10-29,execution,8,2,248,108,0.125,53.44066099316074,48.09659489384466,48.09659489384466,10800.0,32.06439659589648
0.01,2025-11-26,execution,17,2,236,108,0.125,48.646803485223685,43.78212313670131,43.78212313670131,10800.0,29.188082091134262
0.01,2025-12-28,execution,34,1,0,34,1.0,831.7331073269638,748.5597965942674,748.5597965942674,10800.0,499.0398643961787
