beta,hour,charge_kwh,discharge_kwh,overlap_kwh
0.0,13.5,232.6386571675239,0.0,0.0
0.0,13.666666666666666,232.6386571675239,0.0,0.0
0.0,13.833333333333334,232.6386571675239,0.0,0.0
0.0,14.0,211.82914249765864,0.0,0.0
0.0,14.166666666666666,740.656357119186,566.5937811694077,566.5937811694077
0.0,14.333333333333334,141.59401018285658,0.0,0.0
0.0,14.5,91.17486439350705,0.0,0.0
0.0,14.666666666666666,51.88696591308909,0.0,0.0
0.0,14.833333333333334,11.067898661288305,0.0,0.0
0.0,15.0,-0.0,0.0,-0.0
0.0,15.166666666666666,-0.0,0.0,-0.0
0.0,15.333333333333334,-0.0,0.0,-0.0
0.0,15.5,-0.0,0.0,-0.0
0.0,15.666666666666666,-0.0,0.0,-0.0
0.0,15.833333333333334,-0.0,0.0,-0.0
0.0,16.0,-0.0,0.0,-0.0
0.0,16.166666666666668,-0.0,0.0,-0.0
0.0,16.333333333333332,-0.0,0.0,-0.0
0.0,16.5,-0.0,0.0,-0.0
0.0,16.666666666666668,-0.0,0.0,-0.0
0.0,16.833333333333332,-0.0,0.0,-0.0
0.0,17.0,-0.0,0.0,-0.0
0.0,17.166666666666668,-0.0,0.0,-0.0
0.0,17.333333333333332,-0.0,0.0,-0.0
0.0,17.5,0.0,115.32323723784378,0.0
0.0,17.666666666666668,0.0,281.9899039045104,0.0
0.0,17.833333333333332,0.0,448.6565705711771,0.0
0.0,18.0,0.0,472.6104806536713,0.0
0.0,18.166666666666668,0.0,485.71482011980345,0.0
0.0,18.333333333333332,0.0,498.17634332955106,0.0
0.0,18.5,0.0,502.5954865092816,0.0
0.0,18.666666666666668,0.0,518.1595510159909,0.0
0.0,18.833333333333332,0.0,523.2500044375696,0.0
0.0,19.0,0.0,476.1304255789567,0.0
0.0,19.166666666666668,0.0,441.62619519169806,0.0
0.0,19.333333333333332,0.0,448.3848126096623,0.0
0.0,19.5,0.0,467.9630294127033,0.0
0.0,19.666666666666668,0.0,490.09280658991975,0.0
0.0,19.833333333333332,0.0,506.4322610583125,0.0
0.0,20.0,0.0,506.0355824279892,0.0
0.0,20.166666666666668,0.0,498.48120446374696,0.0
0.0,20.333333333333332,0.0,488.5578561804583,0.0
0.0,20.5,0.0,479.0596966640285,0.0
0.0,20.666666666666668,0.0,312.3930299973618,0.0
0.0,20.833333333333332,0.0,145.72636333069516,0.0
0.0,21.0,0.0,-0.0,0.0
