beta,date,scope,layer,calls,nodes,overlap_nodes,windows_with_overlap,max_overlap_kwh,expected_overlap_sum_kwh,solver_seconds,scope_label
0.1,2025-02-01,midnight,1,1,144,0,0,0.0,0.0,0.0046196249313652515,午夜规划·第1层
0.1,2025-02-01,midnight,2,1,144,0,0,0.0,0.0,0.012244999990798533,午夜规划·第2层
0.1,2025-02-01,execution,1,144,10440,1,1,427.61447817738497,427.6144781773713,0.2806223366642371,日内滚动·第1层
0.1,2025-02-01,execution,2,144,10440,0,0,7.673861546209079e-12,-6.97590869132867e-13,0.4342165421694517,日内滚动·第2层
0.1,2025-02-02,midnight,1,1,144,0,0,0.0,0.0,0.0040253750048577785,午夜规划·第1层
0.1,2025-02-02,midnight,2,1,144,0,0,0.0,0.0,0.013438457972370088,午夜规划·第2层
0.1,2025-02-02,execution,1,144,10440,0,0,0.0,-2.0954059879428006e-11,0.327119083609432,日内滚动·第1层
0.1,2025-02-02,execution,2,144,10440,0,0,0.0,-1.0950075775939256e-11,0.49375474266707897,日内滚动·第2层
0.1,2025-02-03,midnight,1,1,144,0,0,0.0,0.0,0.004076958983205259,午夜规划·第1层
0.1,2025-02-03,midnight,2,1,144,0,0,0.0,0.0,0.01307483296841383,午夜规划·第2层
0.1,2025-02-03,execution,1,144,10440,0,0,0.0,-3.789561257387201e-14,0.2719143315916881,日内滚动·第1层
0.1,2025-02-03,execution,2,144,10440,0,0,0.0,0.0,0.43427625170443207,日内滚动·第2层
0.1,2025-02-04,midnight,1,1,144,0,0,0.0,0.0,0.003900500014424324,午夜规划·第1层
0.1,2025-02-04,midnight,2,1,144,0,0,0.0,0.0,0.0132115000160411,午夜规划·第2层
0.1,2025-02-04,execution,1,144,10440,0,0,0.0,-2.453240627893161e-11,0.2693310008617118,日内滚动·第1层
0.1,2025-02-04,execution,2,144,10440,0,0,0.0,-3.789561257387201e-14,0.42934762698132545,日内滚动·第2层
0.1,2025-02-05,midnight,1,1,180,0,0,0.0,0.0,0.005542874918319285,午夜规划·第1层
0.1,2025-02-05,midnight,2,1,180,0,0,0.0,0.0,0.020265041035600007,午夜规划·第2层
0.1,2025-02-05,execution,1,144,14652,0,0,0.0,-5.6559201766503975e-12,0.3873077909229323,日内滚动·第1层
0.1,2025-02-05,execution,2,144,14652,0,0,0.0,-6.070657717935254e-11,0.7808675850974396,日内滚动·第2层
0.1,2025-02-06,midnight,1,1,252,0,0,0.0,0.0,0.008242915966548026,午夜规划·第1层
0.1,2025-02-06,midnight,2,1,252,0,0,0.0,0.0,0.03817737498320639,午夜规划·第2层
0.1,2025-02-06,execution,1,144,17064,0,0,0.0,-1.1368683772161603e-13,0.43212962767574936,日内滚动·第1层
0.1,2025-02-06,execution,2,144,17064,0,0,0.0,0.0,0.9468542556278408,日内滚动·第2层
0.1,2025-02-07,midnight,1,1,216,0,0,0.0,0.0,0.006351416930556297,午夜规划·第1层
0.1,2025-02-07,midnight,2,1,216,0,0,0.0,0.0,0.023853375110775232,午夜规划·第2层
0.1,2025-02-07,execution,1,144,20340,0,0,0.0,0.0,0.5058123808121309,日内滚动·第1层
0.1,2025-02-07,execution,2,144,20340,0,0,0.0,0.0,1.2495459235506132,日内滚动·第2层
0.1,2025-02-08,midnight,1,1,324,0,0,0.0,0.0,0.009065666003152728,午夜规划·第1层
0.1,2025-02-08,midnight,2,1,324,0,0,0.0,0.0,0.04181937500834465,午夜规划·第2层
0.1,2025-02-08,execution,1,144,19368,0,0,0.0,-1.72564486647482e-12,0.47192208049818873,日内滚动·第1层
0.1,2025-02-08,execution,2,144,19368,0,0,0.0,-1.72564486647482e-12,1.078640500549227,日内滚动·第2层
0.1,2025-02-09,midnight,1,1,324,0,0,0.0,0.0,0.011628124979324639,午夜规划·第1层
0.1,2025-02-09,midnight,2,1,324,0,0,0.0,0.0,0.05943533300887793,午夜规划·第2层
0.1,2025-02-09,execution,1,144,21564,0,0,0.0,-3.789561257387201e-14,0.5544701216276735,日内滚动·第1层
0.1,2025-02-09,execution,2,144,21564,0,0,0.0,0.0,1.3987883846275508,日内滚动·第2层
