check,value,limit,passed
实际供需平衡最大残差,2.9558577807620168e-12,1e-06,True
实际SOC递推最大残差,1.3073986337985843e-12,1e-06,True
实际最大充放电重叠,6.548361852765072e-11,1e-06,True
实际最大相邻功率变化（含跨日）,1000.0000000000982,1000.0,True
实际电量/SOC边界最大违反量,1.5833734323678065e-10,1e-06,True
固定普通计划最大变更量,0.0,1e-06,True
实际供需与原始数据最大差,0.0,1e-06,True
跨日SOC衔接最大差,0.0,1e-06,True
两层全部规划节点最大重叠,1.8622667856725652e-07,1e-06,True
两层原约束最大残差,1.323132892139256e-07,1e-06,True
第二层超费用预算最大量,6.257323548197746e-10,1e-06,True
0/1变量最大整数残差,9.906873217335743e-07,1e-06,True
互斥不等式最大残差,9.799962299439358e-07,1e-06,True
已完成求解最大相对gap,1.0,,原样披露
原实验源文件哈希变更数,0.0,0.0,True
