date,strategy,total_cost
2025-02-01,场景计划＋场景滚动,23907.309382365358
2025-02-02,场景计划＋场景滚动,58662.90733312576
2025-02-03,场景计划＋场景滚动,63003.168756075334
2025-02-04,场景计划＋场景滚动,63110.36354915177
2025-02-05,场景计划＋场景滚动,58911.4718807491
2025-02-06,场景计划＋场景滚动,55813.00693348399
2025-02-07,场景计划＋场景滚动,21032.691161551178
2025-02-08,场景计划＋场景滚动,26161.034625825894
2025-02-09,场景计划＋场景滚动,67989.13837402241
2025-02-10,场景计划＋场景滚动,54651.198330080166
2025-02-11,场景计划＋场景滚动,59311.82244681084
2025-02-12,场景计划＋场景滚动,56297.223129760256
2025-02-13,场景计划＋场景滚动,51987.235843223796
2025-02-14,场景计划＋场景滚动,23775.734186695427
2025-02-15,场景计划＋场景滚动,22362.70933327996
2025-02-16,场景计划＋场景滚动,57997.06602867087
2025-02-17,场景计划＋场景滚动,50591.84289842264
2025-02-18,场景计划＋场景滚动,53681.718895229824
2025-02-19,场景计划＋场景滚动,56083.9017521293
2025-02-20,场景计划＋场景滚动,50757.071544079656
2025-02-21,场景计划＋场景滚动,20154.02786068171
2025-02-22,场景计划＋场景滚动,20363.65331584443
2025-02-01,点计划＋点滚动,23907.309382365358
2025-02-02,点计划＋点滚动,58510.49134046284
2025-02-03,点计划＋点滚动,57436.8477835072
2025-02-04,点计划＋点滚动,58768.010422474654
2025-02-05,点计划＋点滚动,59676.990926721766
2025-02-06,点计划＋点滚动,58827.343388814355
2025-02-07,点计划＋点滚动,22999.903188482815
2025-02-08,点计划＋点滚动,22112.890753581505
2025-02-09,点计划＋点滚动,56926.310457506
2025-02-10,点计划＋点滚动,56159.43894882937
2025-02-11,点计划＋点滚动,52410.121337023294
2025-02-12,点计划＋点滚动,53394.740274700875
2025-02-13,点计划＋点滚动,52866.819937522385
2025-02-14,点计划＋点滚动,20077.365943746252
2025-02-15,点计划＋点滚动,19570.316302142164
2025-02-16,点计划＋点滚动,52280.97092017485
2025-02-17,点计划＋点滚动,52365.62172806778
2025-02-18,点计划＋点滚动,50253.08693703673
2025-02-19,点计划＋点滚动,50596.83568117803
2025-02-20,点计划＋点滚动,50870.06979329412
2025-02-21,点计划＋点滚动,19029.868167785044
2025-02-22,点计划＋点滚动,19076.437557229336
2025-02-01,点计划＋场景滚动,23907.309382365358
2025-02-02,点计划＋场景滚动,59856.44994687456
2025-02-03,点计划＋场景滚动,59674.02419055859
2025-02-04,点计划＋场景滚动,59415.15679720307
2025-02-05,点计划＋场景滚动,61204.933848030225
2025-02-06,点计划＋场景滚动,59862.23564739216
2025-02-07,点计划＋场景滚动,23504.295368770712
2025-02-08,点计划＋场景滚动,24383.5745667276
2025-02-09,点计划＋场景滚动,61237.670359360956
2025-02-10,点计划＋场景滚动,57083.849369809504
2025-02-11,点计划＋场景滚动,59568.76882780672
2025-02-12,点计划＋场景滚动,54769.35919718972
2025-02-13,点计划＋场景滚动,53411.0573080879
2025-02-14,点计划＋场景滚动,23010.748004646157
2025-02-15,点计划＋场景滚动,21271.10943713898
2025-02-16,点计划＋场景滚动,56641.182153567184
2025-02-17,点计划＋场景滚动,53130.43836359254
2025-02-18,点计划＋场景滚动,51702.04864747942
2025-02-19,点计划＋场景滚动,56769.87625459922
2025-02-20,点计划＋场景滚动,51718.70257156535
2025-02-21,点计划＋场景滚动,19297.649213796558
2025-02-22,点计划＋场景滚动,20392.060129867434
