date,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,initial_soc,final_soc,tv_kw,plan_expected_cost,max_overlap_kwh,baseline_cost,difference_yuan,cumulative_difference,day_number
2025-02-01,23813.635875103726,93.67350726163254,23907.309382365358,45660.510597900386,25.29165649978484,1421.7991105135516,1200.0,24086.531600562877,23813.63587510373,3.900879619322946e-12,23571.968927804814,335.34045456054446,335.34045456054446,1
2025-02-02,51643.36945104969,7019.537882076066,58662.90733312576,81309.70363241548,2124.358365777318,1200.0,1200.0,47495.13595558635,51643.36945104969,0.0,56645.597674337696,2017.3096587880646,2352.650113348609,2
2025-02-03,50041.278977506234,12961.889778569104,63003.168756075334,79404.12613306538,3742.8397863417576,1200.0,1200.0,49162.834488180524,50041.27897750626,0.0,55481.03025446045,7522.138501614885,9874.788614963494,3
2025-02-04,52142.52309061343,10967.840458538341,63110.36354915177,82627.0646171036,2787.665387060866,1200.0,1200.0,49474.85224552286,52142.52309061343,0.0,56884.98251101562,6225.381038136147,16100.169653099641,4
2025-02-05,53341.977070501234,5569.49481024787,58911.4718807491,83681.50750239928,1701.7674764338458,1200.0,1200.0,49041.83928028046,53341.97707050125,0.0,57830.00180852536,1081.4700722237394,17181.63972532338,5
2025-02-06,53014.45115686738,2798.5557766166153,55813.00693348399,83294.17305548451,715.0738276450354,1200.0,1200.0,46466.339552120065,53014.45115686737,0.0,57069.23029869815,-1256.2233652141585,15925.416360109222,6
2025-02-07,18514.308888625823,2518.382272925354,21032.691161551178,35639.86571148796,620.2258829178495,1200.0,1200.073343799767,31124.563011081325,18514.30888862583,0.0,22253.37324988278,-1220.6820883316032,14704.73427177762,7
2025-02-08,17451.60183096398,8709.432794861914,26161.034625825894,33695.66987461422,2646.566758498964,1200.073343799767,1200.002409606331,35424.024207479306,17451.60183096398,0.0,19801.166692657614,6359.86793316828,21064.6022049459,8
2025-02-09,47941.762770504334,20047.375603518085,67989.13837402241,76342.7030207062,5464.634306658267,1200.002409606331,1200.026240383528,53617.85864743672,47941.762770504356,0.0,51956.503260583566,16032.635113438846,37097.237318384745,9
2025-02-10,51145.68398111631,3505.514348963855,54651.198330080166,81131.54735590768,1195.0189524438965,1200.026240383528,1200.0,45137.127433041016,51145.683981116286,6.548361852765072e-11,54526.05783097354,125.14049910662288,37222.37781749137,10
2025-02-11,46649.830299769295,12661.992147041545,59311.82244681084,74588.70628904045,3134.496168096789,1200.0,1200.0,51202.17703112459,46871.41194814112,0.0,50596.904412572825,8714.918034238013,45937.29585172938,11
2025-02-12,47877.41227986928,8419.81084989098,56297.223129760256,76453.26382042191,2036.0479940587475,1200.0,1200.0,47278.15768547956,47877.41227986928,0.0,51497.00285345533,4800.220276304928,50737.51612803431,12
2025-02-13,47910.61944359693,4076.616399626868,51987.235843223796,76217.59013523447,1287.5925760642879,1200.0,1200.0128155413115,43410.65500829519,47929.50387916512,0.0,51334.11693940077,653.1189038230295,51390.63503185734,13
2025-02-14,16963.730336502096,6812.00385019333,23775.734186695427,32686.781132101678,1884.8199417225142,1200.0128155413115,1200.0356416063903,29008.86007360981,16997.612237692512,0.0,18445.913431624962,5329.820755070465,56720.45578692781,14
2025-02-15,17302.305540099882,5060.403793180078,22362.70933327996,33024.385723479674,1546.6431506861254,1200.0356416063903,1200.0,25666.71624663152,17312.324612364275,0.0,18677.22780783609,3685.481525443869,60405.93731237168,15
2025-02-16,46988.25731634424,11008.808712326627,57997.06602867087,75447.5699224325,2569.4621554443092,1200.0,1200.0,49977.87914915739,47021.460310626295,0.0,50294.57340704624,7702.492621624631,68108.42993399632,16
2025-02-17,48123.42869220907,2468.414206213574,50591.84289842264,77058.85237705296,633.1341741946455,1200.0,1208.8902644592663,42999.492612861526,48217.65475277117,2.9605947323337506e-16,51124.43339261586,-532.5904941932167,67575.8394398031,17
2025-02-18,45180.5079779803,8501.210917249524,53681.718895229824,72697.14599870014,2302.4621075778105,1208.8902644592663,1200.0001327206546,51133.55486012994,45282.813733114934,0.0,49091.99743022865,4589.721465001174,72165.56090480427,18
2025-02-19,46047.821182901214,10036.080569228081,56083.9017521293,74038.92387342075,2497.0734160328543,1200.0001327206546,1200.0,49911.93633203661,46098.72200778496,0.0,48956.077228303926,7127.824523825373,79293.38542862964,19
2025-02-20,45569.36931812865,5187.702225951004,50757.071544079656,73013.74235713296,1396.3297683803794,1200.0,1200.0,46287.099492979076,45632.40371883059,0.0,49255.089702324665,1501.9818417549905,80795.36727038462,20
2025-02-21,16976.53979317144,3177.4880675102677,20154.02786068171,32722.84173263485,1096.5574038710474,1200.0,1200.0,25753.706342964266,17029.048124945584,0.0,18053.663238354653,2100.3646223270553,82895.73189271169,21
2025-02-22,16972.023022379795,3391.6302934646333,20363.65331584443,32673.617689146526,1060.3338669666482,1200.0,1200.0013945189564,26468.847715009728,16977.291123991334,0.0,18086.445406671344,2277.2079091730848,85172.93980188477,22
2025-02-23,46265.7228693279,5370.2328187306,51635.9556880585,74197.11999959071,1498.3295684807752,1200.0013945189564,1200.0075815994005,47246.309677772384,46318.41270166543,0.0,49070.37234449472,2565.5833435637833,87738.52314544856,23
2025-02-24,44453.101267285674,4774.125374352819,49227.226641638495,72079.67699178462,1223.4193066942191,1200.0075815994005,1200.0006060134758,44806.391348128556,44794.38580773949,0.0,48473.8799966996,753.3466449388943,88491.86979038746,24
2025-02-25,44327.52666302266,2507.02276824151,46834.549431264175,71776.75889468697,741.9822054275564,1200.0006060134758,1200.0,41952.05194720404,44327.52666302268,0.0,47146.72955969316,-312.18012842898315,88179.68966195847,25
2025-02-26,42400.17877199525,9216.140724777002,51616.31949677225,68683.16866253389,2796.3874029879116,1200.0,1200.0,51301.60729507811,42910.94007865356,0.0,45737.15759169458,5879.161905077672,94058.85156703615,26
2025-02-27,43844.780695678055,9065.008951077853,52909.789646755904,71052.65867068493,1838.0550297157097,1200.0,1200.0034302724748,41593.20026187887,43844.78069567804,0.0,46279.55905038047,6630.230596375433,100689.08216341159,27
2025-02-28,16242.847522978627,1967.352952941988,18210.200475920614,31765.34598928526,582.5938998253595,1200.0034302724748,1203.1823335816553,26547.683937325157,16326.4778194528,0.0,17413.134340365166,797.0661355554475,101486.14829896703,28
2025-03-01,16273.330202656856,1871.9303865415468,18145.260589198402,31507.425675969836,578.533218353647,1203.1823335816553,1208.6235257742994,23541.104576919643,16273.330202656854,0.0,17237.843125223502,907.4174639748999,102393.56576294193,29
2025-03-02,45409.65091155296,15108.487992812159,60518.13890436512,72988.09798811201,3855.627276747465,1208.6235257742994,1200.0,48996.24542790123,45440.310064952384,0.0,55851.969530832255,4666.169373532866,107059.7351364748,30
2025-03-03,46385.879169940185,8282.697892271828,54668.57706221201,74701.40419720896,1913.6863120772887,1200.0,1200.0,49269.37004968557,46390.64222758949,0.0,49538.48672829388,5130.090333918131,112189.82547039294,31
2025-03-04,46289.809969631664,2258.3684721989384,48548.178441830605,74353.09507769617,745.5601781834458,1200.0,1200.0,39703.09397415517,46603.29321479569,0.0,50138.856784053016,-1590.6783422224107,110599.14712817053,32
2025-03-05,44640.220098386635,2737.8468004650003,47378.06689885163,72311.380305954,666.1159517884196,1200.0,1200.0232250295317,41383.35305675799,44922.21954666869,0.0,48086.16203316332,-708.0951343116831,109891.05199385885,33
2025-03-06,42414.78578711336,5131.578622492277,47546.36440960564,68697.8476151175,1367.369439555135,1200.0232250295317,1200.0232492900618,44310.43621945639,42891.80119198331,0.0,45680.42481678765,1865.9395928179874,111756.99158667684,34
2025-03-07,15650.4877019073,2013.9698852674017,17664.4575871747,30405.419571828097,685.3367047549851,1200.0232492900618,1200.0,21304.54177302176,15744.441927355461,0.0,17071.095887278258,593.3616998964426,112350.35328657329,35
2025-03-08,14979.192606643252,4023.51178092081,19002.704387564063,28823.494841851647,1379.1591034959486,1200.0,1200.024514511753,21779.598915636314,15047.44413584142,0.0,16223.493608736999,2779.210778827064,115129.56406540035,36
2025-03-09,40250.26840269266,6183.29192375131,46433.56032644397,65836.93998679283,1599.3128240373267,1200.024514511753,1200.0,48852.86633390174,40250.26840269264,0.0,42880.128622192846,3553.4317042511248,118682.99576965148,37
2025-03-10,39150.96304826529,21032.374644658845,60183.337692924135,64213.34587681629,6094.916211996366,1200.0,1200.012496032847,46318.987433638045,39165.40460067269,0.0,46856.22831909647,13327.109373827661,132010.10514347913,38
2025-03-11,41720.56929018454,4870.708368134883,46591.27765831942,68680.82607392999,1217.4044170267184,1200.012496032847,1215.6878161530374,46010.33143174959,42003.72031091314,0.0,44840.693908029534,1750.5837502898867,133760.68889376902,39
2025-03-12,39664.37585197327,3818.1377455821976,43482.51359755547,64857.22959821467,1219.874221739091,1215.6878161530374,1200.0,42136.42664439008,39693.49897420857,0.0,43043.57041402142,438.94318353405106,134199.63207730307,40
2025-03-13,38848.30800596729,22797.153044212977,61645.46105018027,63786.988936883834,6061.206280153648,1200.0,1200.0001630642153,46415.99181426948,38852.03341431173,0.0,52551.418936902905,9094.042113277363,143293.67419058044,41
2025-03-14,14495.884645702476,4737.577426536942,19233.462072239417,28000.419167015003,1358.3544086308575,1200.0001630642153,1200.0,21327.96559721595,14550.89282990088,0.0,15594.843513225063,3638.618559014354,146932.29274959478,42
2025-03-15,14722.191662344578,4107.491898043643,18829.68356038822,28615.321241913465,1201.0517930332076,1200.0,1200.0,20228.677942654627,14860.708415441615,0.0,15593.128439924318,3236.555120463903,150168.84787005867,43
2025-03-16,40707.16012323285,8478.672524633092,49185.83264786594,67081.64903843112,2349.5751476708974,1200.0,1200.0,47040.197727630635,40731.69282597739,0.0,43385.12694141561,5800.705706450324,155969.553576509,44
2025-03-17,38991.688312680155,1502.6436530328685,40494.33196571303,64144.90106339108,477.54857851320605,1200.0,1200.0035179687154,39346.37030669029,40145.97844935906,0.0,41824.442187019566,-1330.1102213065387,154639.44335520247,45
2025-03-18,36454.55613410938,14473.760970135307,50928.317104244685,59897.6243102225,3634.6733221335,1200.0035179687154,1200.0459567528972,45361.059343576715,36771.72945508399,0.0,43751.11623025996,7177.200873984722,161816.6442291872,46
2025-03-19,37893.53194055184,2379.0041405327643,40272.5360810846,62226.29415556752,749.9689814790744,1200.0459567528972,1200.0,40656.10539814797,38412.60353812592,0.0,41376.945504835734,-1104.4094237511308,160712.23480543605,47
2025-03-20,37577.299625048,10181.975433677713,47759.27505872571,61805.45290956275,3055.3897957353083,1200.0,1200.0389754334003,44976.01174687402,37617.37368089647,0.0,41372.41015171298,6386.8649070127285,167099.09971244878,48
2025-03-21,14583.972409015754,2446.401451946797,17030.37386096255,28175.650972871877,869.1010894191401,1200.0389754334003,1200.009947679202,21200.527639406675,14615.584010818291,0.0,15441.879071902586,1588.4947890599651,168687.59450150875,49
2025-03-22,14680.975398708651,2087.6200134811024,16768.595412189752,28437.988200103842,683.61022240211,1200.009947679202,1200.0,20054.610927169615,14744.838079605233,0.0,15412.50063349992,1356.0947786898323,170043.6892801986,50
2025-03-23,38755.936785921534,5911.920312313281,44667.85709823482,64355.923346730466,1501.1476127532028,1200.0,1200.0,40662.31517248262,38788.18696489781,0.0,40600.135084144276,4067.722014090541,174111.41129428914,51
2025-03-24,35883.801735154724,9421.455110506307,45305.25684566103,59497.518742537955,2581.303256883482,1200.0,1200.0,43959.57076948511,35899.72608230939,0.0,40624.56655766663,4680.690287994403,178792.10158228353,52
2025-03-25,35880.22767909994,15047.608270267208,50927.835949367145,59274.37996888671,4409.652578356947,1200.0,1200.0,43060.44352756775,35938.18643734705,0.0,38735.36691249645,12192.469036870694,190984.57061915423,53
2025-03-26,37376.0188016929,1257.3633872053626,38633.382188898264,62139.14820725801,455.1094695973103,1200.0,1200.0,38208.63900329788,37431.33629407817,0.0,40055.42310989347,-1422.040920995205,189562.52969815902,54
2025-03-27,33989.39389328835,17179.405372745514,51168.799266033864,55814.71953114051,5285.077255716303,1200.0,1200.01001777637,46039.15153240046,33989.39389328835,0.0,37959.17550807433,13209.623757959533,202772.15345611854,55
