day,date,month,total_cost,no_season_cost,difference_yuan
31,2025-02-01,2,23546.771958192905,23571.968927804817,-25.19696961191221
32,2025-02-02,2,56548.67982537942,56645.597674337696,-96.91784895827732
33,2025-02-03,2,55395.190910507976,55481.03025446045,-85.83934395247343
34,2025-02-04,2,56826.1515450473,56884.98251101562,-58.830965968321834
35,2025-02-05,2,57776.055253183025,57830.00180852536,-53.94655534233607
36,2025-02-06,2,57019.38434638103,57069.23029869815,-49.845952317118645
37,2025-02-07,2,22219.17579342182,22253.37324988278,-34.19745646096271
38,2025-02-08,2,19737.24175940115,19801.166692657614,-63.92493325646501
39,2025-02-09,2,51775.246317309175,51956.503260583566,-181.25694327439123
40,2025-02-10,2,54359.89667868121,54526.05783097354,-166.161152292334
41,2025-02-11,2,50455.636878898746,50596.904412572825,-141.26753367407946
42,2025-02-12,2,51361.99267748995,51497.00285345533,-135.01017596537713
43,2025-02-13,2,51201.68434452571,51334.11693940077,-132.43259487505566
44,2025-02-14,2,18392.749347525907,18445.91343162496,-53.16408409905125
45,2025-02-15,2,18584.98322170832,18677.22780783609,-92.24458612777016
46,2025-02-16,2,50057.94458156845,50294.57340704624,-236.6288254777901
47,2025-02-17,2,50910.45460671178,51124.43339261586,-213.97878590408072
48,2025-02-18,2,48907.93142213626,49091.99743022865,-184.0660080923917
49,2025-02-19,2,48801.70793211463,48956.077228303926,-154.3692961892957
50,2025-02-20,2,49086.62126902533,49255.089702324665,-168.46843329933472
51,2025-02-21,2,17985.36423940819,18053.663238354653,-68.29899894646223
52,2025-02-22,2,17972.243691143027,18086.445406671344,-114.20171552831744
53,2025-02-23,2,48749.65718057937,49070.37234449472,-320.71516391534533
54,2025-02-24,2,48221.08915198487,48473.8799966996,-252.7908447147347
55,2025-02-25,2,46956.831541028514,47146.72955969316,-189.89801866464404
56,2025-02-26,2,45383.25137769451,45737.15759169458,-353.90621400006785
57,2025-02-27,2,46066.10128840746,46279.55905038047,-213.45776197301166
58,2025-02-28,2,17331.68914801144,17413.134340365166,-81.44519235372718
59,2025-03-01,3,17167.454575154996,17237.843125223502,-70.38855006850645
60,2025-03-02,3,56243.684925466456,55851.969530832255,391.7153946342005
61,2025-03-03,3,49259.8745026082,49538.48672829388,-278.6122256856761
62,2025-03-04,3,49785.17506352614,50138.856784053016,-353.6817205268744
63,2025-03-05,3,47906.237182262674,48086.16203316332,-179.92485090064292
64,2025-03-06,3,45545.1127797401,45680.42481678765,-135.3120370475517
65,2025-03-07,3,17011.739680875384,17071.095887278258,-59.356206402873795
66,2025-03-08,3,16130.649040184133,16223.493608737,-92.84456855286771
67,2025-03-09,3,42617.821936507666,42880.128622192846,-262.3066856851801
68,2025-03-10,3,48803.47768348134,46856.22831909647,1947.2493643848647
