model,slot,hour,charge_kwh,discharge_kwh,power_kw,end_soc_kwh
原连续LP,81,13.5,232.6386571675239,0.0,1395.8319430051433,9771.686211164837
原连续LP,82,13.666666666666666,232.6386571675239,0.0,1395.8319430051433,9992.386619700566
原连续LP,83,13.833333333333334,232.6386571675239,0.0,1395.8319430051433,10213.087028236296
原连续LP,84,14.0,211.82914249765864,0.0,1270.9748549859519,10414.045797764187
原连续LP,85,14.166666666666666,740.656357119186,566.5937811694077,1044.3754556986698,10519.451827830646
原连续LP,86,14.333333333333334,141.59401018285658,0.0,849.5640610971395,10653.779700395116
原连续LP,87,14.5,91.17486439350705,0.0,547.0491863610423,10740.275771447257
原连续LP,88,14.666666666666666,51.88696591308909,0.0,311.32179547853457,10789.50006939552
原连续LP,89,14.833333333333334,11.067898661288305,0.0,66.40739196772984,10800.0
原连续LP,90,15.0,-0.0,0.0,-0.0,10800.0
原连续LP,91,15.166666666666666,-0.0,0.0,-0.0,10800.0
原连续LP,92,15.333333333333334,-0.0,0.0,-0.0,10800.0
原连续LP,93,15.5,-0.0,0.0,-0.0,10800.0
原连续LP,94,15.666666666666666,-0.0,0.0,-0.0,10800.0
原连续LP,95,15.833333333333334,-0.0,0.0,-0.0,10800.0
原连续LP,96,16.0,-0.0,0.0,-0.0,10800.0
原连续LP,97,16.166666666666668,-0.0,0.0,-0.0,10800.0
原连续LP,98,16.333333333333332,-0.0,0.0,-0.0,10800.0
原连续LP,99,16.5,-0.0,0.0,-0.0,10800.0
原连续LP,100,16.666666666666668,-0.0,0.0,-0.0,10800.0
原连续LP,101,16.833333333333332,-0.0,0.0,-0.0,10800.0
原连续LP,102,17.0,-0.0,0.0,-0.0,10800.0
原连续LP,103,17.166666666666668,-0.0,0.0,-0.0,10800.0
原连续LP,104,17.333333333333332,-0.0,0.0,-0.0,10800.0
原连续LP,105,17.5,0.0,115.32323723784378,-691.9394234270627,10678.438634394823
原连续LP,106,17.666666666666668,0.0,281.9899039045104,-1691.9394234270626,10381.195176558069
原连续LP,107,17.833333333333332,0.0,448.6565705711771,-2691.9394234270626,9908.269626489739
原连续LP,108,18.0,0.0,472.6104806536713,-2835.662883922028,9410.09443817889
原连续LP,109,18.166666666666668,0.0,485.71482011980345,-2914.288920718821,8898.106063219704
原连续LP,110,18.333333333333332,0.0,498.17634332955106,-2989.0580599773066,8372.982089441233
原连续LP,111,18.5,0.0,502.5954865092816,-3015.57291905569,7843.199929744646
原连续LP,112,18.666666666666668,0.0,518.1595510159909,-3108.9573060959456,7297.011805551065
原连续LP,113,18.833333333333332,0.0,523.2500044375696,-3139.500026625418,6745.4578723124205
原连续LP,114,19.0,0.0,476.1304255789567,-2856.7825534737403,6243.572336267488
原连续LP,115,19.166666666666668,0.0,441.62619519169806,-2649.7571711501887,5778.057452534199
原连续LP,116,19.333333333333332,0.0,448.3848126096623,-2690.3088756579737,5305.418360509426
原连续LP,117,19.5,0.0,467.9630294127033,-2807.77817647622,4812.142015943922
原连续LP,118,19.666666666666668,0.0,490.09280658991975,-2940.5568395395185,4295.538838047747
原连续LP,119,19.833333333333332,0.0,506.4322610583125,-3038.5935663498753,3761.712362869993
原连续LP,120,20.0,0.0,506.0355824279892,-3036.2134945679354,3228.3040236825514
原连续LP,121,20.166666666666668,0.0,498.48120446374696,-2990.887226782482,2702.858698052707
原连续LP,122,20.333333333333332,0.0,488.5578561804583,-2931.34713708275,2187.8734999529674
原连续LP,123,20.5,0.0,479.0596966640285,-2874.358179984171,1682.9002410704018
原连续LP,124,20.666666666666668,0.0,312.3930299973618,-1874.3581799841709,1353.6090744194125
原连续LP,125,20.833333333333332,0.0,145.72636333069516,-874.358179984171,1200.0
原连续LP,126,21.0,0.0,-0.0,0.0,1200.0
原连续LP,127,21.166666666666668,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999993
原连续LP,128,21.333333333333332,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999993
原连续LP,129,21.5,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999995
原连续LP,130,21.666666666666668,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999995
原连续LP,131,21.833333333333332,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999995
原连续LP,132,22.0,0.0,-3.789561257387201e-14,2.2737367544323206e-13,1199.9999999999995
