date,scope,slot,layer,stage,status,message,seconds,variables,nodes,integer_variables,objective,max_constraint_residual,max_overlap_kwh,numerical_attempts,numerical_retry_count,mip_gap,mip_dual_bound,mip_node_count,max_binary_residual,max_exclusivity_residual,absolute_objective_gap,physical_absolute_gap
2025-02-01,midnight,-1,1,cost,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.03513754194136709,1152,144,144,23789.845929174546,1.8189894035458565e-12,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.8189894035458565e-12}]",0,0.0,23789.845929174546,1,0.0,0.0,0.0,0.0
2025-02-01,midnight,-1,2,smoothness,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.14880237495526671,1152,144,144,0.02111064450963826,1.0686562745831907e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.0686562745831907e-11}]",0,0.0,0.02111064450963826,1,4.440892098500626e-16,0.0,0.0,0.0
2025-02-01,execution,0,1,cost,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.019352625007741153,1152,144,144,0.0,1.7962520360015333e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.7962520360015333e-11}]",0,0.0,0.0,1,1.4876988529977098e-14,1.2391865311656147e-11,0.0,0.0
2025-02-01,execution,0,2,smoothness,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.011481708032079041,1152,144,144,0.021110644049340186,1.0231815394945443e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.0231815394945443e-11}]",0,0.0,0.021110644049340186,1,0.0,0.0,0.0,0.0
2025-02-01,execution,1,1,cost,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.014589207945391536,1144,143,143,0.0,5.7980287238024175e-12,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 5.7980287238024175e-12}]",0,0.0,0.0,1,0.0,0.0,0.0,0.0
2025-02-01,execution,1,2,smoothness,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.01134208298753947,1144,143,143,0.020558970231503403,2.319211489520967e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 2.319211489520967e-11}]",0,0.0,0.020558970231503403,1,0.0,0.0,0.0,0.0
2025-02-01,execution,2,1,cost,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.014519333024509251,1136,142,142,0.0,1.8189894035458565e-12,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.8189894035458565e-12}]",0,0.0,0.0,1,0.0,0.0,0.0,0.0
2025-02-01,execution,2,2,smoothness,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.014856416964903474,1136,142,142,0.019999526359894257,1.7848833522293717e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.7848833522293717e-11}]",0,0.0,0.019999526359894257,1,0.0,0.0,0.0,0.0
2025-02-01,execution,3,1,cost,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.01559120905585587,1128,141,141,0.0,1.8189894035458565e-12,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.8189894035458565e-12}]",0,0.0,0.0,1,0.0,0.0,0.0,0.0
2025-02-01,execution,3,2,smoothness,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.011904292041435838,1128,141,141,0.019804053840078325,1.0231815394945443e-11,0.0,"[{'status': 0, 'mip_feasibility_tolerance': 1e-06, 'max_physical_or_integrality_residual': 1.0231815394945443e-11}]",0,0.0,0.01980405384007832,1,0.0,0.0,3.469446951953614e-18,4.891920202254596e-12
