date,donors,paths,midnight_nodes,fallback_point_only
2025-02-01,0,1,144,True
2025-02-02,1,1,144,False
2025-02-03,2,2,144,False
2025-02-04,3,3,144,False
2025-02-05,4,4,180,False
2025-02-06,5,5,252,False
2025-02-07,6,6,216,False
2025-02-08,7,7,324,False
2025-02-09,8,8,324,False
2025-02-10,9,9,324,False
2025-02-11,10,10,396,False
2025-02-12,11,11,396,False
2025-02-13,12,12,432,False
2025-02-14,13,13,468,False
2025-02-15,14,14,504,False
2025-02-16,15,15,504,False
2025-02-17,16,16,504,False
2025-02-18,16,16,468,False
2025-02-19,16,16,468,False
2025-02-20,16,16,504,False
2025-02-21,16,16,468,False
2025-02-22,16,16,468,False
2025-02-23,16,16,504,False
2025-02-24,16,16,432,False
2025-02-25,16,16,396,False
2025-02-26,16,16,396,False
2025-02-27,16,16,432,False
2025-02-28,16,16,432,False
2025-03-01,16,16,432,False
2025-03-02,16,16,396,False
2025-03-03,16,16,360,False
2025-03-04,16,16,324,False
2025-03-05,16,16,396,False
2025-03-06,16,16,396,False
2025-03-07,16,16,396,False
2025-03-08,16,16,396,False
2025-03-09,16,16,396,False
2025-03-10,16,16,396,False
2025-03-11,16,16,432,False
2025-03-12,16,16,432,False
2025-03-13,16,16,468,False
2025-03-14,16,16,432,False
2025-03-15,16,16,432,False
2025-03-16,16,16,396,False
2025-03-17,16,16,360,False
2025-03-18,16,16,432,False
2025-03-19,16,16,360,False
2025-03-20,16,16,360,False
2025-03-21,16,16,468,False
2025-03-22,16,16,468,False
2025-03-23,16,16,360,False
2025-03-24,16,16,396,False
2025-03-25,16,16,396,False
2025-03-26,16,16,396,False
2025-03-27,16,16,360,False
