run_id,role,scenario,days,forecast,seed,executor,conditioning,grid_kwh,throughput_yuan_per_kwh,reversal_yuan,deadband_kwh,terminal_value,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,risk_seconds,planning_seconds,execution_seconds,compute_seconds,max_balance_error,max_state_error,verified,mean_daily_cost,max_daily_cost,risk_fallback_days,tree_fit_seconds,terminal_credit_in_reported_cost,storage_seconds,run_wall_seconds,id,daily_cvar90,worst_date,worst_day_cost,sum_daily_surrogate_objective,continuous_optimality_gap,label,name,experiment,policy_id,physically_comparable,ranking_allowed,exploratory,source,same_dispatch,status,total_wan,planned_wan,emergency_wan,solve_execute_seconds
primary,正式策略,2,334,no_season,42,projected,tree,50,0.002,0.05,2,True,21702244.435096,21702244.435096,197559.782603584,65840,3356310.88921802,13215791.4492587,0,0,850466.027998076,14066257.4772568,6042575.43666935,5438271.60315442,11480847.0398238,477.705499757205,2729,2729,0,10907,12121,23028,20967,30451039.1434652,30455788.1580411,9013.79573991445,4714.78981487835,1432.2413971836,4999.12276225515,4838.28482005762,1421.79911051355,1470.59289458206,1,-1,172.76,0,1.12827545648906,7.49533516680822,0.0743357532192021,8.69794637651648,0,9.09494701772928e-13,True,42114.5433450802,80885.4093009416,2,0.801180331269279,0,0.199688376043923,8.95486908406019,primary,64129.555135445,2025-06-01,80885.4093009416,13801994.5023273,,exp006 正式·树DP,primary,exp006,exp006/primary,True,True,False,data/results/exp006/primary/dispatch_2.npz,False,同物理口径；新规划及执行,1406.62574772568,1321.57914492587,85.0466027998076,8.69794637651648
seed_2026,种子稳定性,2,334,no_season,2026,projected,tree,50,0.002,0.05,2,True,21695177.6812199,21695177.6812199,197686.737021083,66220,3348290.61980446,13210305.315116,0,0,845421.109984166,14055726.4251002,6052697.23481453,5447312.93134467,11500010.1661592,478.5026988224,2725,2725,0,10967,12153,23120,20974,30480795.7645931,30485544.7791689,9163.68925525349,4715.91620699798,1434.63200675639,4999.37959588114,4942.89768995038,1421.79911051355,1542.577023055,1,-1,172.76,0,1.17012159526348,7.87211984570604,0.0782877800520509,9.12052922102157,0,9.09494701772928e-13,True,42083.013248803,84690.4183705265,2,0.831817289348692,0,0.190573542146012,9.37082400009967,seed_2026,64429.2900634606,2025-06-01,84690.4183705265,13792603.4533636,,exp006 树DP·种子2026,seed_2026,exp006,exp006/seed_2026,True,True,False,data/results/exp006/seed_2026/dispatch_2.npz,False,同物理口径；新规划及执行,1405.57264251002,1321.0305315116,84.5421109984166,9.12052922102157
seed_3407,种子稳定性,2,334,no_season,3407,projected,tree,50,0.002,0.05,2,True,21681500.5861463,21681500.5861463,202731.904737208,66210,3339432.51590465,13197952.1186864,0,0,877653.131143669,14075605.24983,6054373.28456454,5448762.80455233,11503136.0891169,478.63262969557,2725,2725,0,10997,12156,23153,20988,30479002.5561582,30483751.5707341,9138.01732296082,4716.5005101606,1435.0219672052,4998.62963991368,4973.49801979916,1421.79911051355,1604.31687604847,1,-1,172.76,0,1.17519103363156,7.88326995866373,0.0777201170567423,9.13618110935204,0,9.09494701772928e-13,True,42142.5306881139,85162.0761096175,2,0.833890376496129,0,0.191867290413938,9.3874684170587,seed_3407,64522.1051514944,2025-06-01,85162.0761096175,13786142.2189607,,exp006 树DP·种子3407,seed_3407,exp006,exp006/seed_3407,True,True,False,data/results/exp006/seed_3407/dispatch_2.npz,False,同物理口径；新规划及执行,1407.560524983,1319.79521186864,87.7653131143669,9.13618110935204
causal_42,预测兼容对照,2,334,causal_season,42,projected,tree,50,0.002,0.05,2,True,21718716.7240269,21718716.7240269,201661.790745887,64750,3376926.03702061,13224871.8941921,0,0,869418.037314804,14094289.9315069,6041591.6150861,5437328.63230063,11478920.2473867,477.6251950214,2733,2733,0,10918,12130,23048,20978,30418457.6883472,30423206.7029231,9012.49133147988,4713.50527258197,1432.00102886561,4999.28999051061,4986.9980441858,1421.79911051355,1531.23634533187,1,-1,172.76,0,1.16330216627102,7.849160992424,0.0765647847438231,9.08902794343885,0,9.09494701772928e-13,True,42198.4728488229,86083.0255729522,2,0.826357296784408,0,0.18802633380983,9.33491362491623,causal_42,65054.4204820174,2025-06-01,86083.0255729522,13818573.7001577,,exp006 历史季节·树DP,causal_42,exp006,exp006/causal_42,True,True,False,data/results/exp006/causal_42/dispatch_2.npz,False,同物理口径；新规划及执行,1409.42899315069,1322.48718941921,86.9418037314804,9.08902794343885
causal_2026,种子稳定性,2,334,causal_season,2026,projected,tree,50,0.002,0.05,2,True,21718314.2213713,21718314.2213713,196666.148800595,64510,3371009.3624471,13228793.605371,0,0,843390.150826609,14072183.7561976,6045679.69148094,5440898.17872285,11486577.8702038,477.943566775549,2723,2723,0,10940,12144,23084,20944,30480027.0477744,30484776.0623502,9220.71838848569,4710.42200424157,1432.95632113321,4998.54989231963,4855.60328586068,1421.79911051355,1646.89383963879,1,-1,172.76,0,1.20501359051559,8.1048438725993,0.0786490354221314,9.38850649853703,0,9.09494701772928e-13,True,42132.2866952023,86821.6142012683,2,0.85742158757057,0,0.210057707387023,9.65850637492258,causal_2026,64798.1071330061,2025-06-01,86821.6142012683,13812849.7271674,,exp006 历史季节·2026,causal_2026,exp006,exp006/causal_2026,True,True,False,data/results/exp006/causal_2026/dispatch_2.npz,False,同物理口径；新规划及执行,1407.21837561976,1322.8793605371,84.3390150826609,9.38850649853703
causal_3407,种子稳定性,2,334,causal_season,3407,projected,tree,50,0.002,0.05,2,True,21699298.2498059,21699298.2498059,202468.125405259,64020,3357004.44157149,13207545.3739151,0,0,878465.452625661,14086010.8265408,6052880.08300813,5447307.64433508,11500187.7273432,478.509694323646,2727,2727,0,10948,12155,23103,20945,30446201.9463971,30450950.960973,9191.48295813711,4708.12596002015,1434.6541576027,4999.98873394902,4838.28482005762,1421.79911051355,1721.61504784539,1,-1,172.76,0,1.29951930069365,8.66179179702885,0.0880857884185388,10.049396886141,0,9.09494701772928e-13,True,42173.6851094036,85851.4804692587,2,0.911854914971627,0,0.207360500469804,10.3270824580686,causal_3407,64966.0764764601,2025-06-01,85851.4804692587,13796763.6102515,,exp006 历史季节·3407,causal_3407,exp006,exp006/causal_3407,True,True,False,data/results/exp006/causal_3407/dispatch_2.npz,False,同物理口径；新规划及执行,1408.60108265408,1320.75453739151,87.8465452625661,10.049396886141
cost_only,消融,2,334,no_season,42,projected,tree,50,0,0,0,True,21702898.1414103,21702898.1414103,198364.863344612,65670,3357574.42292381,13215909.9956215,0,0,855407.059265939,14071317.0548875,6044516.61291859,5440017.52605415,11484534.1389727,477.858913332774,2731,2731,0,10049,12147,22196,21229,30353734.1014697,30358483.1160456,9013.79573991445,4716.43245235548,1432.70136464231,4999.12276225515,4838.28482005762,1421.79911051355,1471.7900534119,1,-1,172.76,0,1.21079016814474,8.12251258222386,0.0794392119860276,9.41274196235463,0,9.09494701772928e-13,True,42129.6917811002,80877.5708780637,2,0.861045125173405,0,0.194551415974274,9.66790666698944,cost_only,64129.0562943656,2025-06-01,80877.5708780637,13775868.2581137,,exp006 仅费用,cost_only,exp006,exp006/cost_only,True,True,False,data/results/exp006/cost_only/dispatch_2.npz,False,同物理口径；新规划及执行,1407.13170548875,1321.59099956215,85.5407059265939,9.41274196235463
no_tree,消融,2,334,no_season,42,projected,per_slot,50,0.002,0.05,2,True,21831208.9479634,21831208.9479634,205820.00962752,68990,3497143.0125309,13314119.3597086,0,0,881097.940131932,14195217.2998406,6007097.36060535,5406400.91051199,11413498.2711173,474.903328174096,2721,2721,0,10935,12109,23044,20852,30278315.177545,30283064.1921209,9149.52132440849,4711.13514976988,1423.83960468031,4996.12382651133,4838.28482005762,1421.79911051355,1407.7944714521,1,-1,172.76,0,0.153794866288081,8.19689713639673,0.0776612871559336,8.42835328984074,0,9.09494701772928e-13,True,42500.650598325,84018.3795715183,2,0,0,0.211944499402307,8.69950683298521,no_tree,64570.2737656088,2025-07-03,84018.3795715183,13905665.0961696,,exp006 无条件树,no_tree,exp006,exp006/no_tree,True,True,False,data/results/exp006/no_tree/dispatch_2.npz,False,同物理口径；新规划及执行,1419.52172998406,1331.41193597086,88.1097940131932,8.42835328984074
more_throughput_penalty,消融,2,334,no_season,42,projected,tree,50,0.01,0.05,2,True,21688245.6198597,21688245.6198597,199516.234882956,66660,3367118.59589962,13222248.4259319,0,0,857579.417088157,14079827.84302,5813812.44934583,5232358.68546946,11046171.1348153,459.619045654523,2047,2047,0,9922,11714,21636,19935,25858387.1547926,25863136.1693685,8538.77410678115,4528.31817146532,1378.01536112965,4998.30100803787,4854.18783404107,1421.79911051355,1498.24078702991,1,-1,172.76,0,1.24779165664222,8.41373746609315,0.0819552926113829,9.74348441534676,0,9.09494701772928e-13,True,42155.1731826947,80803.4423405699,2,0.884192337980494,0,0.197603040840477,10.0031703329878,more_throughput_penalty,64118.1449135699,2025-06-01,80803.4423405699,13908935.1395369,,exp006 较强吞吐惩罚,more_throughput_penalty,exp006,exp006/more_throughput_penalty,True,True,False,data/results/exp006/more_throughput_penalty/dispatch_2.npz,False,同物理口径；新规划及执行,1407.982784302,1322.22484259319,85.7579417088157,9.74348441534676
zero_terminal,消融,2,334,no_season,42,projected,tree,50,0.002,0.05,2,False,21702244.435096,21702244.435096,197559.782603584,65840,3356310.88921802,13215791.4492587,0,0,850466.027998076,14066257.4772568,6042575.43666935,5438271.60315442,11480847.0398238,477.705499757205,2729,2729,0,10907,12121,23028,20967,30451039.1434652,30455788.1580411,9013.79573991445,4714.78981487835,1432.2413971836,4999.12276225515,4838.28482005762,1421.79911051355,1470.59289458206,1,-1,172.76,0,1.35599599406123,9.08450554625597,0.0894957087002694,10.5299972490175,0,9.09494701772928e-13,True,42114.5433450802,80885.4093009416,2,0.955378992366604,0,0.238773337099701,10.8359650840284,zero_terminal,64129.555135445,2025-06-01,80885.4093009416,13801994.5023273,,exp006 无终值,zero_terminal,exp006,exp006/zero_terminal,True,True,False,data/results/exp006/zero_terminal/dispatch_2.npz,False,同物理口径；新规划及执行,1406.62574772568,1321.57914492587,85.0466027998076,10.5299972490175
