experiment,policy_id,label,role,physically_comparable,ranking_allowed,exploratory,source,charge_kwh,discharge_kwh,initial_soc,final_soc,throughput_kwh,equivalent_full_cycles,direction_reversals,simultaneous_slots,power_variation_kw
exp001,exp001/legacy_rebased,exp001 同口径重算,历史对照,True,True,False,data/results/exp003/baseline/exp002_q2_costs.csv,6276030.03677205,5648637.45020651,,1200,11924667.4869786,496.172981125354,,,
exp002,exp002/primary,exp002 正式风险,当轮正式策略,True,True,False,data/results/exp002/dispatch_2.npz,6316145.32618928,5684741.21068202,1421.79911051355,1200,12000886.5368713,499.344373214237,8881,0,33471223.3874074
exp002,exp002/new_deterministic,exp002 同确定性,历史对照,True,True,False,data/results/exp003/baseline/exp002_q2_costs.csv,6315396.677972,5684067.42728647,,1200,11999464.1052585,499.285187375916,,,
exp003,exp003/primary,exp003 正式,当轮正式策略,True,True,False,data/results/exp003/dispatch_2.npz,6341190.38943135,5707232.23431987,1421.79911051355,1252.21266160668,12048422.6237512,501.322183786367,8809,0,33384990.3142207
exp003,exp003/uncalibrated,exp003 未校准,历史对照,True,True,False,data/results/exp003/dispatch_metrics.csv,6320654.21244361,5688799.20831092,1421.79911051355,1200,12009453.4207545,499.700831971095,,,
exp004,exp004/no_season,exp004 无季节,同预测基线,True,True,False,data/results/exp004/no_season/dispatch_2.npz,6313399.08758655,5682140.76824373,1421.79911051355,1335.79631484864,11995539.8558303,499.121605809879,7715,0,33430432.9181797
exp004,exp004/causal_season,exp004 历史季节,当轮正式策略,True,True,False,data/results/exp004/causal_season/dispatch_2.npz,6317717.49161782,5685938.60374733,1421.79911051355,1429.32397020921,12003656.0953652,499.459108639131,7619,0,33443497.3775958
exp004,exp004/oracle_season,exp004 全年探索,含未来探索,True,False,True,data/results/exp004/oracle_season/dispatch_2.npz,6298402.74801812,5668554.14258255,1421.79911051355,1430.58036952087,11966956.8906007,497.932091734229,7491,0,33318576.6943647
exp001,exp001/original,exp001 原登记（不可比）,原登记不可比,False,False,False,data/results/exp001/dispatch_2.npz,6359633.61873862,5157736.17742078,8347.71804722222,1200,11517369.7961594,,7969,0,26899728.8299876
exp006,exp006/primary,exp006 正式·树DP,正式策略,True,True,False,data/results/exp006/primary/dispatch_2.npz,6042575.43666935,5438271.60315442,1421.79911051355,1470.59289458206,11480847.0398238,477.705499757205,2729,0,30451039.1434652
exp006,exp006/seed_2026,exp006 树DP·种子2026,种子稳定性,True,True,False,data/results/exp006/seed_2026/dispatch_2.npz,6052697.23481453,5447312.93134467,1421.79911051355,1542.577023055,11500010.1661592,478.5026988224,2725,0,30480795.7645931
exp006,exp006/seed_3407,exp006 树DP·种子3407,种子稳定性,True,True,False,data/results/exp006/seed_3407/dispatch_2.npz,6054373.28456454,5448762.80455233,1421.79911051355,1604.31687604847,11503136.0891169,478.63262969557,2725,0,30479002.5561582
exp006,exp006/causal_42,exp006 历史季节·树DP,预测兼容对照,True,True,False,data/results/exp006/causal_42/dispatch_2.npz,6041591.6150861,5437328.63230063,1421.79911051355,1531.23634533187,11478920.2473867,477.6251950214,2733,0,30418457.6883472
exp006,exp006/causal_2026,exp006 历史季节·2026,种子稳定性,True,True,False,data/results/exp006/causal_2026/dispatch_2.npz,6045679.69148094,5440898.17872285,1421.79911051355,1646.89383963879,11486577.8702038,477.943566775549,2723,0,30480027.0477744
exp006,exp006/causal_3407,exp006 历史季节·3407,种子稳定性,True,True,False,data/results/exp006/causal_3407/dispatch_2.npz,6052880.08300813,5447307.64433508,1421.79911051355,1721.61504784539,11500187.7273432,478.509694323646,2727,0,30446201.9463971
exp006,exp006/cost_only,exp006 仅费用,消融,True,True,False,data/results/exp006/cost_only/dispatch_2.npz,6044516.61291859,5440017.52605415,1421.79911051355,1471.7900534119,11484534.1389727,477.858913332774,2731,0,30353734.1014697
exp006,exp006/no_tree,exp006 无条件树,消融,True,True,False,data/results/exp006/no_tree/dispatch_2.npz,6007097.36060535,5406400.91051199,1421.79911051355,1407.7944714521,11413498.2711173,474.903328174096,2721,0,30278315.177545
exp006,exp006/more_throughput_penalty,exp006 较强吞吐惩罚,消融,True,True,False,data/results/exp006/more_throughput_penalty/dispatch_2.npz,5813812.44934583,5232358.68546946,1421.79911051355,1498.24078702991,11046171.1348153,459.619045654523,2047,0,25858387.1547926
exp006,exp006/zero_terminal,exp006 无终值,消融,True,True,False,data/results/exp006/zero_terminal/dispatch_2.npz,6042575.43666935,5438271.60315442,1421.79911051355,1470.59289458206,11480847.0398238,477.705499757205,2729,0,30451039.1434652
exp006,exp006/greedy_execution,exp006 旧执行·重新规划,消融,True,True,False,data/results/exp006/greedy_execution/dispatch_2.npz,6190052.90466772,5570850.30892539,1421.79911051355,1629.77713222176,11760903.2135931,489.357984641374,6755,0,32666146.3282527
exp006,exp006/no_deadband,exp006 无死区,消融,True,True,False,data/results/exp006/no_deadband/dispatch_2.npz,6042574.17603141,5438270.46858028,1421.79911051355,1470.59289458206,11480844.6446117,477.705400095026,2731,0,30452352.7533244
exp006,exp006/primary_grid25,exp006 正式·25kWh,网格精度核查,True,True,False,data/results/exp006/primary_grid25/dispatch_2.npz,6090087.90803904,5481032.82738714,1421.79911051355,1470.59289458547,11571120.7354262,481.461690427,2729,0,31202198.5898671
exp006,exp006/causal_42_grid25,exp006 历史季节·25kWh,网格精度核查,True,True,False,data/results/exp006/causal_42_grid25/dispatch_2.npz,6089282.71782134,5480256.85650382,1421.79911051355,1524.66751304764,11569539.5743252,481.395781441956,2735,0,31218765.2732258
