name,label,month,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,charge_kwh,discharge_kwh,date
causal_2026,exp006 历史季节·2026,2,1242440.37266021,1185513.57179965,56926.8008605642,1956441.93161681,13828.6962015032,566274.459855494,509317.746347539,2025-02-01
causal_2026,exp006 历史季节·2026,3,1162410.20797088,1102317.42211937,60092.7858515118,1859937.20677875,14108.4444954742,566274.463664279,509791.274368877,2025-03-01
causal_2026,exp006 历史季节·2026,4,979900.491175941,948126.809973358,31773.6812025826,1633744.13293174,7604.85264920335,501412.009393464,451396.436701572,2025-04-01
causal_2026,exp006 历史季节·2026,5,1030213.88050058,945637.454333933,84576.4261666509,1603470.48414708,18659.0117692447,477913.485683804,429600.310034671,2025-05-01
causal_2026,exp006 历史季节·2026,6,1443374.00999827,1265460.06233619,177913.947662079,2050072.78887218,40149.7159251688,516164.125400733,464530.072042695,2025-06-01
causal_2026,exp006 历史季节·2026,7,1604937.62876157,1474361.59287794,130576.035883632,2361616.51566722,32261.8610342798,525475.121236625,473305.52886774,2025-07-01
causal_2026,exp006 历史季节·2026,8,1326789.69270726,1253287.03943811,73502.6532691497,2021625.14989965,17050.4252522024,511511.343614516,460577.573869678,2025-08-01
causal_2026,exp006 历史季节·2026,9,1173580.99909102,1117760.44821452,55820.5508764955,1812826.51221967,12377.5906966218,509092.155176172,457869.83727725,2025-09-01
causal_2026,exp006 历史季节·2026,10,1139402.3544923,1104131.73386377,35270.6206285324,1830647.43943731,8263.56657277603,568611.827778571,511732.873721059,2025-10-01
causal_2026,exp006 历史季节·2026,11,1266032.79586463,1215934.93594978,50097.859914856,1990358.38742383,11390.8712622203,609851.870269895,549066.23532006,2025-11-01
causal_2026,exp006 历史季节·2026,12,1703101.32297491,1616262.53446435,86838.7885105546,2597573.67237704,20971.1129419004,693098.82940739,623710.290171708,2025-12-01
causal_3407,exp006 历史季节·3407,2,1243910.9873682,1186831.32018095,57079.6671872495,1957930.28673735,13824.9001827566,565127.823956416,508315.794261233,2025-02-01
causal_3407,exp006 历史季节·3407,3,1164086.10172282,1096607.58358363,67478.5181391973,1853818.81629281,15389.7531866949,567329.349960559,510782.008161983,2025-03-01
causal_3407,exp006 历史季节·3407,4,979892.193308774,950510.12386792,29382.0694408535,1636850.69425126,6915.96017121916,502080.732313654,451917.004780341,2025-04-01
causal_3407,exp006 历史季节·3407,5,1029352.31779747,942291.220487804,87061.0973096657,1599836.32309311,18759.7974741555,479215.045474592,430823.62113779,2025-05-01
causal_3407,exp006 历史季节·3407,6,1449523.25986111,1256752.48533558,192770.774525531,2044536.61897721,42985.9557863913,518911.254040796,467155.366413266,2025-06-01
causal_3407,exp006 历史季节·3407,7,1608201.65374245,1473576.8098673,134624.843875147,2359571.92698333,32994.7086490354,525289.497194188,473070.918250157,2025-07-01
causal_3407,exp006 历史季节·3407,8,1326921.22793532,1256738.37369808,70182.8542372414,2020962.91487338,16356.296385948,510355.856975016,459310.03039263,2025-08-01
causal_3407,exp006 历史季节·3407,9,1165362.01432334,1106154.15493482,59207.8593885178,1800069.41121629,13271.376269877,513755.910291161,462193.607562151,2025-09-01
causal_3407,exp006 历史季节·3407,10,1139762.73477143,1113520.70614594,26242.0286254825,1845652.77854378,6058.36441708521,566118.298956655,509433.976818664,2025-10-01
causal_3407,exp006 历史季节·3407,11,1268832.28101859,1218285.98229846,50546.2987201288,1994541.83525711,11400.6501157219,609680.669743958,549014.468748555,2025-11-01
causal_3407,exp006 历史季节·3407,12,1710166.05469128,1606276.61351463,103889.441176647,2585526.64358031,24510.3627663745,695015.644101137,625290.847808313,2025-12-01
causal_42,exp006 历史季节·树DP,2,1243829.90824211,1186753.51352987,57076.3947122464,1958074.38565038,13548.7243056025,564783.435721412,507989.666307326,2025-02-01
causal_42,exp006 历史季节·树DP,3,1161988.42522316,1099641.38514253,62347.0400806249,1857500.29020153,14452.3172912946,566497.422163038,509974.320644324,2025-03-01
causal_42,exp006 历史季节·树DP,4,979957.565481509,949778.712081655,30178.8533998537,1637061.28317932,7235.54070814401,501288.211046018,451272.428096861,2025-04-01
causal_42,exp006 历史季节·树DP,5,1033336.40727733,947666.52361727,85669.8836600559,1607082.83946526,18677.1395992637,478197.487852793,429410.277059497,2025-05-01
causal_42,exp006 历史季节·树DP,6,1441816.42078787,1256702.95018482,185113.470603051,2035547.01185846,41372.0651559178,517234.054323556,465933.108659097,2025-06-01
causal_42,exp006 历史季节·树DP,7,1617986.06188773,1476555.59452229,141430.467365436,2363699.12218419,35062.267562296,521262.168684211,469368.906573981,2025-07-01
causal_42,exp006 历史季节·树DP,8,1331001.01834399,1262565.56641168,68435.4519323162,2036393.82918335,16008.6640618845,508985.377504503,458382.963870444,2025-08-01
causal_42,exp006 历史季节·树DP,9,1170891.95061026,1113746.72631527,57145.2242949929,1806213.37237771,12659.8805466471,508884.499926449,457744.570363529,2025-09-01
causal_42,exp006 历史季节·树DP,10,1137593.34069998,1098361.23399237,39232.1067076112,1825624.19116407,8827.9337915096,570473.885482557,513435.037351378,2025-10-01
causal_42,exp006 历史季节·树DP,11,1268014.60266643,1225783.23307411,42231.3695923212,2002510.36532845,9556.28601300209,607940.504683693,547421.911779915,2025-11-01
causal_42,exp006 历史季节·树DP,12,1707874.23028648,1607316.45532018,100557.774966295,2589010.03343414,24260.9717103254,696044.567697863,626395.441594278,2025-12-01
causal_42_grid25,exp006 历史季节·25kWh,2,1242081.51762783,1183257.16275405,58824.3548737825,1957929.75070765,13904.4887834065,568059.947422117,511036.401180639,2025-02-01
causal_42_grid25,exp006 历史季节·25kWh,3,1160310.69858048,1095641.14558975,64669.5529907316,1855947.24045212,14936.037814194,569623.530756854,512689.944036077,2025-03-01
causal_42_grid25,exp006 历史季节·25kWh,4,977649.343558538,947083.733806909,30565.6097516292,1636153.47057402,7300.19945230173,504271.518676766,453961.111082081,2025-04-01
causal_42_grid25,exp006 历史季节·25kWh,5,1032376.9127353,946583.782083496,85793.1306517988,1607144.49738783,18833.2396481476,479706.556001122,430783.050869166,2025-05-01
causal_42_grid25,exp006 历史季节·25kWh,6,1439528.71489931,1253776.36341294,185752.351486369,2036274.30199913,41701.6416240736,523566.264401823,471679.416150498,2025-06-01
causal_42_grid25,exp006 历史季节·25kWh,7,1614861.40411918,1473232.70453778,141628.699581402,2364335.31179409,35155.08374454,529162.327009622,476436.279226715,2025-07-01
causal_42_grid25,exp006 历史季节·25kWh,8,1329931.98234818,1261695.80229497,68236.1800532119,2037487.17965767,15994.5531218294,512781.268022327,461844.872959133,2025-08-01
causal_42_grid25,exp006 历史季节·25kWh,9,1169162.0761221,1112382.20496458,56779.87115752,1806579.11879451,12632.9603612478,512163.676380913,460634.582065248,2025-09-01
causal_42_grid25,exp006 历史季节·25kWh,10,1137092.00893079,1095775.06884284,41316.9400879446,1824728.97297958,9269.40051518191,573172.965964242,515829.643788477,2025-10-01
causal_42_grid25,exp006 历史季节·25kWh,11,1266780.09788898,1222170.82203544,44609.2758535309,2002045.25473801,10003.9854754664,611827.136101982,550947.056605023,2025-11-01
causal_42_grid25,exp006 历史季节·25kWh,12,1705155.57581208,1602418.50106984,102737.074742239,2588891.92137972,24775.9251260246,704947.527083569,634414.498540766,2025-12-01
cost_only,exp006 仅费用,2,1243477.89667071,1186800.78143219,56677.1152385244,1957912.71905245,13529.784649838,565097.364863377,508279.197814297,2025-02-01
