date,total_cost_current,total_cost_baseline,difference_yuan
2025-02-01,38272.9771687233,23571.9689278048,14701.0082409185
2025-02-02,60979.2564395502,56645.5976743377,4333.65876521247
2025-02-03,57162.8553457826,55481.0302544604,1681.82509132216
2025-02-04,57535.5705071047,56884.9825110156,650.587996089125
2025-02-05,58100.6771528689,57830.0018085254,270.675344343581
2025-02-06,56547.2116517565,57069.2302986982,-522.018646941651
2025-02-07,23626.9540594086,22253.3732498828,1373.58080952581
2025-02-08,20948.0508653092,19801.1666926576,1146.88417265157
2025-02-09,56681.4272574188,51956.5032605836,4724.92399683526
2025-02-10,54584.3543644592,54526.0578309735,58.2965334856926
2025-02-11,53451.2913380168,50596.9044125728,2854.38692544396
2025-02-12,53561.2044715486,51497.0028534553,2064.20161809323
2025-02-13,52582.3798742334,51334.1169394008,1248.26293483259
2025-02-14,20096.6506695998,18445.913431625,1650.73723797481
2025-02-15,21427.1205824362,18677.2278078361,2749.89277460015
2025-02-16,53127.4551430559,50294.5734070462,2832.88173600964
2025-02-17,51009.214983608,51124.4333926159,-115.218409007895
2025-02-18,50201.9036617115,49091.9974302287,1109.9062314829
2025-02-19,51760.7875965073,48956.0772283039,2804.7103682034
2025-02-20,50619.7335983639,49255.0897023247,1364.64389603927
2025-02-21,19179.8397537599,18053.6632383547,1126.17651540523
2025-02-22,19230.9494565135,18086.4454066713,1144.50404984214
2025-02-23,49692.4968689778,49070.3723444947,622.124524483042
2025-02-24,49527.2372948741,48473.8799966996,1053.35729817447
2025-02-25,47906.7754444868,47146.7295596932,760.045884793632
2025-02-26,47334.7621897045,45737.1575916946,1597.60459800988
2025-02-27,49925.810837801,46279.5590503805,3646.25178742056
2025-02-28,18444.080216308,17413.1343403652,1030.94587594283
2025-03-01,18679.5602299977,17237.8431252235,1441.71710477419
2025-03-02,55509.5815979928,55851.9695308323,-342.387932839454
2025-03-03,52078.8536709769,49538.4867282939,2540.366942683
2025-03-04,50162.4032127699,50138.856784053,23.546428716887
2025-03-05,48663.4128427692,48086.1620331633,577.250809605874
2025-03-06,47411.5707225937,45680.4248167877,1731.14590580604
2025-03-07,17551.2674137671,17071.0958872783,480.171526488863
2025-03-08,17514.1092165927,16223.493608737,1290.61560785566
2025-03-09,44593.1648514675,42880.1286221928,1713.03622927469
2025-03-10,47031.0046120194,46856.2283190965,174.776292922877
2025-03-11,46348.4000181634,44840.6939080295,1507.70611013391
2025-03-12,44657.2626743118,43043.5704140214,1613.69226029036
2025-03-13,50760.1212609378,52551.4189369029,-1791.29767596514
2025-03-14,16961.1486996766,15594.8435132251,1366.30518645153
2025-03-15,17236.2359281388,15593.1284399243,1643.10748821447
2025-03-16,45360.9444879711,43385.1269414156,1975.81754655547
2025-03-17,43649.4365157792,41824.4421870196,1824.99432875967
2025-03-18,47940.9196539544,43751.11623026,4189.80342369444
2025-03-19,43869.1579068703,41376.9455048357,2492.21240203458
2025-03-20,44611.7233818377,41372.410151713,3239.3132301247
2025-03-21,16990.6086787713,15441.8790719026,1548.72960686868
2025-03-22,16278.4611875811,15412.5006334999,865.960554081201
2025-03-23,43454.343011169,40600.1350841443,2854.20792702477
2025-03-24,43487.7779250445,40624.5665576666,2863.21136737792
2025-03-25,43872.9301631266,38735.3669124965,5137.56325063013
