run_id,role,scenario,days,forecast,seed,executor,conditioning,grid_kwh,throughput_yuan_per_kwh,reversal_yuan,deadband_kwh,terminal_value,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,risk_seconds,planning_seconds,execution_seconds,compute_seconds,max_balance_error,max_state_error,verified,mean_daily_cost,max_daily_cost,risk_fallback_days,tree_fit_seconds,terminal_credit_in_reported_cost,storage_seconds,run_wall_seconds
primary,primary,2,334,no_season,42,projected,tree,50.0,0.002,0.05,2.0,True,21702244.43509603,21702244.43509603,197559.78260358394,65840.0,3356310.8892180175,13215791.449258711,0.0,0.0,850466.0279980757,14066257.477256786,6042575.436669347,5438271.603154417,11480847.039823763,477.7054997572055,2729,2729,0,10907,12121,23028,20967,30451039.1434652,30455788.15804109,9013.795739914454,4714.789814878349,1432.241397183603,4999.122762255147,4838.28482005762,1421.7991105135516,1470.5928945820604,1,-1,172.75999999999976,0.0,1.1282754564890638,7.495335166808218,0.07433575321920216,8.697946376516484,0.0,9.094947017729282e-13,True,42114.5433450802,80885.40930094164,2,0.8011803312692791,0.0,0.1996883760439232,8.954869084060192
seed_2026,prespecified_comparison,2,334,no_season,2026,projected,tree,50.0,0.002,0.05,2.0,True,21695177.681219902,21695177.681219902,197686.73702108342,66220.0,3348290.6198044643,13210305.315116048,0.0,0.0,845421.1099841663,14055726.425100215,6052697.234814529,5447312.931344674,11500010.166159203,478.50269882240013,2725,2725,0,10967,12153,23120,20974,30480795.764593057,30485544.77916895,9163.689255253488,4715.916206997981,1434.6320067563875,4999.379595881135,4942.897689950377,1421.7991105135516,1542.5770230550008,1,-1,172.75999999999976,0.0,1.1701215952634811,7.872119845706038,0.07828778005205095,9.12052922102157,0.0,9.094947017729282e-13,True,42083.013248803036,84690.41837052649,2,0.8318172893486917,0.0,0.1905735421460122,9.370824000099674
seed_3407,prespecified_comparison,2,334,no_season,3407,projected,tree,50.0,0.002,0.05,2.0,True,21681500.58614633,21681500.58614633,202731.90473720836,66210.0,3339432.5159046534,13197952.118686372,0.0,0.0,877653.1311436691,14075605.249830041,6054373.2845645435,5448762.804552328,11503136.089116873,478.6326296955704,2725,2725,0,10997,12156,23153,20988,30479002.556158215,30483751.570734106,9138.017322960819,4716.500510160603,1435.0219672051985,4998.629639913675,4973.498019799157,1421.7991105135516,1604.3168760484675,1,-1,172.75999999999976,0.0,1.1751910336315632,7.883269958663732,0.07772011705674231,9.136181109352037,0.0,9.094947017729282e-13,True,42142.5306881139,85162.0761096175,2,0.8338903764961287,0.0,0.19186729041393846,9.387468417058699
causal_42,prespecified_comparison,2,334,causal_season,42,projected,tree,50.0,0.002,0.05,2.0,True,21718716.72402685,21718716.72402685,201661.7907458873,64750.0,3376926.0370206065,13224871.894192053,0.0,0.0,869418.0373148042,14094289.931506857,6041591.615086095,5437328.632300627,11478920.247386722,477.62519502139975,2733,2733,0,10918,12130,23048,20978,30418457.688347183,30423206.702923074,9012.49133147988,4713.505272581968,1432.001028865609,4999.289990510607,4986.998044185798,1421.7991105135516,1531.2363453318703,1,-1,172.75999999999976,0.0,1.1633021662710235,7.849160992424004,0.07656478474382311,9.08902794343885,0.0,9.094947017729282e-13,True,42198.47284882292,86083.02557295222,2,0.8263572967844084,0.0,0.18802633380983025,9.334913624916226
causal_2026,prespecified_comparison,2,334,causal_season,2026,projected,tree,50.0,0.002,0.05,2.0,True,21718314.22137127,21718314.22137127,196666.14880059496,64510.0,3371009.362447105,13228793.605370972,0.0,0.0,843390.1508266093,14072183.756197581,6045679.691480945,5440898.17872285,11486577.870203797,477.94356677554936,2723,2723,0,10940,12144,23084,20944,30480027.047774352,30484776.062350243,9220.718388485691,4710.422004241572,1432.9563211332081,4998.549892319634,4855.603285860681,1421.7991105135516,1646.893839638789,1,-1,172.75999999999976,0.0,1.2050135905155912,8.104843872599304,0.07864903542213142,9.388506498537026,0.0,9.094947017729282e-13,True,42132.28669520234,86821.61420126834,2,0.8574215875705704,0.0,0.21005770738702267,9.658506374922581
causal_3407,prespecified_comparison,2,334,causal_season,3407,projected,tree,50.0,0.002,0.05,2.0,True,21699298.249805942,21699298.249805942,202468.12540525943,64020.0,3357004.441571486,13207545.37391513,0.0,0.0,878465.452625661,14086010.82654079,6052880.083008132,5447307.644335081,11500187.727343215,478.5096943236463,2727,2727,0,10948,12155,23103,20945,30446201.946397066,30450950.960972957,9191.482958137109,4708.125960020155,1434.6541576026964,4999.988733949016,4838.28482005762,1421.7991105135516,1721.615047845389,1,-1,172.75999999999976,0.0,1.299519300693646,8.661791797028854,0.08808578841853887,10.04939688614104,0.0,9.094947017729282e-13,True,42173.68510940357,85851.48046925868,2,0.9118549149716273,0.0,0.2073605004698038,10.327082458068617
cost_only,prespecified_comparison,2,334,no_season,42,projected,tree,50.0,0.0,0.0,0.0,True,21702898.14141031,21702898.14141031,198364.86334461186,65670.0,3357574.422923813,13215909.995621527,0.0,0.0,855407.0592659388,14071317.054887466,6044516.612918595,5440017.526054152,11484534.138972744,477.8589133327736,2731,2731,0,10049,12147,22196,21229,30353734.101469703,30358483.116045594,9013.795739914454,4716.432452355482,1432.7013646423084,4999.122762255147,4838.28482005762,1421.7991105135516,1471.7900534119021,1,-1,172.75999999999976,0.0,1.2107901681447402,8.122512582223862,0.07943921198602766,9.41274196235463,0.0,9.094947017729282e-13,True,42129.6917811002,80877.5708780637,2,0.8610451251734048,0.0,0.19455141597427428,9.667906666989438
no_tree,prespecified_comparison,2,334,no_season,42,projected,per_slot,50.0,0.002,0.05,2.0,True,21831208.947963413,21831208.947963413,205820.00962752034,68990.0,3497143.0125309024,13314119.359708628,0.0,0.0,881097.9401319317,14195217.29984056,6007097.360605352,5406400.910511989,11413498.27111734,474.9033281740961,2721,2721,0,10935,12109,23044,20852,30278315.17754505,30283064.19212094,9149.521324408488,4711.135149769876,1423.8396046803068,4996.123826511326,4838.28482005762,1421.7991105135516,1407.794471452099,1,-1,172.75999999999976,0.0,0.1537948662880808,8.196897136396728,0.07766128715593368,8.428353289840743,0.0,9.094947017729282e-13,True,42500.65059832504,84018.37957151826,2,0.0,0.0,0.21194449940230697,8.699506832985207
more_throughput_penalty,prespecified_comparison,2,334,no_season,42,projected,tree,50.0,0.01,0.05,2.0,True,21688245.6198597,21688245.6198597,199516.23488295588,66660.0,3367118.5958996178,13222248.42593187,0.0,0.0,857579.4170881571,14079827.843020028,5813812.449345831,5232358.685469462,11046171.134815292,459.61904565452335,2047,2047,0,9922,11714,21636,19935,25858387.15479263,25863136.16936852,8538.774106781148,4528.318171465316,1378.0153611296523,4998.301008037868,4854.187834041067,1421.7991105135516,1498.2407870299076,1,-1,172.75999999999976,0.0,1.247791656642221,8.413737466093153,0.0819552926113829,9.743484415346757,0.0,9.094947017729282e-13,True,42155.17318269469,80803.44234056986,2,0.8841923379804939,0.0,0.19760304084047675,10.003170332987793
zero_terminal,prespecified_comparison,2,334,no_season,42,projected,tree,50.0,0.002,0.05,2.0,False,21702244.43509603,21702244.43509603,197559.78260358394,65840.0,3356310.8892180175,13215791.449258711,0.0,0.0,850466.0279980757,14066257.477256786,6042575.436669347,5438271.603154417,11480847.039823763,477.7054997572055,2729,2729,0,10907,12121,23028,20967,30451039.1434652,30455788.15804109,9013.795739914454,4714.789814878349,1432.241397183603,4999.122762255147,4838.28482005762,1421.7991105135516,1470.5928945820604,1,-1,172.75999999999976,0.0,1.3559959940612316,9.084505546255969,0.08949570870026946,10.52999724901747,0.0,9.094947017729282e-13,True,42114.5433450802,80885.40930094164,2,0.9553789923666045,0.0,0.23877333709970117,10.83596508402843
greedy_execution,prespecified_comparison,2,334,no_season,42,old_greedy,tree,50.0,0.002,0.05,2.0,True,21498222.006786037,21498222.006786037,74976.29775914748,6380.0,3014806.213836188,13127816.456705485,0.0,0.0,406380.2706102266,13534196.72731571,6190052.904667723,5570850.308925394,11760903.213593118,489.3579846413736,6755,6755,0,22804,16131,38935,38654,32666146.328252718,32670973.568252716,9255.186678588405,4522.753688578348,1467.1785446099195,5000.0,5000.0,1421.7991105135516,1629.777132221758,1,-1,172.75999999999976,-329.7938872872046,1.376385506358929,9.333200540859252,0.08622263057623059,10.795808677794412,0.0,9.094947017729282e-13,True,40521.54708777159,86927.06448363201,2,0.9727095374837518,0.0,0.2169086281210184,11.081682207994163
no_deadband,prespecified_comparison,2,334,no_season,42,projected,tree,50.0,0.002,0.05,0.0,True,21702199.02303548,21702199.02303548,197498.7618490046,65690.0,3356204.5824666843,13215779.381186444,0.0,0.0,850175.4737613988,14065954.854947845,6042574.1760314135,5438270.468580278,11480844.64461169,477.7054000950261,2731,2731,0,10914,12136,23050,20987,30452352.75332436,30457101.76790025,9013.795739914454,4714.789814878349,1432.241098379702,4999.122762255147,4838.28482005762,1421.7991105135516,1470.5928945820604,1,-1,172.75999999999976,0.0,1.4392668418586254,9.720032004639506,0.09241961955558509,11.251718466053717,0.0,9.094947017729282e-13,True,42113.637290263,80880.0785872762,2,1.0175923868082464,0.0,0.24095754243899137,11.562221749918535
primary_grid25,resolution_check,2,334,no_season,42,projected,tree,25.0,0.002,0.05,2.0,True,21701970.69551393,21701970.69551393,200108.36195071923,66780.0,3353834.4818460816,13185249.057731614,0.0,0.0,861061.4861518905,14046310.543883504,6090087.908039041,5481032.82738714,11571120.735426182,481.4616904269997,2729,2729,0,10976,12125,23101,21430,31202198.589867055,31206947.604442947,9312.907709195877,4847.3365130461725,1443.5030857567592,4999.598037915125,4980.587314765197,1421.7991105135516,1470.5928945854748,1,-1,172.75999999999976,0.0,1.6843977451790124,39.518791987909935,0.11199829482939094,41.31518802791834,0.0,9.094947017729282e-13,True,42054.82198767516,80993.03988776545,2,1.1802898629102856,0.0,0.25724233489017934,41.65616070793476
causal_42_grid25,resolution_check,2,334,causal_season,42,projected,tree,25.0,0.002,0.05,2.0,True,21717517.020464342,21717517.020464342,204507.51566641344,65410.0,3373809.1798465727,13194017.291392608,0.0,0.0,880913.0412301585,14074930.332622766,6089282.717821338,5480256.856503822,11569539.57432516,481.3957814419563,2735,2735,0,10958,12135,23093,21412,31218765.27322579,31223514.287801683,9312.907709195877,4847.461523354839,1443.305835120404,4999.9820956737585,4980.587314765197,1421.7991105135516,1524.667513047641,1,-1,172.75999999999976,0.0,1.679609832004644,39.20052842050791,0.11053150135558099,40.99066975386813,0.0,9.094947017729282e-13,True,42140.50997791247,85672.09423854393,2,1.1833727008197457,0.0,0.269100125762634,41.344673249986954
fixed_primary_greedy,controlled_executor_replay,2,334,no_season,42,old_greedy,not_refit_archived_primary_purchases,50.0,0.002,0.05,2.0,True,21702244.43509603,21702244.43509603,73848.97521754229,6330.0,3218686.6416473472,13215791.449258711,0.0,0.0,400176.20690697315,13615967.656165684,6180199.684240017,5561982.410540459,11742182.094780475,488.5790191703925,6669,6669,0,22117,16066,38183,37924,31423560.053982116,31428387.293982115,9255.186678588405,4447.8544001597575,1464.843075696167,5000.0,5000.0,1421.7991105135516,1629.777132221758,1,-1,172.75999999999976,-329.7938872872046,0.0,0.0,0.075923926779069,0.075923926779069,0.0,9.094947017729282e-13,True,40766.37022804097,83830.32011350585,2,0.0,0.0,0.21392770786769688,0.33830962504725903
