previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp001,exp001 同口径重算,exp006,exp006 正式·树DP,total_cost,元,15842654.1906855,14066257.4772568,-1776396.71342868,-11.2127468797059,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 同口径重算,exp006,exp006 正式·树DP,planned_cost,元,11613278.0321186,13215791.4492587,1602513.41714013,13.7989757302641,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 同口径重算,exp006,exp006 正式·树DP,emergency_cost,元,4229376.15856689,850466.027998076,-3378910.13056881,-79.8914545286922,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 同口径重算,exp006,exp006 正式·树DP,planned_kwh,kWh,19310623.5697846,21702244.435096,2391620.86531145,12.3850007052782,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 同口径重算,exp006,exp006 正式·树DP,emergency_kwh,kWh,730041.08805508,197559.782603584,-532481.305451496,-72.9385392362082,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 正式风险,exp006,exp006 正式·树DP,total_cost,元,15128897.4527102,14066257.4772568,-1062639.97545337,-7.02390890529177,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 正式风险,exp006,exp006 正式·树DP,planned_cost,元,11755724.512758,13215791.4492587,1460066.93650068,12.4200506307895,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 正式风险,exp006,exp006 正式·树DP,emergency_cost,元,3373172.93995212,850466.027998076,-2522706.91195405,-74.7873576855462,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 正式风险,exp006,exp006 正式·树DP,planned_kwh,kWh,19494424.5794031,21702244.435096,2207819.85569291,11.3253912507148,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 正式风险,exp006,exp006 正式·树DP,emergency_kwh,kWh,579717.66304431,197559.782603584,-382157.880440726,-65.9213794580408,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 同确定性,exp006,exp006 正式·树DP,total_cost,元,15352302.2799138,14066257.4772568,-1286044.80265698,-8.37688562411632,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 同确定性,exp006,exp006 正式·树DP,planned_cost,元,11677852.8610738,13215791.4492587,1537938.58818494,13.1697034247743,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 同确定性,exp006,exp006 正式·树DP,emergency_cost,元,3674449.41883999,850466.027998076,-2823983.39084192,-76.8545996677085,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 同确定性,exp006,exp006 正式·树DP,planned_kwh,kWh,19421489.4202652,21702244.435096,2280755.01483082,11.7434608926079,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp002,exp002 同确定性,exp006,exp006 正式·树DP,emergency_kwh,kWh,628285.617434029,197559.782603584,-430725.834830445,-68.555736893925,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp003,exp003 正式,exp006,exp006 正式·树DP,total_cost,元,14988622.6481765,14066257.4772568,-922365.170919729,-6.1537687122435,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp003,exp003 正式,exp006,exp006 正式·树DP,planned_cost,元,11804823.0801435,13215791.4492587,1410968.36911518,11.9524736587414,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp003,exp003 正式,exp006,exp006 正式·树DP,emergency_cost,元,3183799.56803298,850466.027998076,-2333333.5400349,-73.2877020106039,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp003,exp003 正式,exp006,exp006 正式·树DP,planned_kwh,kWh,19576927.868703,21702244.435096,2125316.56639301,10.8562312771795,True,data/results/exp003/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
