family,metric,n,mean,sample_std
无季节预测,total_cost,3,14065863.050729,9945.2801556371
无季节预测,emergency_cost,3,857846.756375304,17337.3054578984
无季节预测,emergency_kwh,3,199326.141453959,2950.16050617249
无季节预测,charge_kwh,3,6049881.98534947,6382.90889034324
无季节预测,discharge_kwh,3,5444782.44635047,5684.96635190466
历史季节预测,total_cost,3,14084161.5047484,11168.5155692217
历史季节预测,emergency_cost,3,863757.880255692,18209.811435707
历史季节预测,emergency_kwh,3,200265.354983914,3142.96957641291
历史季节预测,charge_kwh,3,6046717.12985839,5715.29402541638
历史季节预测,discharge_kwh,3,5441844.81845285,5056.40834780543
