id,label,passed,errors,days,intervals,max_balance_error_kwh,max_soc_error_kwh,max_cross_day_soc_error_kwh,max_slot_fee_error_yuan,max_daily_cost_error_yuan,recomputed_total_cost,reported_cost_excludes_penalties_and_terminal_value,source_actual_and_tariff_checked,battery_metrics,causality_scope
primary,exp006 正式·树DP,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14066257.4772568,True,True,"{""charge_kwh"": 6042575.436669347, ""discharge_kwh"": 5438271.603154417, ""throughput_kwh"": 11480847.039823763, ""equivalent_full_cycles"": 477.7054997572055, ""direction_reversals"": 2729, ""direction_reversals_including_warmup_boundary"": 2729, ""simultaneous_slots"": 0, ""charging_slots"": 10907, ""discharging_slots"": 12121, ""active_slots"": 23028, ""power_changes_count"": 20967, ""power_ramp_total_kw"": 30451039.1434652, ""power_ramp_total_kw_including_warmup_boundary"": 30455788.15804109, ""power_ramp_max_kw_per_10min"": 9013.795739914454, ""power_ramp_p95_kw_per_10min"": 4714.789814878349, ""mean_absolute_power_kw"": 1432.241397183603, ""max_charge_kw"": 4999.122762255147, ""max_discharge_kw"": 4838.28482005762, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1470.5928945820604, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
seed_2026,exp006 树DP·种子2026,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14055726.4251002,True,True,"{""charge_kwh"": 6052697.234814529, ""discharge_kwh"": 5447312.931344674, ""throughput_kwh"": 11500010.166159203, ""equivalent_full_cycles"": 478.50269882240013, ""direction_reversals"": 2725, ""direction_reversals_including_warmup_boundary"": 2725, ""simultaneous_slots"": 0, ""charging_slots"": 10967, ""discharging_slots"": 12153, ""active_slots"": 23120, ""power_changes_count"": 20974, ""power_ramp_total_kw"": 30480795.764593057, ""power_ramp_total_kw_including_warmup_boundary"": 30485544.77916895, ""power_ramp_max_kw_per_10min"": 9163.689255253488, ""power_ramp_p95_kw_per_10min"": 4715.916206997981, ""mean_absolute_power_kw"": 1434.6320067563875, ""max_charge_kw"": 4999.379595881135, ""max_discharge_kw"": 4942.897689950377, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1542.5770230550008, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
seed_3407,exp006 树DP·种子3407,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14075605.24983,True,True,"{""charge_kwh"": 6054373.2845645435, ""discharge_kwh"": 5448762.804552328, ""throughput_kwh"": 11503136.089116873, ""equivalent_full_cycles"": 478.6326296955704, ""direction_reversals"": 2725, ""direction_reversals_including_warmup_boundary"": 2725, ""simultaneous_slots"": 0, ""charging_slots"": 10997, ""discharging_slots"": 12156, ""active_slots"": 23153, ""power_changes_count"": 20988, ""power_ramp_total_kw"": 30479002.556158215, ""power_ramp_total_kw_including_warmup_boundary"": 30483751.570734106, ""power_ramp_max_kw_per_10min"": 9138.017322960819, ""power_ramp_p95_kw_per_10min"": 4716.500510160603, ""mean_absolute_power_kw"": 1435.0219672051985, ""max_charge_kw"": 4998.629639913675, ""max_discharge_kw"": 4973.498019799157, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1604.3168760484675, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
causal_42,exp006 历史季节·树DP,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14094289.9315069,True,True,"{""charge_kwh"": 6041591.615086095, ""discharge_kwh"": 5437328.632300627, ""throughput_kwh"": 11478920.247386722, ""equivalent_full_cycles"": 477.62519502139975, ""direction_reversals"": 2733, ""direction_reversals_including_warmup_boundary"": 2733, ""simultaneous_slots"": 0, ""charging_slots"": 10918, ""discharging_slots"": 12130, ""active_slots"": 23048, ""power_changes_count"": 20978, ""power_ramp_total_kw"": 30418457.688347183, ""power_ramp_total_kw_including_warmup_boundary"": 30423206.702923074, ""power_ramp_max_kw_per_10min"": 9012.49133147988, ""power_ramp_p95_kw_per_10min"": 4713.505272581968, ""mean_absolute_power_kw"": 1432.001028865609, ""max_charge_kw"": 4999.289990510607, ""max_discharge_kw"": 4986.998044185798, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1531.2363453318703, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
causal_2026,exp006 历史季节·2026,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14072183.7561976,True,True,"{""charge_kwh"": 6045679.691480945, ""discharge_kwh"": 5440898.17872285, ""throughput_kwh"": 11486577.870203797, ""equivalent_full_cycles"": 477.94356677554936, ""direction_reversals"": 2723, ""direction_reversals_including_warmup_boundary"": 2723, ""simultaneous_slots"": 0, ""charging_slots"": 10940, ""discharging_slots"": 12144, ""active_slots"": 23084, ""power_changes_count"": 20944, ""power_ramp_total_kw"": 30480027.047774352, ""power_ramp_total_kw_including_warmup_boundary"": 30484776.062350243, ""power_ramp_max_kw_per_10min"": 9220.718388485691, ""power_ramp_p95_kw_per_10min"": 4710.422004241572, ""mean_absolute_power_kw"": 1432.9563211332081, ""max_charge_kw"": 4998.549892319634, ""max_discharge_kw"": 4855.603285860681, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1646.893839638789, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
causal_3407,exp006 历史季节·3407,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14086010.8265408,True,True,"{""charge_kwh"": 6052880.083008132, ""discharge_kwh"": 5447307.644335081, ""throughput_kwh"": 11500187.727343215, ""equivalent_full_cycles"": 478.5096943236463, ""direction_reversals"": 2727, ""direction_reversals_including_warmup_boundary"": 2727, ""simultaneous_slots"": 0, ""charging_slots"": 10948, ""discharging_slots"": 12155, ""active_slots"": 23103, ""power_changes_count"": 20945, ""power_ramp_total_kw"": 30446201.946397066, ""power_ramp_total_kw_including_warmup_boundary"": 30450950.960972957, ""power_ramp_max_kw_per_10min"": 9191.482958137109, ""power_ramp_p95_kw_per_10min"": 4708.125960020155, ""mean_absolute_power_kw"": 1434.6541576026964, ""max_charge_kw"": 4999.988733949016, ""max_discharge_kw"": 4838.28482005762, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1721.615047845389, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
cost_only,exp006 仅费用,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14071317.0548875,True,True,"{""charge_kwh"": 6044516.612918595, ""discharge_kwh"": 5440017.526054152, ""throughput_kwh"": 11484534.138972744, ""equivalent_full_cycles"": 477.8589133327736, ""direction_reversals"": 2731, ""direction_reversals_including_warmup_boundary"": 2731, ""simultaneous_slots"": 0, ""charging_slots"": 10049, ""discharging_slots"": 12147, ""active_slots"": 22196, ""power_changes_count"": 21229, ""power_ramp_total_kw"": 30353734.101469703, ""power_ramp_total_kw_including_warmup_boundary"": 30358483.116045594, ""power_ramp_max_kw_per_10min"": 9013.795739914454, ""power_ramp_p95_kw_per_10min"": 4716.432452355482, ""mean_absolute_power_kw"": 1432.7013646423084, ""max_charge_kw"": 4999.122762255147, ""max_discharge_kw"": 4838.28482005762, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1471.7900534119021, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
no_tree,exp006 无条件树,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14195217.2998406,True,True,"{""charge_kwh"": 6007097.360605352, ""discharge_kwh"": 5406400.910511989, ""throughput_kwh"": 11413498.27111734, ""equivalent_full_cycles"": 474.9033281740961, ""direction_reversals"": 2721, ""direction_reversals_including_warmup_boundary"": 2721, ""simultaneous_slots"": 0, ""charging_slots"": 10935, ""discharging_slots"": 12109, ""active_slots"": 23044, ""power_changes_count"": 20852, ""power_ramp_total_kw"": 30278315.17754505, ""power_ramp_total_kw_including_warmup_boundary"": 30283064.19212094, ""power_ramp_max_kw_per_10min"": 9149.521324408488, ""power_ramp_p95_kw_per_10min"": 4711.135149769876, ""mean_absolute_power_kw"": 1423.8396046803068, ""max_charge_kw"": 4996.123826511326, ""max_discharge_kw"": 4838.28482005762, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1407.794471452099, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
more_throughput_penalty,exp006 较强吞吐惩罚,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14079827.84302,True,True,"{""charge_kwh"": 5813812.449345831, ""discharge_kwh"": 5232358.685469462, ""throughput_kwh"": 11046171.134815292, ""equivalent_full_cycles"": 459.61904565452335, ""direction_reversals"": 2047, ""direction_reversals_including_warmup_boundary"": 2047, ""simultaneous_slots"": 0, ""charging_slots"": 9922, ""discharging_slots"": 11714, ""active_slots"": 21636, ""power_changes_count"": 19935, ""power_ramp_total_kw"": 25858387.15479263, ""power_ramp_total_kw_including_warmup_boundary"": 25863136.16936852, ""power_ramp_max_kw_per_10min"": 8538.774106781148, ""power_ramp_p95_kw_per_10min"": 4528.318171465316, ""mean_absolute_power_kw"": 1378.0153611296523, ""max_charge_kw"": 4998.301008037868, ""max_discharge_kw"": 4854.187834041067, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1498.2407870299076, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
zero_terminal,exp006 无终值,True,[],334,48096,0,9.09494701772928e-13,0,0,0,14066257.4772568,True,True,"{""charge_kwh"": 6042575.436669347, ""discharge_kwh"": 5438271.603154417, ""throughput_kwh"": 11480847.039823763, ""equivalent_full_cycles"": 477.7054997572055, ""direction_reversals"": 2729, ""direction_reversals_including_warmup_boundary"": 2729, ""simultaneous_slots"": 0, ""charging_slots"": 10907, ""discharging_slots"": 12121, ""active_slots"": 23028, ""power_changes_count"": 20967, ""power_ramp_total_kw"": 30451039.1434652, ""power_ramp_total_kw_including_warmup_boundary"": 30455788.15804109, ""power_ramp_max_kw_per_10min"": 9013.795739914454, ""power_ramp_p95_kw_per_10min"": 4714.789814878349, ""mean_absolute_power_kw"": 1432.241397183603, ""max_charge_kw"": 4999.122762255147, ""max_discharge_kw"": 4838.28482005762, ""initial_soc"": 1421.7991105135516, ""final_soc"": 1470.5928945820604, ""initial_mode"": 1, ""final_mode"": -1, ""initial_power_kw"": 172.75999999999976, ""final_power_kw"": 0.0}",archive cutoff audit plus separately tested future-mutation invariance
