date,period,start_slot,end_slot_exclusive,emergency_kwh
2025-02-01,无,,,0.0
2025-02-02,无,,,0.0
2025-02-03,无,,,0.0
2025-02-04,无,,,0.0
2025-02-05,20:30-20:40,123.0,124.0,173.0312527894581
2025-02-06,07:50-08:10,47.0,49.0,17.048695078380433
2025-02-07,无,,,0.0
2025-02-08,无,,,0.0
2025-02-09,06:10-06:20,37.0,38.0,0.6010645443807334
2025-02-09,10:00-10:50,60.0,65.0,768.089044502394
2025-02-10,无,,,0.0
2025-02-11,无,,,0.0
2025-02-12,无,,,0.0
2025-02-13,无,,,0.0
2025-02-14,无,,,0.0
2025-02-15,无,,,0.0
2025-02-16,05:50-06:00,35.0,36.0,5.661516975403629
2025-02-17,无,,,0.0
2025-02-18,05:50-06:00,35.0,36.0,3.399561461987105
2025-02-19,06:20-06:30,38.0,39.0,9.037460670932319
2025-02-20,06:00-06:10,36.0,37.0,5.4644472704088685
2025-02-21,无,,,0.0
2025-02-22,无,,,0.0
2025-02-23,无,,,0.0
2025-02-24,06:10-06:20,37.0,38.0,5.931070242428177
2025-02-25,无,,,0.0
2025-02-26,无,,,0.0
2025-02-27,09:40-10:20,58.0,62.0,218.02223291782659
2025-02-28,无,,,0.0
2025-03-01,无,,,0.0
2025-03-02,20:20-21:00,122.0,126.0,930.9436243189617
2025-03-02,21:20-21:40,128.0,130.0,32.33915476632917
2025-03-03,无,,,0.0
2025-03-04,无,,,0.0
2025-03-05,无,,,0.0
2025-03-06,无,,,0.0
2025-03-07,无,,,0.0
2025-03-08,无,,,0.0
2025-03-09,无,,,0.0
2025-03-10,无,,,0.0
2025-03-11,无,,,0.0
2025-03-12,无,,,0.0
2025-03-13,09:50-10:50,59.0,65.0,726.0404569108983
2025-03-14,无,,,0.0
2025-03-15,无,,,0.0
2025-03-16,无,,,0.0
2025-03-17,无,,,0.0
2025-03-18,08:50-10:00,53.0,60.0,912.4347815363903
2025-03-19,无,,,0.0
2025-03-20,无,,,0.0
2025-03-21,无,,,0.0
2025-03-22,无,,,0.0
2025-03-23,无,,,0.0
2025-03-24,无,,,0.0
2025-03-25,无,,,0.0
2025-03-26,无,,,0.0
2025-03-27,无,,,0.0
2025-03-28,无,,,0.0
2025-03-29,无,,,0.0
2025-03-30,无,,,0.0
2025-03-31,无,,,0.0
2025-04-01,无,,,0.0
2025-04-02,09:20-10:10,56.0,61.0,734.0491413681987
2025-04-03,无,,,0.0
2025-04-04,无,,,0.0
2025-04-05,无,,,0.0
2025-04-06,无,,,0.0
2025-04-07,无,,,0.0
2025-04-08,无,,,0.0
2025-04-09,无,,,0.0
2025-04-10,无,,,0.0
2025-04-11,无,,,0.0
2025-04-12,无,,,0.0
2025-04-13,无,,,0.0
2025-04-14,无,,,0.0
2025-04-15,无,,,0.0
2025-04-16,无,,,0.0
2025-04-17,无,,,0.0
2025-04-18,无,,,0.0
2025-04-19,无,,,0.0
2025-04-20,无,,,0.0
2025-04-21,无,,,0.0
2025-04-22,无,,,0.0
2025-04-23,无,,,0.0
2025-04-24,无,,,0.0
2025-04-25,无,,,0.0
2025-04-26,无,,,0.0
2025-04-27,无,,,0.0
2025-04-28,无,,,0.0
2025-04-29,无,,,0.0
2025-04-30,无,,,0.0
2025-05-01,20:10-21:30,121.0,129.0,2018.6645681549548
2025-05-01,21:50-22:00,131.0,132.0,57.8532591955109
2025-05-01,22:10-23:40,133.0,142.0,453.68891640555125
2025-05-02,20:30-21:20,123.0,128.0,790.3954290071727
2025-05-02,21:30-22:00,129.0,132.0,593.2416460070051
2025-05-02,22:10-22:40,133.0,136.0,199.97696988257064
2025-05-02,23:00-23:20,138.0,140.0,33.34585258058219
2025-05-02,23:40-24:00,142.0,144.0,61.10652373232435
2025-05-03,20:40-22:00,124.0,132.0,573.1297569734018
2025-05-03,22:10-22:30,133.0,135.0,39.446114263561356
2025-05-03,23:20-23:30,140.0,141.0,8.548538405294492
2025-05-04,20:20-22:00,122.0,132.0,1406.5476127120392
2025-05-04,22:10-22:20,133.0,134.0,76.62310603019051
2025-05-04,22:30-22:50,135.0,137.0,39.03502629126629
2025-05-04,23:10-23:40,139.0,142.0,49.68281077048623
2025-05-05,20:20-21:40,122.0,130.0,1189.64852934001
2025-05-05,22:10-22:50,133.0,137.0,52.75217350705145
2025-05-05,23:10-23:50,139.0,143.0,99.05371131722121
2025-05-06,20:30-21:00,123.0,126.0,571.8056837709726
2025-05-06,21:10-22:00,127.0,132.0,274.4011479978058
2025-05-06,22:10-23:10,133.0,139.0,251.37269648842312
2025-05-07,20:20-20:50,122.0,125.0,1106.1215815022501
2025-05-07,21:00-22:00,126.0,132.0,141.73792253713708
2025-05-07,22:10-23:20,133.0,140.0,149.22481469410752
2025-05-08,20:00-20:20,120.0,122.0,42.206601646795434
2025-05-08,20:30-20:40,123.0,124.0,46.151576468938515
2025-05-09,无,,,0.0
2025-05-10,无,,,0.0
2025-05-11,19:10-19:20,115.0,116.0,13.619049999999902
2025-05-12,无,,,0.0
2025-05-13,无,,,0.0
2025-05-14,无,,,0.0
2025-05-15,无,,,0.0
2025-05-16,无,,,0.0
2025-05-17,无,,,0.0
2025-05-18,20:20-20:30,122.0,123.0,2.7678323524704638
2025-05-19,20:20-20:30,122.0,123.0,67.00333333333333
2025-05-20,无,,,0.0
2025-05-21,无,,,0.0
2025-05-22,无,,,0.0
2025-05-23,无,,,0.0
2025-05-24,无,,,0.0
2025-05-25,无,,,0.0
2025-05-26,无,,,0.0
2025-05-27,无,,,0.0
2025-05-28,无,,,0.0
2025-05-29,无,,,0.0
2025-05-30,无,,,0.0
2025-05-31,无,,,0.0
2025-06-01,10:10-10:50,61.0,65.0,348.0276398562969
2025-06-01,18:50-22:00,113.0,132.0,6964.733133715634
2025-06-01,22:10-22:50,133.0,137.0,288.43227332570876
2025-06-01,23:00-24:00,138.0,144.0,569.4536054971338
2025-06-02,19:00-19:40,114.0,118.0,110.4407597045199
2025-06-02,19:50-21:40,119.0,130.0,2654.336062175271
2025-06-02,21:50-22:00,131.0,132.0,90.8171176188319
2025-06-02,22:10-24:00,133.0,144.0,790.0528812825537
2025-06-03,18:50-19:00,113.0,114.0,30.807926302752094
2025-06-03,19:20-19:50,116.0,119.0,140.36143185031858
2025-06-03,20:20-20:40,122.0,124.0,830.3420874197748
2025-06-03,20:50-22:00,125.0,132.0,383.6281574949817
2025-06-03,22:10-22:20,133.0,134.0,120.7280686743104
2025-06-03,22:30-24:00,135.0,144.0,431.53322472478783
2025-06-04,19:00-19:20,114.0,116.0,28.758700142236535
2025-06-04,20:20-21:40,122.0,130.0,1574.723365908061
