date,period,charge_kwh,discharge_kwh,initial_soc_kwh,final_soc_kwh
2025-03-20,0:00-4:00,7630.91965066902,28.13326586680614,2450.0705876687157,1770.3243903691343
2025-03-20,4:00-8:00,2200.1194672062115,5832.011488596253,2450.0705876687157,1770.3243903691343
2025-03-20,8:00-12:00,6332.839988046202,2670.2740105323232,2450.0705876687157,1770.3243903691343
2025-03-20,12:00-16:00,2389.609930739523,462.15668421712206,2450.0705876687157,1770.3243903691343
2025-03-20,16:00-20:00,256.38516305855956,6248.504938795899,2450.0705876687157,1770.3243903691343
2025-03-20,20:00-24:00,1147.9259132612674,3365.8035779657675,2450.0705876687157,1770.3243903691343
2025-06-21,0:00-4:00,1685.148086438493,8.896925093592301,4628.180722267405,5162.389560832249
2025-06-21,4:00-8:00,1301.929106224497,3209.9375968821378,4628.180722267405,5162.389560832249
2025-06-21,8:00-12:00,7095.0743510557095,0.0,4628.180722267405,5162.389560832249
2025-06-21,12:00-16:00,0.0,0.0,4628.180722267405,5162.389560832249
2025-06-21,16:00-20:00,295.3954244349025,5144.342411955981,4628.180722267405,5162.389560832249
2025-06-21,20:00-24:00,2777.758974971102,2969.8034120630873,4628.180722267405,5162.389560832249
2025-09-23,0:00-4:00,8785.610456289061,5.248677844087069,1736.958316301988,2388.297288970133
2025-09-23,4:00-8:00,945.6577019859435,6414.452756818696,1736.958316301988,2388.297288970133
2025-09-23,8:00-12:00,5064.018364718901,1843.8336885431652,1736.958316301988,2388.297288970133
2025-09-23,12:00-16:00,4438.227433835255,448.671163080384,1736.958316301988,2388.297288970133
2025-09-23,16:00-20:00,12.50824590662285,5542.2956785903225,1736.958316301988,2388.297288970133
2025-09-23,20:00-24:00,1504.4019099332877,3802.9653317858592,1736.958316301988,2388.297288970133
2025-12-21,0:00-4:00,7978.820624229832,76.79845973749093,2371.4395506301576,2299.6709079904526
2025-12-21,4:00-8:00,2740.696977045321,2400.011427830492,2371.4395506301576,2299.6709079904526
2025-12-21,8:00-12:00,5706.388858500175,7226.454909654297,2371.4395506301576,2299.6709079904526
2025-12-21,12:00-16:00,6155.712027718137,2624.1573165955406,2371.4395506301576,2299.6709079904526
2025-12-21,16:00-20:00,73.01035738929903,6017.252902085151,2371.4395506301576,2299.6709079904526
2025-12-21,20:00-24:00,1309.2525013534691,3290.903908305687,2371.4395506301576,2299.6709079904526
