date,period,charge_kwh,discharge_kwh,initial_soc_kwh,final_soc_kwh
2025-02-01,0:00-4:00,8304.352891713883,0.0,1421.7991105135516,5185.701281458156
2025-02-01,4:00-8:00,2371.7082451262845,4934.593149458418,1421.7991105135516,5185.701281458156
2025-02-01,8:00-12:00,5378.176180102526,617.2778861717438,1421.7991105135516,5185.701281458156
2025-02-01,12:00-16:00,0.0,0.0,1421.7991105135516,5185.701281458156
2025-02-01,16:00-20:00,0.0,3800.048335115265,1421.7991105135516,5185.701281458156
2025-02-01,20:00-24:00,579.7509043642029,2047.9189033595662,1421.7991105135516,5185.701281458156
2025-02-02,0:00-4:00,5127.421056676851,0.0,5185.701281458156,2053.54232796992
2025-02-02,4:00-8:00,2401.3109468899206,2127.645806397496,5185.701281458156,2053.54232796992
2025-02-02,8:00-12:00,5797.509043642029,5934.106460911691,5185.701281458156,2053.54232796992
2025-02-02,12:00-16:00,2957.6807841666323,1267.5859563816475,5185.701281458156,2053.54232796992
2025-02-02,16:00-20:00,0.0,5623.39493934026,5185.701281458156,2053.54232796992
2025-02-02,20:00-24:00,685.1601597031489,3290.867514953291,5185.701281458156,2053.54232796992
2025-02-03,0:00-4:00,7548.047312769682,0.0,2053.54232796992,1424.0177851708338
2025-02-03,4:00-8:00,3162.2776601683795,3322.6075052212855,2053.54232796992,1424.0177851708338
2025-02-03,8:00-12:00,5322.604597211455,6225.119929102575,2053.54232796992,1424.0177851708338
2025-02-03,12:00-16:00,5436.6452651824575,1477.2716069141998,2053.54232796992,1424.0177851708338
2025-02-03,16:00-20:00,0.0,6153.055897909122,2053.54232796992,1424.0177851708338
2025-02-03,20:00-24:00,632.4555320336759,3310.9918109482815,2053.54232796992,1424.0177851708338
2025-02-04,0:00-4:00,8284.62872709124,0.0,1424.0177851708338,1606.3584772796353
2025-02-04,4:00-8:00,3079.1700025963246,2935.6474716174357,1424.0177851708338,1606.3584772796353
2025-02-04,8:00-12:00,5533.248561319988,6939.823127999105,1424.0177851708338,1606.3584772796353
2025-02-04,12:00-16:00,6687.163062214893,2455.4809882565623,1424.0177851708338,1606.3584772796353
2025-02-04,16:00-20:00,0.0,6006.969503534318,1424.0177851708338,1606.3584772796353
2025-02-04,20:00-24:00,557.2004965408821,3216.3651042209785,1424.0177851708338,1606.3584772796353
2025-02-05,0:00-4:00,8044.986383874122,0.0,1606.3584772796353,1260.5486848410765
2025-02-05,4:00-8:00,3290.411726013371,2324.942055133454,1606.3584772796353,1260.5486848410765
2025-02-05,8:00-12:00,5458.404598227291,7232.128246732853,1606.3584772796353,1260.5486848410765
2025-02-05,12:00-16:00,5134.995502110709,1456.993926468132,1606.3584772796353,1260.5486848410765
2025-02-05,16:00-20:00,0.0,6267.971697803516,1606.3584772796353,1260.5486848410765
2025-02-05,20:00-24:00,579.7509043642029,3303.722251381546,1606.3584772796353,1260.5486848410765
2025-02-06,0:00-4:00,8374.241626239695,0.0,1260.5486848410765,1638.2225231452642
2025-02-06,4:00-8:00,3162.2776601683795,2378.89284423544,1260.5486848410765,1638.2225231452642
2025-02-06,8:00-12:00,5586.690532964138,6642.825458774942,1260.5486848410765,1638.2225231452642
2025-02-06,12:00-16:00,5028.112646492694,1864.553781010753,1260.5486848410765,1638.2225231452642
2025-02-06,16:00-20:00,0.0,5910.4634079726075,1260.5486848410765,1638.2225231452642
2025-02-06,20:00-24:00,632.4555320336759,3350.3718436051645,1260.5486848410765,1638.2225231452642
2025-02-07,0:00-4:00,8039.989268344943,0.0,1638.2225231452642,1773.3029966930098
2025-02-07,4:00-8:00,1581.1388300841897,6201.467862710467,1638.2225231452642,1773.3029966930098
2025-02-07,8:00-12:00,4078.1126922020558,908.8224330816236,1638.2225231452642,1773.3029966930098
2025-02-07,12:00-16:00,3858.4431744127614,0.0,1638.2225231452642,1773.3029966930098
2025-02-07,16:00-20:00,0.0,6018.10512855246,1638.2225231452642,1773.3029966930098
2025-02-07,20:00-24:00,421.63702135578393,2924.84487426771,1638.2225231452642,1773.3029966930098
2025-02-08,0:00-4:00,6478.655798088861,0.0,1773.3029966930098,1622.6876850630933
2025-02-08,4:00-8:00,1571.1965681837612,6090.794724065476,1773.3029966930098,1622.6876850630933
2025-02-08,8:00-12:00,3794.7331922020558,376.8593166666667,1773.3029966930098,1622.6876850630933
2025-02-08,12:00-16:00,4856.670801894331,0.0,1773.3029966930098,1622.6876850630933
2025-02-08,16:00-20:00,0.0,6109.40488084947,1773.3029966930098,1622.6876850630933
2025-02-08,20:00-24:00,410.7611325897639,2966.6430526552576,1773.3029966930098,1622.6876850630933
2025-02-09,0:00-4:00,8004.934257130963,0.0,1622.6876850630933,1365.1734684517903
2025-02-09,4:00-8:00,3131.60356690926,4304.526933692642,1622.6876850630933,1365.1734684517903
2025-02-09,8:00-12:00,5028.236578902726,6067.102483513361,1622.6876850630933,1365.1734684517903
