date,period,charge_kwh,discharge_kwh,initial_soc_kwh,final_soc_kwh
2025-02-01,0:00-4:00,0.0,54.97234315627372,1421.7991105135516,1363.8531729501533
2025-02-01,4:00-8:00,0.0,0.0,1421.7991105135516,1363.8531729501533
2025-02-01,8:00-12:00,0.0,0.0,1421.7991105135516,1363.8531729501533
2025-02-01,12:00-16:00,0.0,0.0,1421.7991105135516,1363.8531729501533
2025-02-01,16:00-20:00,0.0,0.0,1421.7991105135516,1363.8531729501533
2025-02-01,20:00-24:00,0.0,0.0,1421.7991105135516,1363.8531729501533
2025-02-02,0:00-4:00,2473.1914096487417,95.24684143354727,1363.8531729501533,6995.666275581457
2025-02-02,4:00-8:00,7579.2105172491365,0.0,1363.8531729501533,6995.666275581457
2025-02-02,8:00-12:00,416.6666666666667,3984.1078645661783,1363.8531729501533,6995.666275581457
2025-02-02,12:00-16:00,0.0,0.0,1363.8531729501533,6995.666275581457
2025-02-02,16:00-20:00,0.0,0.0,1363.8531729501533,6995.666275581457
2025-02-02,20:00-24:00,0.0,0.0,1363.8531729501533,6995.666275581457
2025-02-03,0:00-4:00,2158.208162003418,3942.0798273054693,6995.666275581457,8855.451377935215
2025-02-03,4:00-8:00,6232.000384520635,0.0,6995.666275581457,8855.451377935215
2025-02-03,8:00-12:00,0.0,1844.7608000000002,6995.666275581457,8855.451377935215
2025-02-03,12:00-16:00,0.0,0.0,6995.666275581457,8855.451377935215
2025-02-03,16:00-20:00,0.0,0.0,6995.666275581457,8855.451377935215
2025-02-03,20:00-24:00,0.0,0.0,6995.666275581457,8855.451377935215
2025-02-04,0:00-4:00,2055.5620617107247,5202.040217413791,8855.451377935215,7128.512398369211
2025-02-04,4:00-8:00,5774.216846526824,0.0,8855.451377935215,7128.512398369211
2025-02-04,8:00-12:00,0.0,3483.078966666667,8855.451377935215,7128.512398369211
2025-02-04,12:00-16:00,0.0,0.0,8855.451377935215,7128.512398369211
2025-02-04,16:00-20:00,0.0,0.0,8855.451377935215,7128.512398369211
2025-02-04,20:00-24:00,0.0,0.0,8855.451377935215,7128.512398369211
2025-02-05,0:00-4:00,2221.5113257411826,4172.335427951597,7128.512398369211,5662.460640606937
2025-02-05,4:00-8:00,6284.504668279112,0.0,7128.512398369211,5662.460640606937
2025-02-05,8:00-12:00,0.0,4873.897783333334,7128.512398369211,5662.460640606937
2025-02-05,12:00-16:00,0.0,0.0,7128.512398369211,5662.460640606937
2025-02-05,16:00-20:00,0.0,0.0,7128.512398369211,5662.460640606937
2025-02-05,20:00-24:00,0.0,0.0,7128.512398369211,5662.460640606937
2025-02-06,0:00-4:00,1847.4774496799091,3040.930194618264,5662.460640606937,5324.832529457303
2025-02-06,4:00-8:00,6946.775859155199,0.0,5662.460640606937,5324.832529457303
2025-02-06,8:00-12:00,0.0,5194.199933333333,5662.460640606937,5324.832529457303
2025-02-06,12:00-16:00,0.0,0.0,5662.460640606937,5324.832529457303
2025-02-06,16:00-20:00,0.0,0.0,5662.460640606937,5324.832529457303
2025-02-06,20:00-24:00,0.0,0.0,5662.460640606937,5324.832529457303
2025-02-07,0:00-4:00,0.0,2071.1906,5324.832529457303,3141.605941347056
2025-02-07,4:00-8:00,0.0,0.0,5324.832529457303,3141.605941347056
2025-02-07,8:00-12:00,0.0,0.0,5324.832529457303,3141.605941347056
2025-02-07,12:00-16:00,0.0,0.0,5324.832529457303,3141.605941347056
2025-02-07,16:00-20:00,0.0,0.0,5324.832529457303,3141.605941347056
2025-02-07,20:00-24:00,0.0,0.0,5324.832529457303,3141.605941347056
2025-02-08,0:00-4:00,0.0,977.3289779515975,3141.605941347056,2111.4107434765456
2025-02-08,4:00-8:00,0.0,0.0,3141.605941347056,2111.4107434765456
2025-02-08,8:00-12:00,0.0,0.0,3141.605941347056,2111.4107434765456
2025-02-08,12:00-16:00,0.0,0.0,3141.605941347056,2111.4107434765456
2025-02-08,16:00-20:00,0.0,0.0,3141.605941347056,2111.4107434765456
2025-02-08,20:00-24:00,0.0,0.0,3141.605941347056,2111.4107434765456
2025-02-09,0:00-4:00,2288.7241348815614,587.5796480184787,2111.4107434765456,3870.184604541396
2025-02-09,4:00-8:00,6479.5424040723465,0.0,2111.4107434765456,3870.184604541396
2025-02-09,8:00-12:00,0.0,5635.34085,2111.4107434765456,3870.184604541396
2025-02-09,12:00-16:00,0.0,0.0,2111.4107434765456,3870.184604541396
2025-02-09,16:00-20:00,0.0,0.0,2111.4107434765456,3870.184604541396
2025-02-09,20:00-24:00,0.0,0.0,2111.4107434765456,3870.184604541396
2025-02-10,0:00-4:00,2284.7583206569134,1701.8752166666663,3870.184604541396,6979.2620917429695
2025-02-10,4:00-8:00,6690.667384290857,0.0,3870.184604541396,6979.2620917429695
2025-02-10,8:00-12:00,0.0,3426.4780333333338,3870.184604541396,6979.2620917429695
2025-02-10,12:00-16:00,0.0,0.0,3870.184604541396,6979.2620917429695
2025-02-10,16:00-20:00,0.0,0.0,3870.184604541396,6979.2620917429695
2025-02-10,20:00-24:00,0.0,0.0,3870.184604541396,6979.2620917429695
2025-02-11,0:00-4:00,2300.192731857861,3818.0691071196993,6979.2620917429695,6298.367166251155
2025-02-11,4:00-8:00,5969.517653599471,0.0,6979.2620917429695,6298.367166251155
2025-02-11,8:00-12:00,0.0,4270.623883333334,6979.2620917429695,6298.367166251155
2025-02-11,12:00-16:00,0.0,0.0,6979.2620917429695,6298.367166251155
2025-02-11,16:00-20:00,0.0,0.0,6979.2620917429695,6298.367166251155
2025-02-11,20:00-24:00,0.0,0.0,6979.2620917429695,6298.367166251155
2025-02-12,0:00-4:00,2309.6738800753847,3382.6395,6298.367166251155,6347.901657717475
2025-02-12,4:00-8:00,6193.952101406097,0.0,6298.367166251155,6347.901657717475
2025-02-12,8:00-12:00,413.1768274794691,4595.490483333333,6298.367166251155,6347.901657717475
2025-02-12,12:00-16:00,0.0,0.0,6298.367166251155,6347.901657717475
2025-02-12,16:00-20:00,0.0,0.0,6298.367166251155,6347.901657717475
2025-02-12,20:00-24:00,0.0,0.0,6298.367166251155,6347.901657717475
2025-02-13,0:00-4:00,2210.2326825856276,3563.5668833333334,6347.901657717475,6340.726226873294
2025-02-13,4:00-8:00,6442.209786231199,0.0,6347.901657717475,6340.726226873294
2025-02-13,8:00-12:00,0.0,4230.43855,6347.901657717475,6340.726226873294
2025-02-13,12:00-16:00,0.0,0.0,6347.901657717475,6340.726226873294
2025-02-13,16:00-20:00,0.0,0.0,6347.901657717475,6340.726226873294
2025-02-13,20:00-24:00,0.0,0.0,6347.901657717475,6340.726226873294
2025-02-14,0:00-4:00,0.0,2483.3143333333333,6340.726226873294,3723.083080381316
2025-02-14,4:00-8:00,0.0,0.0,6340.726226873294,3723.083080381316
2025-02-14,8:00-12:00,0.0,0.0,6340.726226873294,3723.083080381316
2025-02-14,12:00-16:00,0.0,0.0,6340.726226873294,3723.083080381316
2025-02-14,16:00-20:00,0.0,0.0,6340.726226873294,3723.083080381316
2025-02-14,20:00-24:00,0.0,0.0,6340.726226873294,3723.083080381316
2025-02-15,0:00-4:00,0.0,1203.4648499999998,3723.083080381316,2454.5197437303523
2025-02-15,4:00-8:00,0.0,0.0,3723.083080381316,2454.5197437303523
2025-02-15,8:00-12:00,0.0,0.0,3723.083080381316,2454.5197437303523
2025-02-15,12:00-16:00,0.0,0.0,3723.083080381316,2454.5197437303523
2025-02-15,16:00-20:00,0.0,0.0,3723.083080381316,2454.5197437303523
2025-02-15,20:00-24:00,0.0,0.0,3723.083080381316,2454.5197437303523
2025-02-16,0:00-4:00,7719.178442033974,0.0,2454.5197437303523,1744.32714377659
2025-02-16,4:00-8:00,246.5166777190824,0.0,2454.5197437303523,1744.32714377659
2025-02-16,8:00-12:00,0.0,0.0,2454.5197437303523,1744.32714377659
2025-02-16,12:00-16:00,0.0,0.0,2454.5197437303523,1744.32714377659
2025-02-16,16:00-20:00,0.0,5403.071511011026,2454.5197437303523,1744.32714377659
2025-02-16,20:00-24:00,0.0,2439.801954741931,2454.5197437303523,1744.32714377659
2025-02-17,0:00-4:00,7379.519051019944,0.0,1744.32714377659,1200.0
2025-02-17,4:00-8:00,1068.8087167539989,0.0,1744.32714377659,1200.0
2025-02-17,8:00-12:00,0.0,0.0,1744.32714377659,1200.0
2025-02-17,12:00-16:00,0.0,0.0,1744.32714377659,1200.0
2025-02-17,16:00-20:00,0.0,4965.476729449383,1744.32714377659,1200.0
2025-02-17,20:00-24:00,0.0,3154.4123315235565,1744.32714377659,1200.0
2025-02-18,0:00-4:00,8277.441613090132,0.0,1200.0,2007.8101501214876
2025-02-18,4:00-8:00,1010.8638028667051,0.0,1200.0,2007.8101501214876
2025-02-18,8:00-12:00,0.0,0.0,1200.0,2007.8101501214876
2025-02-18,12:00-16:00,0.0,0.0,1200.0,2007.8101501214876
2025-02-18,16:00-20:00,0.0,5494.536731212205,1200.0,2007.8101501214876
2025-02-18,20:00-24:00,0.0,2098.5821457330153,1200.0,2007.8101501214876
2025-02-19,0:00-4:00,7729.802928834529,0.0,2007.8101501214876,1651.4474517723772
2025-02-19,4:00-8:00,453.34362762798037,0.0,2007.8101501214876,1651.4474517723772
2025-02-19,8:00-12:00,0.0,0.0,2007.8101501214876,1651.4474517723772
2025-02-19,12:00-16:00,0.0,0.0,2007.8101501214876,1651.4474517723772
2025-02-19,16:00-20:00,0.0,5478.082252619437,2007.8101501214876,1651.4474517723772
2025-02-19,20:00-24:00,0.0,2224.8249881688344,2007.8101501214876,1651.4474517723772
2025-02-20,0:00-4:00,8128.364490031716,0.0,1651.4474517723772,9156.174782168247
2025-02-20,4:00-8:00,784.6086671198907,0.0,1651.4474517723772,9156.174782168247
2025-02-20,8:00-12:00,0.0,902.0663666666668,1651.4474517723772,9156.174782168247
2025-02-20,12:00-16:00,0.0,0.0,1651.4474517723772,9156.174782168247
2025-02-20,16:00-20:00,0.0,0.0,1651.4474517723772,9156.174782168247
2025-02-20,20:00-24:00,0.0,0.0,1651.4474517723772,9156.174782168247
2025-02-21,0:00-4:00,0.0,3861.944739023614,9156.174782168247,5085.327591161854
2025-02-21,4:00-8:00,0.0,0.0,9156.174782168247,5085.327591161854
2025-02-21,8:00-12:00,0.0,0.0,9156.174782168247,5085.327591161854
2025-02-21,12:00-16:00,0.0,0.0,9156.174782168247,5085.327591161854
2025-02-21,16:00-20:00,0.0,0.0,9156.174782168247,5085.327591161854
2025-02-21,20:00-24:00,0.0,0.0,9156.174782168247,5085.327591161854
2025-02-22,0:00-4:00,0.0,1926.79200895276,5085.327591161854,3054.3104825944315
2025-02-22,4:00-8:00,0.0,0.0,5085.327591161854,3054.3104825944315
2025-02-22,8:00-12:00,0.0,0.0,5085.327591161854,3054.3104825944315
2025-02-22,12:00-16:00,0.0,0.0,5085.327591161854,3054.3104825944315
2025-02-22,16:00-20:00,0.0,0.0,5085.327591161854,3054.3104825944315
2025-02-22,20:00-24:00,0.0,0.0,5085.327591161854,3054.3104825944315
2025-02-23,0:00-4:00,7388.175695615807,0.0,3054.3104825944315,1442.7580321659996
2025-02-23,4:00-8:00,0.0,0.0,3054.3104825944315,1442.7580321659996
2025-02-23,8:00-12:00,0.0,0.0,3054.3104825944315,1442.7580321659996
2025-02-23,12:00-16:00,0.0,0.0,3054.3104825944315,1442.7580321659996
2025-02-23,16:00-20:00,0.0,5999.651954085646,3054.3104825944315,1442.7580321659996
2025-02-23,20:00-24:00,0.0,2178.559065622413,3054.3104825944315,1442.7580321659996
2025-02-24,0:00-4:00,8213.908832100893,0.0,1442.7580321659996,1569.4620485630949
2025-02-24,4:00-8:00,1071.1048667218763,0.0,1442.7580321659996,1569.4620485630949
2025-02-24,8:00-12:00,0.0,0.0,1442.7580321659996,1569.4620485630949
2025-02-24,12:00-16:00,0.0,0.0,1442.7580321659996,1569.4620485630949
2025-02-24,16:00-20:00,0.0,5872.197694083503,1442.7580321659996,1569.4620485630949
2025-02-24,20:00-24:00,0.0,2364.1126507051486,1442.7580321659996,1569.4620485630949
2025-02-25,0:00-4:00,8629.291275421412,0.0,1569.4620485630949,1472.1707997509814
2025-02-25,4:00-8:00,328.05316455504203,0.0,1569.4620485630949,1472.1707997509814
2025-02-25,8:00-12:00,0.0,0.0,1569.4620485630949,1472.1707997509814
2025-02-25,12:00-16:00,0.0,0.0,1569.4620485630949,1472.1707997509814
2025-02-25,16:00-20:00,0.0,5985.696947089975,1569.4620485630949,1472.1707997509814
2025-02-25,20:00-24:00,0.0,2168.2116316833603,1569.4620485630949,1472.1707997509814
2025-02-26,0:00-4:00,8656.762679122814,0.0,1472.1707997509814,2670.8891703394347
2025-02-26,4:00-8:00,381.37078670987944,0.0,1472.1707997509814,2670.8891703394347
2025-02-26,8:00-12:00,847.5805186237458,47.98681666666668,1472.1707997509814,2670.8891703394347
2025-02-26,12:00-16:00,0.0,0.0,1472.1707997509814,2670.8891703394347
2025-02-26,16:00-20:00,0.0,5050.83291134683,1472.1707997509814,2670.8891703394347
2025-02-26,20:00-24:00,0.0,2661.118760753702,1472.1707997509814,2670.8891703394347
2025-02-27,0:00-4:00,7969.142007872799,0.0,2670.8891703394347,10554.598172547761
2025-02-27,4:00-8:00,0.0,0.0,2670.8891703394347,10554.598172547761
2025-02-27,8:00-12:00,416.6666666666667,255.58474999999999,2670.8891703394347,10554.598172547761
2025-02-27,12:00-16:00,208.33333333333334,0.0,2670.8891703394347,10554.598172547761
2025-02-27,16:00-20:00,0.0,0.0,2670.8891703394347,10554.598172547761
2025-02-27,20:00-24:00,0.0,0.0,2670.8891703394347,10554.598172547761
