date,period,charge_kwh,discharge_kwh,initial_soc_kwh,final_soc_kwh
2025-03-20,0:00-4:00,8662.394282392805,0.0,2317.2745131221245,2568.7614428998454
2025-03-20,4:00-8:00,0.0,7355.448515424407,2317.2745131221245,2568.7614428998454
2025-03-20,8:00-12:00,0.0,0.0,2317.2745131221245,2568.7614428998454
2025-03-20,12:00-16:00,1558.9311635398867,0.0,2317.2745131221245,2568.7614428998454
2025-03-20,16:00-20:00,4025.7948621396217,0.0,2317.2745131221245,2568.7614428998454
2025-03-20,20:00-24:00,842.5462275379141,5986.669916666667,2317.2745131221245,2568.7614428998454
2025-06-21,0:00-4:00,744.7319536002562,408.94578319026493,10084.576070261584,7829.05074095495
2025-06-21,4:00-8:00,0.0,5716.9436161823505,10084.576070261584,7829.05074095495
2025-06-21,8:00-12:00,4509.4178833333335,0.0,10084.576070261584,7829.05074095495
2025-06-21,12:00-16:00,2306.5169770009843,0.0,10084.576070261584,7829.05074095495
2025-06-21,16:00-20:00,0.0,0.0,10084.576070261584,7829.05074095495
2025-06-21,20:00-24:00,0.0,2818.489941411587,10084.576070261584,7829.05074095495
2025-09-23,0:00-4:00,10082.84899143179,0.0,1200.0,1200.0
2025-09-23,4:00-8:00,886.8284278366853,7340.482226232349,1200.0,1200.0
2025-09-23,8:00-12:00,3649.2554602705254,0.0,1200.0,1200.0
2025-09-23,12:00-16:00,2236.4907000000003,0.0,1200.0,1200.0
2025-09-23,16:00-20:00,0.0,6288.9159460366955,1200.0,1200.0
2025-09-23,20:00-24:00,0.0,1540.4830493160555,1200.0,1200.0
2025-12-21,0:00-4:00,5624.227718512917,0.0,2307.359253032774,1200.0
2025-12-21,4:00-8:00,2522.1485910128386,0.0,2307.359253032774,1200.0
2025-12-21,8:00-12:00,0.0,0.0,2307.359253032774,1200.0
2025-12-21,12:00-16:00,0.0,0.0,2307.359253032774,1200.0
2025-12-21,16:00-20:00,0.0,6431.074244723386,2307.359253032774,1200.0
2025-12-21,20:00-24:00,0.0,1951.1976621436802,2307.359253032774,1200.0
