date,period,start_slot,end_slot_exclusive,emergency_kwh
2025-03-20,03:00-04:00,18,24,133.96682767466575
2025-03-20,04:40-05:20,28,32,70.17843061302801
2025-03-20,08:10-08:20,49,50,21.54931591734737
2025-03-20,09:40-10:00,58,60,76.78748462666243
2025-03-20,23:30-23:50,141,143,3.6148638318909434
2025-06-21,01:20-01:30,8,9,14.140299380454849
2025-06-21,01:50-02:00,11,12,15.861624125109984
2025-06-21,02:50-03:30,17,21,194.27406308380404
2025-06-21,04:00-04:20,24,26,52.324134176215125
2025-06-21,04:40-05:10,28,31,22.360580589475546
2025-06-21,21:20-21:30,128,129,20.21101683027939
2025-09-23,03:30-04:00,21,24,42.514771955260926
2025-09-23,04:50-05:20,29,32,58.10133544043197
2025-09-23,06:10-06:30,37,39,17.28419849525619
2025-09-23,06:40-07:10,40,43,40.734439480935976
2025-09-23,14:20-15:20,86,92,704.6899076134106
2025-09-23,15:50-16:50,95,101,349.8503669723011
2025-09-23,17:00-17:50,102,107,202.16827120612822
2025-09-23,18:00-18:40,108,112,149.60340518749558
2025-09-23,20:10-20:30,121,123,902.4387886056852
2025-09-23,20:50-21:00,125,126,37.99735262696572
2025-09-23,21:20-21:30,128,129,16.421722715863098
2025-09-23,22:20-22:30,134,135,5.8906427761094164
2025-12-21,06:20-06:40,38,40,53.55894868006396
2025-12-21,06:50-07:00,41,42,3.741806558390863
2025-12-21,07:50-08:10,47,49,92.46925899478299
2025-12-21,08:20-08:30,50,51,9.72798010161057
2025-12-21,10:20-11:50,62,71,1002.7940261159224
2025-12-21,12:00-12:10,72,73,30.154662119868732
2025-12-21,12:30-13:10,75,79,137.6372930301357
2025-12-21,14:40-15:30,88,93,133.0370124318237
2025-12-21,15:50-16:30,95,99,130.25547043349275
2025-12-21,16:40-18:10,100,109,259.9202535921846
2025-12-21,20:30-20:50,123,125,71.00249581627611
2025-12-21,21:10-21:40,127,130,13.270014132960796
2025-12-21,22:50-23:10,137,139,19.734394020750756
2025-12-21,23:30-23:50,141,143,35.8877020736968
