name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key,source_experiment,comparison_status,strict_q2_input_isolation_verified,experiment,policy_id,label,same_dispatch,physically_comparable,ranking_allowed,source,exploratory,days,start_date,end_date,initial_soc,max_balance_error,max_state_error,case_id,alpha_load,alpha_pv,updates,replay_wall_seconds,variant,corrected,update_schedule,scenario_label,improvement_pct,weekly_improvement_pct,total_wan,planned_wan,emergency_wan,status,role,run_id,forecast,executor,conditioning,grid_kwh,throughput_yuan_per_kwh,reversal_yuan,deadband_kwh,terminal_value,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,simultaneous_slots,charging_slots,discharging_slots,active_slots,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_mode,final_mode,initial_power_kw,final_power_kw,risk_seconds,planning_seconds,execution_seconds,compute_seconds,verified,mean_daily_cost,max_daily_cost,risk_fallback_days,tree_fit_seconds,terminal_credit_in_reported_cost,storage_seconds,run_wall_seconds,id,sum_daily_surrogate_objective,continuous_optimality_gap,comparable,beta,forecast_seed,nonidle_direction_reversals,direct_adjacent_reversals,mean_absolute_change_kw,rms_change_kw,p95_absolute_change_kw,max_absolute_change_kw,total_variation_kw,power_variation_kw,large_jump_threshold_kw,large_jump_count,large_jump_pct,power_limit_hit_pct,warmup_boundary_jump_kw,warmup_boundary_absolute_jump_kw,total_variation_including_warmup_kw,active_slot_pct,first_power_kw,last_power_kw,zero_tolerance_kw,power_limit_kw,points,differences,cross_midnight_differences,original_source,rl_seed,training_transitions,training_iterations,training_seconds,family
legacy_rebased,2,42,legacy,deterministic,0,[],True,False,False,19310623.5697846,19310623.5697846,730041.08805508,44340,6276030.03677205,5648637.45020651,1474082.57630746,11613278.0321186,0,0,4229376.15856689,15842654.1906855,0,19.0683570875553,334,0,0,0,334,1200,92651.6368821123,142797.635007435,2025-07-03,b046af101c7471d7,exp002,archived_v2_protocol_only,False,exp001,exp001/legacy_rebased,exp001 同口径重算,True,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,334,2025-02-01,2025-12-31,,,,,,,,,,,,,,,1584.26541906855,1161.32780321186,422.937615856689,同物理口径,历史对照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary,2,42,mlp,risk,0.1,[],True,False,False,19494424.5794031,19494424.5794031,579717.66304431,36830,6316145.32618928,5684741.21068202,1503548.6319735,11755724.512758,0,0,3373172.93995212,15128897.4527102,0,907.740153215011,334,334,0,334,0,1200,83083.7379373721,138575.978713653,2025-06-01,e1adab7c9c5c9092,exp002,archived_v2_protocol_only,False,exp002,exp002/primary,exp002 正式风险,False,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,334,2025-02-01,2025-12-31,,,,,,,,,,,,,,,1512.88974527102,1175.5724512758,337.317293995212,同物理口径,当轮正式策略,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_deterministic,2,42,mlp,deterministic,0,[],True,False,False,19421489.4202652,19421489.4202652,628285.617434029,39410,6315396.677972,5684067.42728647,1479256.29204704,11677852.8610738,0,0,3674449.41883999,15352302.2799138,0,17.6988931330852,334,0,0,0,334,1200,84488.0593115364,138741.680165506,2025-06-01,11dcc1f0cbd5f8d1,exp002,archived_v2_protocol_only,False,exp002,exp002/new_deterministic,exp002 同确定性,True,True,True,data/results/exp003/baseline/exp002_q2_costs.csv,False,334,2025-02-01,2025-12-31,,,,,,,,,,,,,,,1535.23022799138,1167.78528610738,367.444941883999,同物理口径,历史对照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary,2,42,mlp,deterministic,0,,,,,19576927.868703,19576927.868703,549746.420063035,34290,6341190.38943135,5707232.23431987,1553526.6386879,11804823.0801435,0,0,3183799.56803298,14988622.6481765,0,12.3982772132149,334,0,0,0,334,1252.21266160668,84837.2770883123,154222.413058612,2025-07-03,bdb4c350107003ecd7f0,,,,exp003,exp003/primary,exp003 正式,True,True,True,data/results/exp003/dispatch_metrics.csv,False,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,primary_seed_42,0,0,0,,,,,,,,1498.86226481765,1180.48230801435,318.379956803298,同物理口径,当轮正式策略,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncalibrated,2,42,mlp,deterministic,0,,,,,19434153.14491,19434153.14491,607930.405578771,38790,6320654.21244361,5688799.20831092,1471039.05138943,11686193.3332658,0,0,3571836.7579253,15258030.0911911,0,12.6688868242782,334,0,0,0,334,1200,82559.0102958673,138931.16434569,2025-06-01,56bb6a42dd365d5b1dbf,,,,exp003,exp003/uncalibrated,exp003 未校准,True,True,True,data/results/exp003/dispatch_metrics.csv,False,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,uncalibrated_seed_42,1,1,0,,,,,,,,1525.80300911911,1168.61933332658,357.18367579253,同物理口径,历史对照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_season,2,42,,,,,,,,20997147.6116725,20997147.6116725,160912.165420741,12260,6313399.08758655,5682140.76824373,2587611.96278375,12729841.3664886,0,0,881746.466424911,13611587.8329135,0,11.677327542915,334,0,0,0,334,1335.79631484864,67487.1616657264,123531.531248957,2025-07-03,,,,,exp004,exp004/no_season,exp004 无季节,True,True,True,data/results/exp004/dispatch_metrics.csv,False,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,no_season_seed_42,,,,12.0941742080031,,,,,,,1361.15878329135,1272.98413664886,88.1746466424911,同物理口径,同预测基线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal_season,2,42,,,,,,,,21007720.4459155,21007720.4459155,162942.389089906,12300,6317717.49161782,5685938.60374733,2599694.45216827,12727957.7050103,0,0,898187.700980567,13626145.4059908,0,12.2730911975959,334,0,0,0,334,1429.32397020921,68163.4306856293,120510.234664435,2025-07-03,,,,,exp004,exp004/causal_season,exp004 历史季节,True,True,True,data/results/exp004/dispatch_metrics.csv,False,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,causal_season_seed_42,,,,12.7015912920469,,,,,,,1362.61454059908,1272.79577050103,89.8187700980567,同物理口径,当轮正式策略,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle_season,2,42,,,,,,,,21070735.9394918,21070735.9394918,145611.632424135,11470,6298402.74801812,5668554.14258255,2647309.4715137,12774482.5882529,0,0,798443.890328896,13572926.4785818,0,12.3318634183379,334,0,0,0,334,1430.58036952087,67347.374388834,121829.808907449,2025-07-03,,,,,exp004,exp004/oracle_season,exp004 全年探索,True,True,False,data/results/exp004/dispatch_metrics.csv,True,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,oracle_season_seed_42,,,,12.7942007499514,,,,,,,1357.29264785818,1277.44825882529,79.8443890328896,含未来信息，仅探索,含未来探索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,mean,,,,,,,False,19836870.4998036,19836870.4998036,728394.121759774,45820,6359633.61873862,5157736.17742078,1424177.68527885,12025380.5613548,0,0,4232927.65599983,16258308.2173546,0,1.197190367267,,,,,,1200,,,,,exp001,not_directly_rankable_against_v2,False,exp001,exp001/original,exp001 原登记（不可比）,False,False,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,False,334,2025-02-01,2025-12-31,8347.71804722222,,,,,,,,selected,True,0,问题 2,27.706388932644,-1.198012930703,1625.83082173546,1202.53805613548,423.292765599983,原协议不可直接比较,原登记不可比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary,2,42,,,,,,,,21702244.435096,21702244.435096,197559.782603584,65840,6042575.43666935,5438271.60315442,3356310.88921802,13215791.4492587,0,0,850466.027998076,14066257.4772568,,8.69794637651648,,,,,,1470.59289458206,64129.555135445,80885.4093009416,2025-06-01,,,,,exp006,exp006/primary,exp006 正式·树DP,False,True,True,data/results/exp006/primary/dispatch_2.npz,False,334,2025-02-01,2025-12-31,1421.79911051355,0,9.09494701772928e-13,,,,,,,,,,,,1406.62574772568,1321.57914492587,85.0466027998076,同物理口径；新规划及执行,正式策略,primary,no_season,projected,tree,50,0.002,0.05,2,True,11480847.0398238,477.705499757205,2729,2729,0,10907,12121,23028,20967,30451039.1434652,30455788.1580411,9013.79573991445,4714.78981487835,1432.2413971836,4999.12276225515,4838.28482005762,1,-1,172.76,0,1.12827545648906,7.49533516680822,0.0743357532192021,8.69794637651648,True,42114.5433450802,80885.4093009416,2,0.801180331269279,0,0.199688376043923,8.95486908406019,primary,13801994.5023273,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
