policy_id,label,date,slot,hour,actual_net_kwh,forecast_net_kwh,planned_kwh,emergency_kwh,charge_kwh,discharge_kwh,power_kw,soc_start_kwh,soc_end_kwh
exp004/no_season,exp004 无季节,2025-02-01,0,0.166666666666667,422.030366666667,471.802351843726,1305.13568517706,0,833.333333333333,0,5000,1421.79911051355,2212.36852555565
exp004/no_season,exp004 无季节,2025-02-01,1,0.333333333333333,415.407316666667,463.922402823465,1297.2557361568,0,833.333333333333,0,5000,2212.36852555565,3002.93794059774
exp004/no_season,exp004 无季节,2025-02-01,2,0.5,410.716666666667,460.367439380358,1293.70077271369,0,833.333333333333,0,5000,3002.93794059774,3793.50735563984
exp004/no_season,exp004 无季节,2025-02-01,3,0.666666666666667,430.2948,493.729683157124,1327.06301649046,0,833.333333333333,0,5000,3793.50735563984,4584.07677068193
exp004/no_season,exp004 无季节,2025-02-01,4,0.833333333333333,424.410583333333,501.13597384262,1334.46930717595,0,833.333333333333,0,5000,4584.07677068193,5374.64618572403
exp004/no_season,exp004 无季节,2025-02-01,5,1,406.051666666667,485.231757966797,1318.56509130013,0,833.333333333333,0,5000,5374.64618572403,6165.21560076612
exp004/no_season,exp004 无季节,2025-02-01,6,1.16666666666667,436.750183333333,507.124976178723,507.124976178723,0,70.3747928453893,0,422.248757072336,6165.21560076612,6231.97899134231
exp004/no_season,exp004 无季节,2025-02-01,7,1.33333333333333,451.797683333333,504.362480523987,1337.69581385732,0,833.333333333333,0,5000,6231.97899134231,7022.5484063844
exp004/no_season,exp004 无季节,2025-02-01,8,1.5,446.08,482.356523080017,1315.68985641335,0,833.333333333333,0,5000,7022.5484063844,7813.1178214265
exp004/no_season,exp004 无季节,2025-02-01,9,1.66666666666667,471.766333333333,510.885271322733,510.885271322733,0,39.1189379893997,0,234.713627936398,7813.1178214265,7850.22930453451
exp004/no_season,exp004 无季节,2025-02-01,10,1.83333333333333,448.025966666667,522.112075936829,522.112075936829,0,74.0861092701621,0,444.516655620973,7850.22930453451,7920.51355901666
exp004/no_season,exp004 无季节,2025-02-01,11,2,397.403333333333,505.351707740046,1224.17676287145,0,826.773429538118,0,4960.64057722871,7920.51355901666,8704.85970289142
exp004/no_season,exp004 无季节,2025-02-01,12,2.16666666666667,434.090633333333,519.405854819423,1352.73918815276,0,833.333333333333,0,5000,8704.85970289142,9495.42911793351
exp004/no_season,exp004 无季节,2025-02-01,13,2.33333333333333,490.560916666667,532.062366185025,532.062366185025,0,41.5014495183587,0,249.008697110152,9495.42911793351,9534.80084993647
exp004/no_season,exp004 无季节,2025-02-01,14,2.5,503.22,524.726962427252,524.726962427252,0,21.5069624272518,0,129.041774563511,9534.80084993647,9555.204145983
exp004/no_season,exp004 无季节,2025-02-01,15,2.66666666666667,474.072816666667,515.435353540063,515.435353540063,0,41.3625368733962,0,248.175221240377,9555.204145983,9594.44409387979
exp004/no_season,exp004 无季节,2025-02-01,16,2.83333333333333,461.3844,518.490778308263,518.490778308263,0,57.1063783082631,0,342.638269849579,9594.44409387979,9648.61996119299
exp004/no_season,exp004 无季节,2025-02-01,17,3,476.941666666667,531.052842743033,531.052842743033,0,54.1111760763659,0,324.667056458195,9648.61996119299,9699.95433017451
exp004/no_season,exp004 无季节,2025-02-01,18,3.16666666666667,483.39955,537.774824133316,537.774824133316,0,54.3752741333155,0,326.251644799893,9699.95433017451,9751.53924457171
exp004/no_season,exp004 无季节,2025-02-01,19,3.33333333333333,486.601916666667,536.536789688812,536.536789688812,0,49.9348730221457,0,299.609238132874,9751.53924457171,9798.91162459809
exp004/no_season,exp004 无季节,2025-02-01,20,3.5,498.848333333333,529.926001471417,529.926001471417,0,31.0776681380833,0,186.4660088285,9798.91162459809,9828.39448930305
exp004/no_season,exp004 无季节,2025-02-01,21,3.66666666666667,518.309733333333,523.855728264807,523.855728264807,0,5.54599493147407,0,33.2759695888444,9828.39448930305,9833.65588206561
exp004/no_season,exp004 无季节,2025-02-01,22,3.83333333333333,509.133466666667,531.564301259019,531.564301259019,0,22.4308345923522,0,134.585007554113,9833.65588206561,9854.93564020471
exp004/no_season,exp004 无季节,2025-02-01,23,4,483.616666666667,543.832428789133,543.832428789133,0,60.2157621224666,0,361.2945727348,9854.93564020471,9912.06132800967
exp004/no_season,exp004 无季节,2025-02-01,24,4.16666666666667,491.1868,538.699519797489,538.699519797489,0,47.5127197974892,0,285.076318784935,9912.06132800967,9957.13585172651
exp004/no_season,exp004 无季节,2025-02-01,25,4.33333333333333,504.645283333333,539.858474355415,539.858474355415,0,35.2131910220815,0,211.279146132489,9957.13585172651,9990.54201792022
exp004/no_season,exp004 无季节,2025-02-01,26,4.5,505.578333333333,553.778476896244,553.778476896244,0,48.2001435629106,0,289.200861377463,9990.54201792022,10036.268689082
exp004/no_season,exp004 无季节,2025-02-01,27,4.66666666666667,503.230966666667,563.46936003592,563.46936003592,0,60.2383933692531,0,361.430360215518,10036.268689082,10093.4158467728
exp004/no_season,exp004 无季节,2025-02-01,28,4.83333333333333,502.84675,571.235653227843,571.235653227843,0,68.3889032278428,0,410.333419367057,10093.4158467728,10158.295257037
exp004/no_season,exp004 无季节,2025-02-01,29,5,499.641666666667,571.006578712258,571.006578712258,0,71.3649120455915,0,428.189472273549,10158.295257037,10225.9979571615
