date,total_cost_current,total_cost_baseline,difference_yuan,relative_change_pct
2025-11-10,81082.4961119014,49414.7813316054,31667.714780296,64.0855103006225
2025-02-01,51964.1965776516,23571.9689278048,28392.2276498468,120.449113677374
2025-03-25,65114.673160522,38735.3669124965,26379.3062480256,68.1013460066524
2025-03-18,70074.5460404263,43751.11623026,26323.4298101664,60.1663044929584
2025-11-18,74636.9622429815,48701.0197691176,25935.9424738638,53.2554402286056
2025-03-03,74813.1963526439,49538.4867282939,25274.70962435,51.0203506275341
2025-03-10,72033.2990800797,46856.2283190965,25177.0707609833,53.7326021836935
2025-04-08,63387.5270457387,38490.8797378031,24896.6473079355,64.681938884041
2025-12-02,94312.3325309838,69423.936088421,24888.3964425628,35.8498780749971
2025-03-24,65241.731464897,40624.5665576666,24617.1649072304,60.5967447610457
2025-03-30,60571.9590955856,35967.5033007191,24604.4557948665,68.407461004875
2025-03-27,62398.5346871956,37959.1755080743,24439.3591791213,64.383271902001
2025-03-16,67801.9042870071,43385.1269414156,24416.7773455915,56.2791423396371
2025-08-20,75215.3693293633,51090.4780147221,24124.8913146412,47.2199365754405
2025-03-09,66803.7102854759,42880.1286221928,23923.5816632831,55.791767496941
2025-11-06,75090.1356085968,51706.8128106337,23383.322797963,45.2229049266679
2025-04-02,67033.0429757669,44210.93925153,22822.1037242369,51.6209429399244
2025-03-31,59531.3471460731,36882.6066332387,22648.7405128343,61.4076459889449
2025-11-16,72376.9136056442,49730.4211801286,22646.4924255157,45.5385092024212
2025-03-02,78450.0935883016,55851.9695308323,22598.1240574693,40.4607469482242
2025-05-18,60212.530996463,37641.8251425521,22570.7058539109,59.9617732892445
2025-03-23,62842.1539957654,40600.1350841443,22242.0189116211,54.7831155377298
2025-03-20,63584.8349710174,41372.410151713,22212.4248193044,53.6889795345528
2025-04-09,59310.3550592063,37401.3663844792,21908.988674727,58.5780435118509
2025-03-06,67318.7673773532,45680.4248167877,21638.3425605656,47.3689608784318
2025-03-29,36053.346963418,14479.220178356,21574.126785062,149.000612735426
2025-09-22,62688.9928363534,41303.2248802725,21385.7679560809,51.77747746834
2025-03-12,64306.4526107503,43043.5704140214,21262.8821967289,49.3985094456814
2025-03-01,38355.3998981079,17237.8431252235,21117.5567728844,122.506955304541
2025-10-29,67221.3346831928,46443.6404779959,20777.6942051969,44.73743658196
2025-04-05,34413.3528152517,13910.4224318763,20502.9303833754,147.392579080791
2025-12-03,80214.4928890848,59881.3940976151,20333.0987914697,33.9556202688332
2025-03-11,65119.5768430342,44840.6939080295,20278.8829350047,45.2242843890811
2025-09-30,65126.7567278762,44881.8982222482,20244.858505628,45.1069569414793
2025-05-14,56596.8116313153,36806.7058351145,19790.1057962007,53.7676636557909
2025-05-02,43003.2006045335,23220.0325687031,19783.1680358303,85.1987092494214
2025-04-01,58215.5412950218,38485.6057137979,19729.9355812239,51.2657530401043
2025-04-10,59025.0232143321,39364.6795059088,19660.3437084234,49.9441223838042
2025-05-13,55700.3729996656,36051.8879404992,19648.4850591664,54.5005717636608
2025-07-09,73766.2237832929,54268.8316470531,19497.3921362398,35.9274219556531
2025-11-13,68808.7734148212,49331.152727302,19477.6206875192,39.4834087806334
2025-05-10,34009.1392197806,14598.3769675539,19410.7622522267,132.965207675954
2025-04-03,60653.1059225552,41340.2433585094,19312.8625640458,46.7168574615332
2025-05-21,56489.8615243499,37182.1574132944,19307.7041110555,51.9273368041632
2025-03-26,59184.9314764739,40055.4231098935,19129.5083665804,47.7575990499411
2025-03-13,71625.214427434,52551.4189369029,19073.7954905311,36.2954909237227
2025-05-15,55636.4505598261,36647.7593537892,18988.6912060369,51.8140577783333
2025-12-01,94303.8951635792,75367.8645406834,18936.0306228958,25.1248071552753
2025-04-06,56982.5215917396,38065.1253732977,18917.396218442,49.6974488667055
2025-11-03,64732.1168421323,45954.7682436765,18777.3485984558,40.8605011320878
2025-07-16,71050.4208611539,52299.0549589257,18751.3659022282,35.854119958678
2025-02-02,75313.5194685292,56645.5976743377,18667.9217941915,32.9556444995348
2025-11-19,71115.1621039197,52449.593642178,18665.5684617417,35.5876321732483
2025-05-11,58514.588926997,39955.2816251503,18559.3073018467,46.4501976884187
2025-02-16,68602.597515449,50294.5734070462,18308.0241084027,36.4015894125026
2025-07-20,69778.4175136712,51576.2957913247,18202.1217223464,35.2916421062717
2025-04-11,32275.0587318518,14073.9270668295,18201.1316650222,129.325181085527
2025-07-31,70020.1827590507,51981.561166321,18038.6215927297,34.7019619803511
2025-04-22,50447.6869621057,32418.4865668406,18029.200395265,55.613948412096
2025-07-24,70331.4681808802,52308.0651375831,18023.4030432971,34.4562602265847
2025-03-19,59392.5367845774,41376.9455048357,18015.5912797417,43.5401672596548
2025-02-19,66876.7461325639,48956.0772283039,17920.6689042599,36.6056063288893
2025-04-04,32149.0512445726,14328.8556025427,17820.1956420299,124.365798193037
2025-10-09,57148.1540746595,39386.1265897769,17762.0274848826,45.0971675125141
2025-11-02,63932.2629876562,46171.9056771681,17760.3573104881,38.4657229326157
2025-07-08,71157.1577206836,53410.2789446438,17746.8787760398,33.2274594454622
2025-11-09,66301.7284094528,48652.4252776416,17649.3031318112,36.2763069489199
2025-04-07,53857.0101685761,36300.4995042823,17556.5106642938,48.3643776367945
2025-03-17,59379.4715499685,41824.4421870196,17555.029362949,41.9731344758909
2025-11-05,63623.3749334309,46148.7953539467,17474.5795794841,37.8657328874126
2025-02-09,69296.756624283,51956.5032605836,17340.2533636994,33.3745580928162
2025-03-05,65362.2335361127,48086.1620331633,17276.0715029493,35.927324561762
2025-07-22,71283.8075348084,54081.2012888112,17202.6062459971,31.808846394017
2025-08-27,64412.5087741822,47236.4797675676,17176.0290066146,36.3617887936001
2025-07-28,70198.7153190835,53039.4449652521,17159.2703538315,32.3519040688927
2025-03-15,32670.2801855078,15593.1284399243,17077.1517455835,109.517162071592
2025-06-16,65409.7437730198,48358.4461687911,17051.2976042288,35.2602264032898
2025-05-12,55428.0971923483,38382.7798912801,17045.3173010682,44.4087618180583
2025-02-14,35458.636081011,18445.913431625,17012.722649386,92.2303073385254
2025-07-10,70002.853096587,52995.348909482,17007.504187105,32.0924468601093
2025-07-14,68471.26556004,51472.2140616281,16999.0514984119,33.025685427207
2025-07-15,68934.8792356522,51941.7787706635,16993.1004649887,32.7156690956188
2025-07-23,69930.640321853,52969.6207494956,16961.0195723574,32.0202775333612
2025-04-16,51838.5547133588,34902.8120690781,16935.7426442807,48.5225735128799
2025-09-17,58387.0008395454,41455.4338950706,16931.5669444748,40.842816860465
2025-09-19,34959.5786336921,18030.3028082853,16929.2758254068,93.8934637172451
2025-05-16,30991.6420590774,14112.3550145427,16879.2870445347,119.606451418921
2025-09-25,59436.550852146,42626.904890492,16809.645961654,39.434357255911
2025-02-07,39051.0691782691,22253.3732498828,16797.6959283864,75.4838187440857
2025-05-19,53152.100163357,36360.6412097248,16791.4589536322,46.1803158442136
2025-02-27,63010.3549767137,46279.5590503805,16730.7959263332,36.151588886402
2025-09-24,60001.6021626377,43303.9048175559,16697.6973450817,38.5593341187843
2025-07-27,68479.0065125395,51852.9160426242,16626.0904699153,32.0639449790023
2025-02-08,36322.1183631905,19801.1666926576,16520.9516705329,83.4342335831098
2025-04-20,51302.6862691589,34822.2242796948,16480.4619894641,47.327424742003
2025-04-15,51348.2499596717,34896.7387925729,16451.5111670988,47.1434057631775
2025-09-08,59508.5970124903,43077.3303674275,16431.2666450628,38.1436512079847
2025-04-27,49002.3418018618,32573.7682641642,16428.5735376977,50.4349800872485
2025-05-17,31778.2046691125,15349.6690471226,16428.5356219899,107.028598281535
2025-04-24,50600.698089484,34213.5425058782,16387.1555836059,47.8966934826769
2025-02-04,73203.1403648503,56884.9825110156,16318.1578538347,28.6862316441333
2025-05-23,29891.970536847,13586.8305330449,16305.1400038021,120.006943224514
2025-02-15,34967.0575979912,18677.2278078361,16289.8297901551,87.2175997303021
2025-04-17,53037.208772259,36868.2535169637,16168.9552552954,43.8560379537799
2025-03-14,31692.6989612868,15594.8435132251,16097.8554480617,103.225501650017
2025-09-14,54826.7694456911,38732.3047304127,16094.4647152784,41.55307779204
2025-10-19,59062.361698097,43022.3903468887,16039.9713512083,37.2828455645498
2025-03-07,33087.1991526049,17071.0958872783,16016.1032653266,93.8200064663812
2025-04-21,51241.961028754,35226.4594377386,16015.5015910154,45.4644089887096
2025-10-10,32220.3872890227,16252.8663060831,15967.5209829396,98.2443384584005
2025-03-22,31358.4055662946,15412.5006334999,15945.9049327947,103.460855003213
2025-07-21,69058.5262529614,53316.9835005421,15741.5427524193,29.5244436554803
2025-07-29,72188.0184005854,56464.3939948659,15723.6244057195,27.8469727438307
2025-08-25,63304.3642945391,47599.6818639392,15704.6824305999,32.9932508277909
2025-03-08,31887.0940180252,16223.493608737,15663.6004092882,96.5488740406242
2025-06-17,67703.5613513973,52112.8053014367,15590.7560499606,29.9173225463085
2025-03-04,65719.4298768765,50138.856784053,15580.5730928235,31.0748471189294
2025-07-17,66607.1768245331,51044.6120558388,15562.5647686943,30.488163474864
2025-02-03,71014.9144963151,55481.0302544604,15533.8842418547,27.9985504425737
2025-08-17,62288.8089745853,46756.7114440318,15532.0975305535,33.2189691080937
2025-09-28,60334.7645714282,44813.8573882301,15520.9071831981,34.6341691783813
2025-02-22,33580.2690128467,18086.4454066713,15493.8236061754,85.6653878515031
2025-04-14,51339.5347863182,35845.898710685,15493.6360756332,43.2228975501033
2025-04-26,27659.2154446966,12180.6020487986,15478.613395898,127.075930515477
2025-05-09,29833.0308016132,14393.0738952787,15439.9569063346,107.273519323758
2025-05-08,53255.0980785768,37869.3750986068,15385.72297997,40.6284047199291
2025-06-10,64048.0318290759,48687.7441495834,15360.2876794925,31.5485713043123
2025-02-21,33383.8669602957,18053.6632383547,15330.2037219411,84.9146431920384
2025-02-26,61057.8048178997,45737.1575916946,15320.6472262051,33.4971564323604
2025-04-13,51126.4429398214,35975.0746022033,15151.368337618,42.1162944209436
2025-06-22,60362.2918207481,45245.3410126799,15116.9508080682,33.411066133487
2025-02-28,32503.2642664319,17413.1343403652,15090.1299260668,86.6594699788569
2025-09-23,58733.4161040942,43671.2422108726,15062.1738932216,34.4899140273863
2025-04-23,50204.4485266789,35161.3445306717,15043.1039960072,42.7830738465786
2025-06-15,63659.493049518,48632.726236517,15026.766813001,30.8984668881627
2025-07-30,68877.9178989706,53967.0867539735,14910.8311449971,27.6294905688962
2025-06-19,63575.0696707684,48707.0384415777,14868.0312291907,30.5254265192583
2025-05-20,53389.9799536097,38593.8235803174,14796.1563732924,38.3381458499446
2025-06-12,66006.2815724977,51234.2464752855,14772.0350972122,28.8323457715689
2025-08-18,62267.4174346607,47515.5601828762,14751.8572517845,31.0463713255364
2025-09-27,33036.6847815941,18382.4642260939,14654.2205555002,79.7184772142709
2025-04-30,48070.3432126792,33420.9351045922,14649.408108087,43.8330287953975
2025-02-20,63836.6714491695,49255.0897023247,14581.5817468448,29.6042131584152
2025-09-15,57271.6565223545,42817.5072643444,14454.1492580101,33.7575682974113
2025-06-08,65549.8570998979,51141.8283062148,14408.0287936831,28.1726900872886
2025-08-28,63938.7112585341,49550.5574431237,14388.1538154104,29.0373197757174
2025-06-25,65380.2017845009,51049.8016990132,14330.4000854877,28.0714118538186
2025-11-20,64087.6641807654,49894.8028568169,14192.8613239485,28.4455705029595
2025-10-24,31546.3320290824,17357.3944948333,14188.9375342491,81.745780096619
2025-02-23,63203.365434828,49070.3723444947,14132.9930903333,28.801479212576
2025-06-13,34149.9015509441,20064.0779692782,14085.823581666,70.204190809236
2025-04-19,26756.2479864029,12723.4430999141,14032.8048864888,110.290939145109
2025-09-18,56022.0355120334,42061.2435313939,13960.7919806394,33.1915816283922
2025-07-25,38645.5453748823,24806.2994429352,13839.245931947,55.7892400024559
2025-06-30,61687.6737217577,47869.2931981105,13818.3805236472,28.8668990086376
2025-02-11,64395.1032721281,50596.9044125728,13798.1988595553,27.2708360713992
2025-06-29,59925.6083235915,46153.3804667904,13772.2278568011,29.8401281065661
2025-11-11,62166.4126915644,48408.8330739824,13757.579617582,28.419564662004
2025-04-29,50511.5538836572,36799.0512726241,13712.5026110331,37.263196024932
2025-02-18,62748.8646465611,49091.9974302287,13656.8672163324,27.8189275874181
2025-07-13,68438.4823013632,54784.7276733302,13653.7546280331,24.9225563544781
2025-02-25,60758.6603879139,47146.7295596932,13611.9308282208,28.8714211045891
2025-07-12,39027.6581831681,25435.057547065,13592.6006361031,53.4404162874465
2025-08-24,62347.5765611027,48786.2123169514,13561.3642441513,27.7975345904016
2025-02-05,71255.5812851962,57830.0018085254,13425.5794766709,23.2155958098062
2025-09-26,32083.9025189017,18676.8822665867,13407.020252315,71.7840379403178
2025-09-16,54018.8492697442,40623.0136875434,13395.8355822008,32.9759768323355
