scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory,forecast_reused
2,0,2,monthly,load,all,kW,4032,785718.212166424,233839936.533841,663325.824049839,18212126.7901,194.870588334927,240.823620115256,4.31425841266126,164.515333345694,no_season,42,no_season_seed_42,False,True
2,0,2,monthly,load,pv_generating,kW,2036,407909.078686612,125063875.221485,334614.455995558,11041710.0541,200.34827047476,247.843226341892,3.69425638499851,164.348946952631,no_season,42,no_season_seed_42,False,True
2,0,2,monthly,pv,all,kW,4032,644886.447466534,443627710.319084,-459981.797747638,7928848.7577,159.942075264517,331.702749263283,8.13341844665987,-114.082787139791,no_season,42,no_season_seed_42,False,True
2,0,2,monthly,pv,pv_generating,kW,2036,642746.614115348,443607100.634763,-462121.631098825,7928848.7577,315.690871372961,466.777977282576,8.10643050154227,-226.97526085404,no_season,42,no_season_seed_42,False,True
2,0,2,monthly,net_load,all,kW,4032,1302157.29137959,830800438.094045,1123307.62179748,11949435.2218,322.955677425494,453.929175043711,10.8972287577575,278.598120485485,no_season,42,no_season_seed_42,False,True
2,0,2,monthly,net_load,pv_generating,kW,2036,925611.525385005,722607493.390585,796736.087094382,4779018.4858,454.622556672399,595.74765782405,19.3682348820222,391.324207806671,no_season,42,no_season_seed_42,False,True
2,0,3,monthly,load,all,kW,4464,731837.722775613,196597544.329364,512373.596646249,19443840.3155,163.942142198838,209.858687055275,3.76385380100152,114.779031506776,no_season,42,no_season_seed_42,False,True
2,0,3,monthly,load,pv_generating,kW,2426,414897.580670487,118560890.623298,286135.947105263,12447297.5511,171.021261611907,221.067718026726,3.33323421382998,117.945567644379,no_season,42,no_season_seed_42,False,True
2,0,3,monthly,pv,all,kW,4464,953078.073966836,801058556.601492,-558228.755630218,10285934.3167,213.503152770349,423.613740793689,9.26583861632716,-125.05124454082,no_season,42,no_season_seed_42,False,True
2,0,3,monthly,pv,pv_generating,kW,2426,949049.171919824,800961463.608781,-562257.657677231,10285934.3167,391.199164023011,574.593107981475,9.22666957321485,-231.76325543167,no_season,42,no_season_seed_42,False,True
