policy_id,label,date,month,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh
exp004/no_season,exp004 无季节,2025-02-01,2,23571.9689278048,23571.9689278048,0,45697.8815721017,0
exp004/no_season,exp004 无季节,2025-02-02,2,56645.5976743377,56645.5976743377,0,89583.8968946493,0
exp004/no_season,exp004 无季节,2025-02-03,2,55481.0302544604,55481.0302544604,0,88352.7497615701,0
exp004/no_season,exp004 无季节,2025-02-04,2,56884.9825110156,56884.9825110156,0,90535.9564066663,0
exp004/no_season,exp004 无季节,2025-02-05,2,57830.0018085254,57830.0018085254,0,91386.4956626872,0
exp004/no_season,exp004 无季节,2025-02-06,2,57069.2302986982,57069.2302986981,0,90548.3598117296,0
exp004/no_season,exp004 无季节,2025-02-07,2,22253.3732498828,22253.3732498828,0,43160.5896542706,0
exp004/no_season,exp004 无季节,2025-02-08,2,19801.1666926576,19801.1666926576,0,38112.8106561493,0
exp004/no_season,exp004 无季节,2025-02-09,2,51956.5032605836,51956.5032605836,0,83562.0606419753,0
exp004/no_season,exp004 无季节,2025-02-10,2,54526.0578309735,54526.0578309735,0,87498.7365396016,0
exp004/no_season,exp004 无季节,2025-02-11,2,50596.9044125728,50596.9044125728,0,81869.2338578029,0
exp004/no_season,exp004 无季节,2025-02-12,2,51497.0028534553,51497.0028534553,0,82974.1263000341,0
exp004/no_season,exp004 无季节,2025-02-13,2,51334.1169394008,51334.1169394008,0,82797.6073643325,0
exp004/no_season,exp004 无季节,2025-02-14,2,18445.913431625,18445.913431625,0,35595.8258334397,0
exp004/no_season,exp004 无季节,2025-02-15,2,18677.2278078361,18677.2278078361,0,35726.1611378222,0
exp004/no_season,exp004 无季节,2025-02-16,2,50294.5734070462,50209.0195752242,85.5538318220477,81195.5750236875,18.8051064561046
exp004/no_season,exp004 无季节,2025-02-17,2,51124.4333926159,51124.4333926159,0,82610.3776760616,0
exp004/no_season,exp004 无季节,2025-02-18,2,49091.9974302287,48999.6429254425,92.3545047861925,79277.7049030043,20.2999241204951
exp004/no_season,exp004 无季节,2025-02-19,2,48956.0772283039,48775.5925065286,180.484721775325,79292.8275277156,40.63531693714
exp004/no_season,exp004 无季节,2025-02-20,2,49255.0897023247,49148.2425952827,106.847107041931,79385.6020422063,22.8110817766719
exp004/no_season,exp004 无季节,2025-02-21,2,18053.6632383547,18053.6632383547,0,34967.3102274241,0
exp004/no_season,exp004 无季节,2025-02-22,2,18086.4454066713,18086.4454066713,0,34825.4582805828,0
exp004/no_season,exp004 无季节,2025-02-23,2,49070.3723444947,49070.3723444947,0,79598.9283589285,0
exp004/no_season,exp004 无季节,2025-02-24,2,48473.8799966996,48331.8478650722,142.032131627455,78637.2489799336,31.6974110759177
exp004/no_season,exp004 无季节,2025-02-25,2,47146.7295596932,47101.5204726091,45.2090870840506,76629.5815770256,10.3228877917686
exp004/no_season,exp004 无季节,2025-02-26,2,45737.1575916946,45737.1575916946,0,74653.9250464886,0
exp004/no_season,exp004 无季节,2025-02-27,2,46279.5590503805,46279.5590503805,0,75178.6029224245,0
exp004/no_season,exp004 无季节,2025-02-28,2,17413.1343403652,17413.1343403652,0,33989.814136646,0
exp004/no_season,exp004 无季节,2025-03-01,3,17237.8431252235,17237.8431252235,0,33405.7724727811,0
exp004/no_season,exp004 无季节,2025-03-02,3,55851.9695308323,48205.1025136252,7646.86701720704,77945.4541853222,1132.48551869902
exp004/no_season,exp004 无季节,2025-03-03,3,49538.4867282939,49538.4867282939,0,81002.0746737195,0
exp004/no_season,exp004 无季节,2025-03-04,3,50138.856784053,50138.856784053,0,80946.1759302837,0
exp004/no_season,exp004 无季节,2025-03-05,3,48086.1620331633,48086.1620331633,0,78369.6654617297,0
exp004/no_season,exp004 无季节,2025-03-06,3,45680.4248167877,45572.9787535465,107.446063241116,74799.3052549007,23.278141100459
exp004/no_season,exp004 无季节,2025-03-07,3,17071.0958872783,17071.0958872783,0,33172.7637735645,0
exp004/no_season,exp004 无季节,2025-03-08,3,16223.493608737,16223.493608737,0,31095.1021682241,0
exp004/no_season,exp004 无季节,2025-03-09,3,42880.1286221928,42880.1286221928,0,70517.914199837,0
exp004/no_season,exp004 无季节,2025-03-10,3,46856.2283190965,42247.2751476603,4608.95317143622,69847.0003350928,660.687094529274
exp004/no_season,exp004 无季节,2025-03-11,3,44840.6939080295,44840.6939080295,0,74472.1169802065,0
exp004/no_season,exp004 无季节,2025-03-12,3,43043.5704140214,43043.5704140214,0,71220.7008326209,0
exp004/no_season,exp004 无季节,2025-03-13,3,52551.4189369029,41161.5464539062,11389.8724829967,68488.8618528095,1867.09681587887
exp004/no_season,exp004 无季节,2025-03-14,3,15594.8435132251,15594.8435132251,0,30220.7669397872,0
exp004/no_season,exp004 无季节,2025-03-15,3,15593.1284399243,15593.1284399243,0,30250.2517920314,0
exp004/no_season,exp004 无季节,2025-03-16,3,43385.1269414156,43377.6657614156,7.46117999999994,72174.738071182,1.63999999999999
exp004/no_season,exp004 无季节,2025-03-17,3,41824.4421870196,41824.4421870196,0,69558.9557713716,0
exp004/no_season,exp004 无季节,2025-03-18,3,43751.11623026,38339.0787951192,5412.0374351408,63993.375194033,1074.56504160098
exp004/no_season,exp004 无季节,2025-03-19,3,41376.9455048357,41376.9455048357,0,68748.0785018522,0
exp004/no_season,exp004 无季节,2025-03-20,3,41372.410151713,40139.8194920296,1232.5906596834,66406.0834624074,176.690174839937
exp004/no_season,exp004 无季节,2025-03-21,3,15441.8790719026,15441.8790719026,0,29908.6145460163,0
exp004/no_season,exp004 无季节,2025-03-22,3,15412.5006334999,15412.5006334999,0,30085.0658333987,0
exp004/no_season,exp004 无季节,2025-03-23,3,40600.1350841443,40372.9911097213,227.143974422957,67321.711098268,35.2334267633609
exp004/no_season,exp004 无季节,2025-03-24,3,40624.5665576666,38714.401549244,1910.16500842264,65112.1191410867,273.819525289943
exp004/no_season,exp004 无季节,2025-03-25,3,38735.3669124965,38735.3669124965,0,64881.6845410527,0
exp004/no_season,exp004 无季节,2025-03-26,3,40055.4231098935,40055.4231098935,0,67200.1426118184,0
exp004/no_season,exp004 无季节,2025-03-27,3,37959.1755080743,37320.342823621,638.83268445329,62388.9017372021,120.662348233446
exp004/no_season,exp004 无季节,2025-03-28,3,15185.8152081647,15185.8152081647,0,29834.9905958744,0
exp004/no_season,exp004 无季节,2025-03-29,3,14479.220178356,14479.220178356,0,28651.1996640407,0
exp004/no_season,exp004 无季节,2025-03-30,3,35967.5033007191,35967.5033007191,0,59787.2231738884,0
exp004/no_season,exp004 无季节,2025-03-31,3,36882.6066332387,36408.9257853962,473.680847842524,61240.9671030014,67.9014976838481
exp004/no_season,exp004 无季节,2025-04-01,4,38485.6057137979,38485.6057137979,0,64664.7771557814,0
exp004/no_season,exp004 无季节,2025-04-02,4,44210.93925153,39738.120110666,4472.81914086401,67014.0950079575,917.882703849494
exp004/no_season,exp004 无季节,2025-04-03,4,41340.2433585094,40236.416590324,1103.82676818542,67590.0773667431,158.232048191717
exp004/no_season,exp004 无季节,2025-04-04,4,14328.8556025427,14328.8556025427,0,28536.4760892476,0
exp004/no_season,exp004 无季节,2025-04-05,4,13910.4224318763,13910.4224318763,0,27754.9461341764,0
exp004/no_season,exp004 无季节,2025-04-06,4,38065.1253732977,38065.1253732977,0,64274.6254005907,0
exp004/no_season,exp004 无季节,2025-04-07,4,36300.4995042823,36300.4995042823,0,61330.3575082737,0
exp004/no_season,exp004 无季节,2025-04-08,4,38490.8797378031,36328.1734198716,2162.70631793148,61254.8595765634,392.261161503693
exp004/no_season,exp004 无季节,2025-04-09,4,37401.3663844792,37401.3663844792,0,62644.642758976,0
exp004/no_season,exp004 无季节,2025-04-10,4,39364.6795059088,39273.521116394,91.1583895148069,66650.4906993355,26.4464356468084
exp004/no_season,exp004 无季节,2025-04-11,4,14073.9270668295,14073.9270668295,0,27961.1396818583,0
exp004/no_season,exp004 无季节,2025-04-12,4,13653.1317399006,13653.1317399006,0,27344.0948817254,0
exp004/no_season,exp004 无季节,2025-04-13,4,35975.0746022033,35975.0746022033,0,60941.2203430747,0
exp004/no_season,exp004 无季节,2025-04-14,4,35845.898710685,35845.898710685,0,61043.972842823,0
exp004/no_season,exp004 无季节,2025-04-15,4,34896.7387925729,34896.7387925729,0,59284.4416954402,0
exp004/no_season,exp004 无季节,2025-04-16,4,34902.8120690781,34902.8120690781,0,58576.2141828524,0
exp004/no_season,exp004 无季节,2025-04-17,4,36868.2535169637,36868.2535169637,0,62663.9646136462,0
exp004/no_season,exp004 无季节,2025-04-18,4,13618.3590657265,13618.3590657265,0,27289.6623642598,0
exp004/no_season,exp004 无季节,2025-04-19,4,12723.4430999141,12723.4430999141,0,25685.4894718109,0
exp004/no_season,exp004 无季节,2025-04-20,4,34822.2242796948,34822.2242796948,0,59083.0170385938,0
exp004/no_season,exp004 无季节,2025-04-21,4,35226.4594377386,35226.4594377386,0,59619.5098100789,0
exp004/no_season,exp004 无季节,2025-04-22,4,32418.4865668406,32418.4865668407,0,54355.6303080296,0
exp004/no_season,exp004 无季节,2025-04-23,4,35161.3445306717,35161.3445306717,0,59957.6668589611,0
exp004/no_season,exp004 无季节,2025-04-24,4,34213.5425058782,34213.5425058782,0,58127.7773726599,0
exp004/no_season,exp004 无季节,2025-04-25,4,12462.8876324676,12462.8876324676,0,25682.3027565729,0
exp004/no_season,exp004 无季节,2025-04-26,4,12180.6020487986,12180.6020487986,0,25335.1691266948,0
exp004/no_season,exp004 无季节,2025-04-27,4,32573.7682641642,31846.3029145774,727.465349586763,53315.2491478446,104.80150425124
exp004/no_season,exp004 无季节,2025-04-28,4,47039.487391811,34077.8691881527,12961.6182036582,57469.2194657887,1912.60792729738
exp004/no_season,exp004 无季节,2025-04-29,4,36799.0512726241,36799.0512726241,0,63306.1245646902,0
exp004/no_season,exp004 无季节,2025-04-30,4,33420.9351045922,33420.9351045922,0,55805.0800535139,0
exp004/no_season,exp004 无季节,2025-05-01,5,48654.2755788362,32537.1575691941,16117.1180096421,55296.0653287246,2883.23841640902
exp004/no_season,exp004 无季节,2025-05-02,5,23220.0325687031,12850.0964973253,10369.9360713778,26268.0696484116,2126.94179066646
exp004/no_season,exp004 无季节,2025-05-03,5,19773.8385792387,13277.5745093524,6496.2640698863,26857.5126085148,1415.17953242106
exp004/no_season,exp004 无季节,2025-05-04,5,45433.5558684248,34082.9404512558,11350.615417169,58067.4418798829,2114.07711649028
exp004/no_season,exp004 无季节,2025-05-05,5,46336.8382710331,33148.2456033912,13188.592667642,56739.1663796867,2265.36884444982
exp004/no_season,exp004 无季节,2025-05-06,5,45268.0644449709,34505.0403235578,10763.0241214131,59182.8601930024,2140.18987119819
