run_id,name,policy_id,label,month,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,2,1613152.9503579,1464862.94928518,148290.001072714,1946653.36119443,32206.6117951694
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,3,1597246.41376015,1453662.93723037,143583.47652978,1852230.28810226,32740.9362265597
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,4,1401783.51571004,1291451.24891741,110332.266792634,1650798.40838627,35090.2033305728
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,5,1464983.91005304,1381317.34529243,83666.5647606122,1709107.97956288,21476.3649021178
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,6,1773081.34494122,1618721.80702826,154359.53791296,2017348.42880893,46985.5359939588
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,7,1958013.21807655,1829354.15689235,128659.0611842,2323510.03342642,38689.5996392721
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,8,1526811.3457994,1371450.18703009,155361.158769313,2007925.10645338,32409.0828724465
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,9,1409572.54597856,1228935.22266636,180637.323312202,1798348.10274883,39353.337765932
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,10,1402443.81821376,1270083.95341826,132359.864795501,1781015.70271793,25053.2584694724
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,11,1617115.49055278,1347713.9956698,269401.494882983,1894319.57331512,54244.0391078854
cost_only_2026,cost_only_2026,exp007/cost_only_2026,exp007 仅费用·2026,12,1862902.71959337,1759529.19358433,103373.526009042,2474871.72584628,26063.5804086178
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,2,1663133.46399369,1366283.65273889,296849.811254803,1845588.70585809,65552.3186303861
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,3,1600767.38999192,1511102.76734222,89664.6226496995,1898253.03960832,25926.355476797
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,4,1448407.97050456,1350156.85010065,98251.1204039132,1706656.47008321,23600.3060584754
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,5,1503313.54753892,1321277.0626591,182036.484879819,1678908.43363741,53236.0470387522
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,6,1708354.29816377,1577118.28176137,131236.016402402,2016663.61237801,39828.5047545349
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,7,1755977.07702712,1603878.52037106,152098.556656061,2250918.54985691,41709.9012871093
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,8,1449463.86184923,1347626.78161307,101837.08023616,1988025.88861936,21869.5782077788
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,9,1446565.45323201,1240184.92172016,206380.531511848,1760410.83711713,44037.3024044126
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,10,1426846.62424563,1261219.78628587,165626.837959762,1821657.08266987,32389.6598238741
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,11,1653408.88164703,1350332.98391973,303075.897727301,1899961.44479731,57701.05768931
cost_only_3407,cost_only_3407,exp007/cost_only_3407,exp007 仅费用·3407,12,1881089.06272257,1756630.47097139,124458.591751173,2465331.3669764,28749.0660287975
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,2,1603050.32767457,1467688.03714217,135362.290532394,1943084.43745078,34059.7030040162
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,3,1631454.05082352,1427682.87514712,203771.175676397,1824912.9972701,50518.0704049001
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,4,1439929.84249359,1316599.3563163,123330.486177287,1620862.25676193,38757.4509082439
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,5,1442121.07394809,1262068.48816957,180052.585778518,1581817.76450304,54276.7856972926
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,6,1729195.64361473,1551656.77506401,177538.868550718,1930243.76395255,51363.149521444
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,7,1849000.98634676,1689680.77900215,159320.207344614,2221461.33795112,45417.325795455
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,8,1496631.30241975,1345155.67430906,151475.62811069,1986184.02144753,33751.5375497846
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,9,1426743.00456108,1214259.1447585,212483.859802581,1760938.70984813,43265.3312038193
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,10,1431505.83849829,1246389.45555049,185116.382947805,1778805.41766439,34586.8255671948
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,11,1716202.07950075,1315649.20891368,400552.870587079,1858262.61755186,78063.6764079076
cost_only_42,cost_only_42,exp007/cost_only_42,exp007 仅费用·42,12,1959432.48927338,1728613.81841561,230818.670857766,2423262.29161842,50876.5218227078
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,2,1708871.37552299,1513040.63839347,195830.737129514,1930394.53433214,45772.0593145526
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,3,1507515.32829499,1373895.12707297,133620.201222028,1832376.52576025,32000.6349899572
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,4,1389452.64931417,1276940.13726614,112512.512048031,1650253.79034862,23772.6749662209
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,5,1415824.91834849,1319971.57488937,95853.3434591281,1651431.46230524,27280.4040253287
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,6,1738065.14226361,1582567.62414229,155497.518121324,1986722.93805157,48729.5273920801
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,7,1878962.13899196,1706624.83262602,172337.306365939,2262530.39200019,47608.3636427844
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,8,1579859.17855088,1502291.8964467,77567.2821041804,2023140.60527428,17346.7531004602
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,9,1420230.91201276,1240384.84497522,179846.067037538,1776512.27929249,38306.3145396726
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,10,1397847.01875897,1236060.22969449,161786.789064482,1780562.07249714,28684.6461001685
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,11,1629772.95898837,1334066.23339153,295706.725596847,1872836.54101499,58807.7236822284
regularized_2026,regularized_2026,exp007/regularized_2026,exp007 轻惩罚·2026,12,1891884.93337873,1754586.84236138,137298.09101735,2469399.49413009,30532.1941696672
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,2,1706797.7550231,1421601.07149956,285196.683523539,1859139.50526884,56825.5135470601
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,3,1618948.95198876,1444694.84251728,174254.109471483,1851145.34778809,43696.1031853181
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,4,1404187.77957751,1259036.68426335,145151.09531416,1647574.44553573,34020.7869438442
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,5,1566210.68677834,1344006.29617996,222204.390598378,1680208.612944,60677.1785319242
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,6,1726856.70461839,1596711.64525892,130145.059359472,2001229.69992819,37713.5423733862
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,7,1809946.87221809,1662969.63433427,146977.237883814,2251891.87420807,42060.5346400523
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,8,1430867.45422709,1364883.0997046,65984.3545224906,1983352.31157883,14868.3198676301
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,9,1411852.31419383,1221911.04584163,189941.268352193,1744426.05809505,36964.3885265727
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,10,1415094.64930621,1210778.60674548,204316.042560734,1755483.78030457,38856.6983107944
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,11,1685199.49432552,1384439.82403244,300759.670293071,1870834.76390102,62419.4848350629
regularized_3407,regularized_3407,exp007/regularized_3407,exp007 轻惩罚·3407,12,1906592.59098442,1739190.69837181,167401.892612615,2439907.16427497,40049.246866964
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,2,1617863.66727834,1518156.41682656,99707.2504517838,1978991.79542264,27433.2169620164
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,3,1733389.44028596,1386328.91087699,347060.529408972,1759704.1750111,86588.6100802725
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,4,1416957.03928236,1273060.86036834,143896.178914012,1648618.60463461,35621.2767219495
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,5,1392505.51588497,1252712.29841937,139793.217465605,1651322.97218861,38757.2254933885
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,6,1718263.2912911,1514750.27088135,203513.020409751,1972925.03880173,46319.0836442685
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,7,1987885.76433816,1816856.51428049,171029.250057678,2287462.30057973,48435.1958412381
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,8,1574193.44915812,1388337.2605572,185856.188600922,2011196.81018335,38277.7152429895
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,9,1473091.48959735,1242937.87062455,230153.618972803,1820769.99852523,46440.8836706708
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,10,1417656.64165927,1282777.00816672,134879.633492548,1833920.43362195,26874.3695940564
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,11,1651866.10245565,1351704.50237394,300161.600081712,1934858.67501204,55579.0239027312
regularized_42,regularized_42,exp007/regularized_42,exp007 正式·轻惩罚·42,12,1942083.18317987,1742404.33262184,199678.850558026,2463718.09017657,37891.5451134104
,,exp004/no_season,exp004 无季节,2,1185554.1906427,1184901.70925857,652.481384137002,1957645.44879696,144.571728158098
,,exp004/no_season,exp004 无季节,3,1104242.57788116,1070587.52735631,33655.0505248467,1813047.7778994,5434.05958461914
,,exp004/no_season,exp004 无季节,4,920775.044563183,899255.450393442,21519.5941697407,1554562.29427856,3512.23178074034
,,exp004/no_season,exp004 无季节,5,990289.368617663,880444.880708703,109844.48790896,1517082.54255768,19572.7298438049
,,exp004/no_season,exp004 无季节,6,1421142.79674209,1167015.76498302,254127.031759074,1924658.16171402,45728.6504228364
,,exp004/no_season,exp004 无季节,7,1650361.35159395,1364289.53600908,286071.815584869,2192362.87532877,54182.0747505248
,,exp004/no_season,exp004 无季节,8,1255438.0447015,1231519.75229888,23918.2924026151,1980728.43104956,4037.11447821783
,,exp004/no_season,exp004 无季节,9,1120151.94586851,1101170.52314659,18981.4227219148,1786766.08702969,2954.9073320888
,,exp004/no_season,exp004 无季节,10,1113565.25890201,1113396.63639411,168.622507902046,1841997.89867847,35.9996814479175
,,exp004/no_season,exp004 无季节,11,1214263.2310752,1180689.04282621,33574.1882489903,1943465.332345,6311.11859822224
,,exp004/no_season,exp004 无季节,12,1635804.02232556,1536570.5431137,99233.4792118621,2484830.76199438,18998.7072200808
,,exp006/greedy_execution,exp006 旧执行·重新规划,2,1188173.45148551,1182040.36378361,6133.08770189795,1946748.91628841,1206.2863464536
,,exp006/greedy_execution,exp006 旧执行·重新规划,3,1108900.13932967,1094369.1177261,14531.0216035729,1845577.55588813,2601.75801753258
