experiment,policy_id,label,role,ranking_allowed,comparable,exploratory,source,status,physically_comparable,charge_kwh,discharge_kwh,initial_soc,final_soc,throughput_kwh,equivalent_full_cycles,direction_reversals,simultaneous_slots,power_variation_kw,nonidle_direction_reversals,direct_adjacent_reversals,mean_absolute_change_kw,rms_change_kw,p95_absolute_change_kw,max_absolute_change_kw,total_variation_kw,large_jump_threshold_kw,large_jump_count,large_jump_pct,power_limit_hit_pct,warmup_boundary_jump_kw,warmup_boundary_absolute_jump_kw,total_variation_including_warmup_kw,active_slot_pct,first_power_kw,last_power_kw,zero_tolerance_kw,power_limit_kw,points,differences,cross_midnight_differences
exp001,exp001/legacy_rebased,exp001 同口径重算,历史对照,True,True,False,data/results/exp003/baseline/exp002_q2_costs.csv,同物理口径,True,6276030.03677205,5648637.45020651,,1200,11924667.4869786,496.172981125354,,,,,,,,,,,,,,,,,,,,,,,,,
exp002,exp002/primary,exp002 正式风险,当轮正式策略,True,True,False,data/results/exp002/dispatch_2.npz,同物理口径,True,6316145.32618928,5684741.21068202,1421.79911051355,1200,12000886.5368713,499.344373214237,8881,0,33471223.3874074,8881,7881,695.939773103387,1634.6092930204,4787.41967458503,9656.59432503687,33471223.3874074,1000,6675,13.8787815781266,6.05247837658017,4827.24,4827.24,33476050.6274074,86.8450598802395,5000,-427.889262843228,6e-06,5000,48096,48095,333
exp002,exp002/new_deterministic,exp002 同确定性,历史对照,True,True,False,data/results/exp003/baseline/exp002_q2_costs.csv,同物理口径,True,6315396.677972,5684067.42728647,,1200,11999464.1052585,499.285187375916,,,,,,,,,,,,,,,,,,,,,,,,,
exp003,exp003/primary,exp003 正式,当轮正式策略,True,True,False,data/results/exp003/dispatch_2.npz,同物理口径,True,6341190.38943135,5707232.23431987,1421.79911051355,1252.21266160668,12048422.6237512,501.322183786367,8809,0,33384990.3142207,8809,7826,694.14679933924,1631.21784230445,4780.13829637752,9742.01766484375,33384990.3142207,1000,6666,13.8600686142011,6.23336660013307,4827.24,4827.24,33389817.5542207,86.8055555555556,5000,-384.740009765625,6e-06,5000,48096,48095,333
exp003,exp003/uncalibrated,exp003 未校准,历史对照,True,True,False,data/results/exp003/dispatch_metrics.csv,同物理口径,True,6320654.21244361,5688799.20831092,1421.79911051355,1200,12009453.4207545,499.700831971095,,,,,,,,,,,,,,,,,,,,,,,,,
exp004,exp004/no_season,exp004 无季节,同预测基线,True,True,False,data/results/exp004/no_season/dispatch_2.npz,同物理口径,True,6313399.08758655,5682140.76824373,1421.79911051355,1335.79631484864,11995539.8558303,499.121605809879,7715,0,33430432.9181797,7715,6796,695.091650237648,1636.92222501645,4750.5608954606,9704.36675030903,33430432.9181797,1000,6915,14.377793949475,8.4227378576181,4827.24,4827.24,33435260.1581797,83.1857119095143,5000,-360.510768394064,6e-06,5000,48096,48095,333
exp004,exp004/causal_season,exp004 历史季节,当轮正式策略,True,True,False,data/results/exp004/causal_season/dispatch_2.npz,同物理口径,True,6317717.49161782,5685938.60374733,1421.79911051355,1429.32397020921,12003656.0953652,499.459108639131,7619,0,33443497.3775958,7619,6640,695.363288857383,1633.69412358793,4742.85871073065,9707.94210686288,33443497.3775958,1000,6958,14.4672003326749,8.50174650698603,4827.24,4827.24,33448324.6175958,83.1378908848969,5000,-277.927072842059,6e-06,5000,48096,48095,333
exp004,exp004/oracle_season,exp004 全年探索,含未来探索,False,False,True,data/results/exp004/oracle_season/dispatch_2.npz,含未来信息，仅探索,True,6298402.74801812,5668554.14258255,1421.79911051355,1430.58036952087,11966956.8906007,497.932091734229,7491,0,33318576.6943647,7491,6500,692.765915258648,1632.81194764245,4738.22372642726,9654.67070834203,33318576.6943647,1000,6873,14.290466784489,8.61610113107119,4827.24,4827.24,33323403.9343647,83.0235362608117,5000,-277.059729282697,6e-06,5000,48096,48095,333
exp001,exp001/original,exp001 原登记（不可比）,原登记不可比,False,False,False,data/results/exp001/dispatch_2.npz,原协议不可直接比较,False,6359633.61873862,5157736.17742078,8347.71804722222,1200,11517369.7961594,,7969,0,26899728.8299876,7969,6929,559.30406133668,1377.56249917409,4522.17688216417,9032.7642,26899728.8299876,1000,5485,11.4045119035243,5.79673985362608,,,,85.2274617431803,5000,-202.620542822268,6e-06,5000,48096,48095,333
exp006,exp006/primary,exp006 正式·树DP,正式策略,True,True,False,data/results/exp006/primary/dispatch_2.npz,同物理口径；新规划及执行,True,6042575.43666935,5438271.60315442,1421.79911051355,1470.59289458206,11480847.0398238,477.705499757205,2729,0,30451039.1434652,2729,730,633.143552208446,1591.62553170253,4714.78981487835,9013.79573991445,30451039.1434652,1000,7050,14.6584884083585,0,4749.01457589232,4749.01457589232,30455788.1580411,47.8792415169661,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/seed_2026,exp006 树DP·种子2026,种子稳定性,True,True,False,data/results/exp006/seed_2026/dispatch_2.npz,同物理口径；新规划及执行,True,6052697.23481453,5447312.93134467,1421.79911051355,1542.577023055,11500010.1661592,478.5026988224,2725,0,30480795.7645931,2725,725,633.762257294793,1591.55324692211,4715.91620699798,9163.68925525349,30480795.7645931,1000,7068,14.6959143362096,0,4749.01457589232,4749.01457589232,30485544.7791689,48.0705256154358,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/seed_3407,exp006 树DP·种子3407,种子稳定性,True,True,False,data/results/exp006/seed_3407/dispatch_2.npz,同物理口径；新规划及执行,True,6054373.28456454,5448762.80455233,1421.79911051355,1604.31687604847,11503136.0891169,478.63262969557,2725,0,30479002.5561582,2725,723,633.724972578401,1593.66581298229,4716.5005101606,9138.01732296082,30479002.5561582,1000,7022,14.6002702983678,0,4749.01457589232,4749.01457589232,30483751.5707341,48.1391383898869,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/causal_42,exp006 历史季节·树DP,预测兼容对照,True,True,False,data/results/exp006/causal_42/dispatch_2.npz,同物理口径；新规划及执行,True,6041591.6150861,5437328.63230063,1421.79911051355,1531.23634533187,11478920.2473867,477.6251950214,2733,0,30418457.6883472,2733,726,632.466112659262,1590.09030289071,4713.50527258197,9012.49133147988,30418457.6883472,1000,7025,14.6065079530097,0,4749.01457589232,4749.01457589232,30423206.7029231,47.9208250166334,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/causal_2026,exp006 历史季节·2026,种子稳定性,True,True,False,data/results/exp006/causal_2026/dispatch_2.npz,同物理口径；新规划及执行,True,6045679.69148094,5440898.17872285,1421.79911051355,1646.89383963879,11486577.8702038,477.943566775549,2723,0,30480027.0477744,2723,727,633.746273994685,1593.51052839961,4710.42200424157,9220.71838848569,30480027.0477744,1000,7029,14.6148248258655,0,4749.01457589232,4749.01457589232,30484776.0623502,47.9956753160346,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/causal_3407,exp006 历史季节·3407,种子稳定性,True,True,False,data/results/exp006/causal_3407/dispatch_2.npz,同物理口径；新规划及执行,True,6052880.08300813,5447307.64433508,1421.79911051355,1721.61504784539,11500187.7273432,478.509694323646,2727,0,30446201.9463971,2727,732,633.04297632596,1593.59362639009,4708.12596002015,9191.48295813711,30446201.9463971,1000,7002,14.5586859340888,0,4749.01457589232,4749.01457589232,30450950.960973,48.0351796407186,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/cost_only,exp006 仅费用,消融,True,True,False,data/results/exp006/cost_only/dispatch_2.npz,同物理口径；新规划及执行,True,6044516.61291859,5440017.52605415,1421.79911051355,1471.7900534119,11484534.1389727,477.858913332774,2731,0,30353734.1014697,2731,740,631.120368052182,1591.60373871331,4716.43245235548,9013.79573991445,30353734.1014697,1000,6881,14.3071005302006,0,4749.01457589232,4749.01457589232,30358483.1160456,46.1493679308051,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/no_tree,exp006 无条件树,消融,True,True,False,data/results/exp006/no_tree/dispatch_2.npz,同物理口径；新规划及执行,True,6007097.36060535,5406400.91051199,1421.79911051355,1407.7944714521,11413498.2711173,474.903328174096,2721,0,30278315.177545,2721,722,629.552244049175,1586.11483431758,4711.13514976988,9149.52132440849,30278315.177545,1000,6943,14.4360120594656,0,4749.01457589232,4749.01457589232,30283064.1921209,47.9125083166999,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/more_throughput_penalty,exp006 较强吞吐惩罚,消融,True,True,False,data/results/exp006/more_throughput_penalty/dispatch_2.npz,同物理口径；新规划及执行,True,5813812.44934583,5232358.68546946,1421.79911051355,1498.24078702991,11046171.1348153,459.619045654523,2047,0,25858387.1547926,2047,357,537.652295556557,1413.87285817978,4528.31817146532,8538.77410678115,25858387.1547926,1000,6060,12.6000623765464,0,4749.01457589232,4749.01457589232,25863136.1693685,44.9850299401198,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/zero_terminal,exp006 无终值,消融,True,True,False,data/results/exp006/zero_terminal/dispatch_2.npz,同物理口径；新规划及执行,True,6042575.43666935,5438271.60315442,1421.79911051355,1470.59289458206,11480847.0398238,477.705499757205,2729,0,30451039.1434652,2729,730,633.143552208446,1591.62553170253,4714.78981487835,9013.79573991445,30451039.1434652,1000,7050,14.6584884083585,0,4749.01457589232,4749.01457589232,30455788.1580411,47.8792415169661,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/greedy_execution,exp006 旧执行·重新规划,消融,True,True,False,data/results/exp006/greedy_execution/dispatch_2.npz,同物理口径；新规划及执行,True,6190052.90466772,5570850.30892539,1421.79911051355,1629.77713222176,11760903.2135931,489.357984641374,6755,0,32666146.3282527,6755,5731,679.200464253097,1582.45370809208,4522.75368857835,9255.1866785884,32666146.3282527,1000,7000,14.5545274976609,4.94011976047904,4827.24,4827.24,32670973.5682527,80.9526779773786,5000,-329.793887287205,6e-06,5000,48096,48095,333
exp006,exp006/no_deadband,exp006 无死区,消融,True,True,False,data/results/exp006/no_deadband/dispatch_2.npz,同物理口径；新规划及执行,True,6042574.17603141,5438270.46858028,1421.79911051355,1470.59289458206,11480844.6446117,477.705400095026,2731,0,30452352.7533244,2731,730,633.170865023898,1591.60746536856,4714.78981487835,9013.79573991445,30452352.7533244,1000,7050,14.6584884083585,0,4749.01457589232,4749.01457589232,30457101.7679003,47.9249833666001,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/primary_grid25,exp006 正式·25kWh,网格精度核查,True,True,False,data/results/exp006/primary_grid25/dispatch_2.npz,同物理口径；新规划及执行,True,6090087.90803904,5481032.82738714,1421.79911051355,1470.59289458547,11571120.7354262,481.461690427,2729,0,31202198.5898671,2729,726,648.761796233851,1642.14002664885,4847.33651304617,9312.90770919588,31202198.5898671,1000,6994,14.5420521883772,0,4749.01457589232,4749.01457589232,31206947.6044429,48.0310212907518,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/causal_42_grid25,exp006 历史季节·25kWh,网格精度核查,True,True,False,data/results/exp006/causal_42_grid25/dispatch_2.npz,同物理口径；新规划及执行,True,6089282.71782134,5480256.85650382,1421.79911051355,1524.66751304764,11569539.5743252,481.395781441956,2735,0,31218765.2732258,2735,721,649.106253731693,1642.40608211375,4847.46152335484,9312.90770919588,31218765.2732258,1000,7012,14.5794781162283,0,4749.01457589232,4749.01457589232,31223514.2878017,48.0143878908849,4921.77457589232,0,6e-06,5000,48096,48095,333
exp006,exp006/fixed_primary_greedy,exp006 固定购电·旧执行,执行控制对照,True,True,False,data/results/exp006/fixed_primary_greedy/dispatch_2.npz,同物理口径；新规划及执行,True,6180199.68424002,5561982.41054046,1421.79911051355,1629.77713222176,11742182.0947805,488.579019170392,6669,0,31423560.0539821,6669,5586,653.364384114401,1545.39564103484,4447.85440015976,9255.1866785884,31423560.0539821,1000,6768,14.0721488720241,5.01912840984697,4827.24,4827.24,31428387.2939821,79.3891383898869,5000,-329.793887287205,6e-06,5000,48096,48095,333
exp005,exp005/beta_0.1,exp005 LP·β=0.1,当轮正式策略,False,False,False,reports/experiments/exp007/evidence/history/exp005/beta_0.1/dispatch.npz,仅描述：1000 kW硬爬坡、LP松弛及允许紧急充电；不排名,,6059525.52217444,5453783.34872799,1421.79911051355,1200.04041461154,11513308.8709024,479.056794695472,3859,0,12691001.8279704,3859,2986,263.873621540086,428.252187209277,1000,1000.00000000004,12691001.8279704,1000,669,1.39099698513359,0.72771124417831,1000,1000,12692001.8279704,92.3361610113107,1172.76,-86.2648554067097,6e-06,5000,48096,48095,333
