previous_policy_id,previous_experiment,previous_label,current_policy_id,current_experiment,current_label,metric,population,unit,absolute_change_unit,previous,current,absolute_change,relative_change_pct,comparable,comparability_reason,previous_source,current_source,forecast_seed,rl_seed,period
exp001/legacy_rebased,exp001,exp001 同口径重算,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,15842654.1906855,17925755.5844111,2083101.39372564,13.1486894093187,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/legacy_rebased,exp001,exp001 同口径重算,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11613278.0321186,15770026.2459973,4156748.21387874,35.793065509863,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/legacy_rebased,exp001,exp001 同口径重算,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,4229376.15856689,2155729.33841381,-2073646.82015308,-49.0296143546553,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/legacy_rebased,exp001,exp001 同口径重算,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19310623.5697846,21363488.8941576,2052865.32437295,10.6307562619836,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp001/legacy_rebased,exp001,exp001 同口径重算,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,730041.08805508,488218.146266992,-241822.941788088,-33.124565965504,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/primary,exp002,exp002 正式风险,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,15128897.4527102,17925755.5844111,2796858.13170094,18.4868602648894,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/primary,exp002,exp002 正式风险,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11755724.512758,15770026.2459973,4014301.73323934,34.1476335965749,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/primary,exp002,exp002 正式风险,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3373172.93995212,2155729.33841381,-1217443.60153831,-36.0919414216453,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/primary,exp002,exp002 正式风险,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19494424.5794031,21363488.8941576,1869064.31475446,9.58768650565466,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/primary,exp002,exp002 正式风险,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,579717.66304431,488218.146266992,-91499.5167773181,-15.7834619522925,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/new_deterministic,exp002,exp002 同确定性,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,15352302.2799138,17925755.5844111,2573453.30449734,16.7626539497227,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/new_deterministic,exp002,exp002 同确定性,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11677852.8610738,15770026.2459973,4092173.38492354,35.042172851519,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/new_deterministic,exp002,exp002 同确定性,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3674449.41883999,2155729.33841381,-1518720.08042618,-41.3319087381977,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/new_deterministic,exp002,exp002 同确定性,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19421489.4202652,21363488.8941576,1941999.47389235,9.9992303981897,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp002/new_deterministic,exp002,exp002 同确定性,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,628285.617434029,488218.146266992,-140067.471167037,-22.2935982108081,True,同物理口径,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14988622.6481765,17925755.5844111,2937132.93623464,19.595749423927,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11804823.0801435,15770026.2459973,3965203.16585384,33.5896873585812,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3183799.56803298,2155729.33841381,-1028070.22961917,-32.2906705541873,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19576927.868703,21363488.8941576,1786561.02545455,9.12584976272335,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/primary,exp003,exp003 正式,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,549746.420063035,488218.146266992,-61528.2737960431,-11.1921190480855,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,15258030.0911911,17925755.5844111,2667725.49322004,17.4840754492954,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,11686193.3332658,15770026.2459973,4083832.91273154,34.9457928366335,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,3571836.7579253,2155729.33841381,-1416107.41951149,-39.6464764625479,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,19434153.14491,21363488.8941576,1929335.74924755,9.92755246324107,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp003/uncalibrated,exp003,exp003 未校准,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,607930.405578771,488218.146266992,-119712.259311779,-19.69177034299,True,同物理口径,data/results/exp003/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,13611587.8329135,17925755.5844111,4314167.75149764,31.6948162437432,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12729841.3664886,15770026.2459973,3040184.87950874,23.8823469356975,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,881746.466424911,2155729.33841381,1273982.8719889,144.484034867112,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,20997147.6116725,21363488.8941576,366341.282485057,1.74471927930537,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/no_season,exp004,exp004 无季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,160912.165420741,488218.146266992,327305.980846251,203.40661005365,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,13626145.4059908,17925755.5844111,4299610.17842034,31.5541193075042,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp004/causal_season,exp004,exp004 历史季节,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,12727957.7050103,15770026.2459973,3042068.54098704,23.9006807807787,True,同物理口径,data/results/exp004/dispatch_metrics.csv,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
