family,metric,n,mean,sample_std,minimum,maximum,meaning
regularized,total_cost,3,17722199.1306928,186914.685790373,17558286.5544259,17925755.5844111,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,emergency_cost,3,1968639.23869071,225777.981300482,1717856.57316636,2155729.33841381,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,emergency_kwh,3,451737.079939574,46894.9630766005,398841.295923121,488218.146266992,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,throughput_kwh,3,6428657.37910269,418198.569732161,5946264.12707261,6688896.23510551,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,equivalent_full_cycles,3,267.489955017519,17.4007894023471,247.418094434484,278.318211868118,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,direct_adjacent_reversals,3,442.333333333333,79.4124255600679,368,526,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,nonidle_direction_reversals,3,1187.33333333333,94.1930641466416,1129,1296,"three RL seeds; sample standard deviation, not a confidence interval"
regularized,total_variation_kw,3,7376750.91826966,323046.824944205,7184801.22695598,7749719.87597578,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,total_cost,3,17629900.5143692,94000.6348501615,17537327.6309164,17725266.6391545,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,emergency_cost,3,1873787.61794024,275575.216918739,1610024.27602194,2159823.02636585,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,emergency_kwh,3,444616.341931666,65885.4303706956,384312.550512005,514936.377882766,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,throughput_kwh,3,6676903.34440185,372676.891991885,6247034.05680805,6909082.19048328,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,equivalent_full_cycles,3,277.819200679262,15.5066817106174,259.932805350968,287.479910917775,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,direct_adjacent_reversals,3,377,124.591331961738,246,494,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,nonidle_direction_reversals,3,1184.33333333333,81.7333061446393,1090,1234,"three RL seeds; sample standard deviation, not a confidence interval"
cost_only,total_variation_kw,3,7690065.57720159,299149.986286348,7451951.46342896,8025841.26713968,"three RL seeds; sample standard deviation, not a confidence interval"
