run_id,cutoff_day,cutoff_date,training_start_day,training_end_day,history_days,max_observed_index
regularized_42,31,2025-02-01,8,30,23,4463
regularized_42,45,2025-02-15,8,44,37,6479
regularized_42,59,2025-03-01,8,58,51,8495
regularized_42,73,2025-03-15,8,72,65,10511
regularized_42,87,2025-03-29,8,86,79,12527
regularized_42,101,2025-04-12,11,100,90,14543
regularized_42,115,2025-04-26,25,114,90,16559
regularized_42,129,2025-05-10,39,128,90,18575
regularized_42,143,2025-05-24,53,142,90,20591
regularized_42,157,2025-06-07,67,156,90,22607
regularized_42,171,2025-06-21,81,170,90,24623
regularized_42,185,2025-07-05,95,184,90,26639
regularized_42,199,2025-07-19,109,198,90,28655
regularized_42,213,2025-08-02,123,212,90,30671
regularized_42,227,2025-08-16,137,226,90,32687
regularized_42,241,2025-08-30,151,240,90,34703
regularized_42,255,2025-09-13,165,254,90,36719
regularized_42,269,2025-09-27,179,268,90,38735
regularized_42,283,2025-10-11,193,282,90,40751
regularized_42,297,2025-10-25,207,296,90,42767
regularized_42,311,2025-11-08,221,310,90,44783
regularized_42,325,2025-11-22,235,324,90,46799
regularized_42,339,2025-12-06,249,338,90,48815
regularized_42,353,2025-12-20,263,352,90,50831
regularized_2026,31,2025-02-01,8,30,23,4463
regularized_2026,45,2025-02-15,8,44,37,6479
regularized_2026,59,2025-03-01,8,58,51,8495
regularized_2026,73,2025-03-15,8,72,65,10511
regularized_2026,87,2025-03-29,8,86,79,12527
regularized_2026,101,2025-04-12,11,100,90,14543
regularized_2026,115,2025-04-26,25,114,90,16559
regularized_2026,129,2025-05-10,39,128,90,18575
regularized_2026,143,2025-05-24,53,142,90,20591
regularized_2026,157,2025-06-07,67,156,90,22607
regularized_2026,171,2025-06-21,81,170,90,24623
regularized_2026,185,2025-07-05,95,184,90,26639
regularized_2026,199,2025-07-19,109,198,90,28655
regularized_2026,213,2025-08-02,123,212,90,30671
regularized_2026,227,2025-08-16,137,226,90,32687
regularized_2026,241,2025-08-30,151,240,90,34703
regularized_2026,255,2025-09-13,165,254,90,36719
regularized_2026,269,2025-09-27,179,268,90,38735
regularized_2026,283,2025-10-11,193,282,90,40751
regularized_2026,297,2025-10-25,207,296,90,42767
regularized_2026,311,2025-11-08,221,310,90,44783
regularized_2026,325,2025-11-22,235,324,90,46799
regularized_2026,339,2025-12-06,249,338,90,48815
regularized_2026,353,2025-12-20,263,352,90,50831
regularized_3407,31,2025-02-01,8,30,23,4463
regularized_3407,45,2025-02-15,8,44,37,6479
regularized_3407,59,2025-03-01,8,58,51,8495
regularized_3407,73,2025-03-15,8,72,65,10511
regularized_3407,87,2025-03-29,8,86,79,12527
regularized_3407,101,2025-04-12,11,100,90,14543
regularized_3407,115,2025-04-26,25,114,90,16559
regularized_3407,129,2025-05-10,39,128,90,18575
regularized_3407,143,2025-05-24,53,142,90,20591
regularized_3407,157,2025-06-07,67,156,90,22607
regularized_3407,171,2025-06-21,81,170,90,24623
regularized_3407,185,2025-07-05,95,184,90,26639
regularized_3407,199,2025-07-19,109,198,90,28655
regularized_3407,213,2025-08-02,123,212,90,30671
regularized_3407,227,2025-08-16,137,226,90,32687
regularized_3407,241,2025-08-30,151,240,90,34703
regularized_3407,255,2025-09-13,165,254,90,36719
regularized_3407,269,2025-09-27,179,268,90,38735
regularized_3407,283,2025-10-11,193,282,90,40751
regularized_3407,297,2025-10-25,207,296,90,42767
regularized_3407,311,2025-11-08,221,310,90,44783
regularized_3407,325,2025-11-22,235,324,90,46799
regularized_3407,339,2025-12-06,249,338,90,48815
regularized_3407,353,2025-12-20,263,352,90,50831
cost_only_42,31,2025-02-01,8,30,23,4463
cost_only_42,45,2025-02-15,8,44,37,6479
cost_only_42,59,2025-03-01,8,58,51,8495
cost_only_42,73,2025-03-15,8,72,65,10511
cost_only_42,87,2025-03-29,8,86,79,12527
cost_only_42,101,2025-04-12,11,100,90,14543
cost_only_42,115,2025-04-26,25,114,90,16559
cost_only_42,129,2025-05-10,39,128,90,18575
cost_only_42,143,2025-05-24,53,142,90,20591
cost_only_42,157,2025-06-07,67,156,90,22607
cost_only_42,171,2025-06-21,81,170,90,24623
cost_only_42,185,2025-07-05,95,184,90,26639
cost_only_42,199,2025-07-19,109,198,90,28655
cost_only_42,213,2025-08-02,123,212,90,30671
cost_only_42,227,2025-08-16,137,226,90,32687
cost_only_42,241,2025-08-30,151,240,90,34703
cost_only_42,255,2025-09-13,165,254,90,36719
cost_only_42,269,2025-09-27,179,268,90,38735
cost_only_42,283,2025-10-11,193,282,90,40751
cost_only_42,297,2025-10-25,207,296,90,42767
cost_only_42,311,2025-11-08,221,310,90,44783
cost_only_42,325,2025-11-22,235,324,90,46799
cost_only_42,339,2025-12-06,249,338,90,48815
cost_only_42,353,2025-12-20,263,352,90,50831
cost_only_2026,31,2025-02-01,8,30,23,4463
cost_only_2026,45,2025-02-15,8,44,37,6479
cost_only_2026,59,2025-03-01,8,58,51,8495
cost_only_2026,73,2025-03-15,8,72,65,10511
cost_only_2026,87,2025-03-29,8,86,79,12527
cost_only_2026,101,2025-04-12,11,100,90,14543
cost_only_2026,115,2025-04-26,25,114,90,16559
cost_only_2026,129,2025-05-10,39,128,90,18575
cost_only_2026,143,2025-05-24,53,142,90,20591
cost_only_2026,157,2025-06-07,67,156,90,22607
cost_only_2026,171,2025-06-21,81,170,90,24623
cost_only_2026,185,2025-07-05,95,184,90,26639
cost_only_2026,199,2025-07-19,109,198,90,28655
cost_only_2026,213,2025-08-02,123,212,90,30671
cost_only_2026,227,2025-08-16,137,226,90,32687
cost_only_2026,241,2025-08-30,151,240,90,34703
cost_only_2026,255,2025-09-13,165,254,90,36719
cost_only_2026,269,2025-09-27,179,268,90,38735
cost_only_2026,283,2025-10-11,193,282,90,40751
cost_only_2026,297,2025-10-25,207,296,90,42767
cost_only_2026,311,2025-11-08,221,310,90,44783
cost_only_2026,325,2025-11-22,235,324,90,46799
cost_only_2026,339,2025-12-06,249,338,90,48815
cost_only_2026,353,2025-12-20,263,352,90,50831
cost_only_3407,31,2025-02-01,8,30,23,4463
cost_only_3407,45,2025-02-15,8,44,37,6479
cost_only_3407,59,2025-03-01,8,58,51,8495
cost_only_3407,73,2025-03-15,8,72,65,10511
cost_only_3407,87,2025-03-29,8,86,79,12527
cost_only_3407,101,2025-04-12,11,100,90,14543
cost_only_3407,115,2025-04-26,25,114,90,16559
cost_only_3407,129,2025-05-10,39,128,90,18575
cost_only_3407,143,2025-05-24,53,142,90,20591
cost_only_3407,157,2025-06-07,67,156,90,22607
cost_only_3407,171,2025-06-21,81,170,90,24623
cost_only_3407,185,2025-07-05,95,184,90,26639
cost_only_3407,199,2025-07-19,109,198,90,28655
cost_only_3407,213,2025-08-02,123,212,90,30671
cost_only_3407,227,2025-08-16,137,226,90,32687
cost_only_3407,241,2025-08-30,151,240,90,34703
cost_only_3407,255,2025-09-13,165,254,90,36719
cost_only_3407,269,2025-09-27,179,268,90,38735
cost_only_3407,283,2025-10-11,193,282,90,40751
cost_only_3407,297,2025-10-25,207,296,90,42767
cost_only_3407,311,2025-11-08,221,310,90,44783
cost_only_3407,325,2025-11-22,235,324,90,46799
cost_only_3407,339,2025-12-06,249,338,90,48815
cost_only_3407,353,2025-12-20,263,352,90,50831
