date,period,planned_kwh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,0.0
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,412.44444243609195
2025-03-20,18:00-18:10,669.6574239732881
2025-03-20,20:00-20:10,688.9489315754674
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,153.4329429034958
2025-06-21,18:00-18:10,470.8656321325791
2025-06-21,20:00-20:10,667.8800159253317
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,0.0
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,519.1536530773813
2025-09-23,18:00-18:10,747.1781258831256
2025-09-23,20:00-20:10,0.0
2025-12-21,10:00-10:10,615.7816053614339
2025-12-21,12:00-12:10,277.6733712134647
2025-12-21,14:00-14:10,574.3752145207616
2025-12-21,16:00-16:10,773.6368154204455
2025-12-21,18:00-18:10,577.2065789828625
2025-12-21,20:00-20:10,0.0
