date,period,start_slot,end_slot_exclusive,emergency_kwh
2025-03-20,00:10-00:40,1,4,73.59211700730657
2025-03-20,00:50-02:10,5,13,384.4349490825416
2025-03-20,02:20-04:10,14,25,355.8941238372943
2025-03-20,04:20-05:30,26,33,225.33134960556004
2025-03-20,05:40-06:10,34,37,71.26608857573217
2025-03-20,06:20-07:00,38,42,122.20912693911816
2025-03-20,08:00-08:30,48,51,69.08917484238884
2025-03-20,09:00-10:00,54,60,116.96584318704626
2025-03-20,14:10-14:30,85,87,32.55071753384401
2025-03-20,14:50-17:40,89,106,1147.3139731569477
2025-03-20,18:00-19:20,108,116,301.7433430395761
2025-03-20,19:30-22:30,117,135,537.2630499623119
2025-03-20,22:40-23:10,136,139,35.44345313750807
2025-03-20,23:20-23:50,140,143,57.18643399920006
2025-06-21,04:00-04:10,24,25,8.73793624875168
2025-06-21,05:00-05:10,30,31,0.48000088778769623
2025-09-23,08:20-08:50,50,53,171.12321832459253
2025-09-23,09:10-09:50,55,59,124.92492413046548
2025-09-23,10:00-10:10,60,61,3.388966666666571
2025-09-23,14:20-15:20,86,92,704.6899076134106
2025-09-23,15:50-16:50,95,101,349.8503669723011
2025-09-23,17:00-17:50,102,107,202.16827120612822
2025-09-23,18:00-18:50,108,113,163.60730162090738
2025-09-23,20:10-20:20,121,122,10.234366666666688
2025-09-23,20:30-20:40,123,124,465.73316527845043
2025-09-23,20:50-21:00,125,126,37.99735262696572
2025-09-23,21:20-21:30,128,129,16.421722715863098
2025-09-23,22:20-22:30,134,135,5.8906427761094164
2025-12-21,06:30-06:40,39,40,26.280180268660274
2025-12-21,07:50-08:00,47,48,18.89776800364359
2025-12-21,15:20-15:30,92,93,69.47177843641657
2025-12-21,15:50-16:30,95,99,130.25547043349275
2025-12-21,16:40-18:00,100,108,255.04571590838043
2025-12-21,21:30-21:40,129,130,4.053693187517069
2025-12-21,22:50-23:10,137,139,19.734394020750756
2025-12-21,23:30-23:50,141,143,35.8877020736968
