series,comparable_to_final_Q2,model_seed,cost_yuan,charge_starts,discharge_starts,episodes,throughput_kwh,equivalent_full_cycles,active_slots,direction_reversals_nonidle,initial_soc,final_soc,mean_absolute_delta_kw,rms_delta_kw,p95_absolute_delta_kw,max_absolute_delta_kw,total_variation_kw,direct_reversals,power_limit_share,large_jump_share,warmup_boundary_delta_kw
q2_final,True,42,13201981.94794217,1670,2228,3898,11353818.825263,472.4205867795632,37211,2533,1421.7991105135516,1200.0,586.7405544307373,1351.855911740411,4039.932251325085,8946.988473150166,28219286.96534631,1407,0.0303559547571523,0.1313234223931801,4558.101091349261
q3_final,False,42,12826263.074326914,3523,3461,6984,11726491.269743094,487.9272716435032,39548,5693,1507.622628752613,1200.0,503.78620545305944,1218.941948157345,3400.0768587086445,9233.8628,24229597.551264893,3505,0.029441117764471,0.0987836573448383,4679.188566276498
q4_2_final,False,42,13994531.257936869,1146,2306,3452,11179601.98345794,465.1715438463272,35187,1763,1390.382746315672,1200.0,600.0547895583978,1314.0530826608424,3988.8649054866864,8241.307510779177,28859635.103811145,594,0.0330796739853626,0.1484353882940014,4741.357904305596
q4_3_final,False,42,13579870.464961823,3896,3968,7864,12593476.88442285,524.0016369111237,39696,6625,1522.7387288211346,1200.0,764.1792588839377,1629.9479298332762,4563.271956260194,9025.669783068515,36753201.456022985,4377,0.0340153027278775,0.1646948747271026,4679.188566276498
exp002_q2,True,42,15128897.452710155,4441,4441,8882,12000886.536871292,499.34437321423655,41769,8881,1421.7991105135516,1200.0,695.9397731033873,1634.6092930204018,4787.419674585026,9656.594325036876,33471223.387407415,7881,0.0605247837658017,0.1387878157812662,4827.24
exp003_q2,True,42,14988622.648176515,4405,4405,8810,12048422.623751214,501.32218378636713,41750,8809,1421.7991105135516,1252.2126616066805,694.1467993392396,1631.2178423044493,4780.138296377523,9742.01766484375,33384990.314220726,7826,0.0623336660013306,0.1386006861420106,4827.24
exp004_q2,True,42,13626145.40599084,3810,3810,7620,12003656.095365154,499.4591086391308,39986,7619,1421.7991105135516,1429.3239702092117,695.3632888573826,1633.694123587929,4742.858710730654,9707.942106862884,33443497.377595816,6640,0.0850174650698602,0.1446720033267491,4827.24
exp006_q2,True,42,14066257.477256788,2098,1693,3791,11480847.039823763,477.7054997572055,23028,2729,1421.7991105135516,1470.5928945820604,633.1435522084457,1591.6255317025284,4714.789814878349,9013.795739914454,30451039.1434652,730,0.0,0.1465848840835845,4749.014575892315
exp002_q3,False,42,14005062.775875757,4230,4230,8460,12025736.9514736,500.3785602519011,41994,8459,1507.622628752613,1200.0,703.1199269265271,1634.1188372297818,4769.836029662212,9610.990243652725,33816552.88553132,7397,0.0572812707917498,0.1394531656097307,4827.24
exp002_q4_2,False,42,15901397.201112418,4739,4739,9478,13396129.147683628,557.3988377224755,41886,9477,1390.382746315672,1200.0,1018.5431904786408,2024.7349126275003,4916.076320602215,9672.754123731222,48986834.74607022,8443,0.0630405854956753,0.222829815989188,4827.24
exp002_q4_3,False,42,14734925.124925217,4490,4490,8980,13398514.447501613,557.4983777179705,42306,8979,1522.7387288211346,1200.0,1012.0262240231732,2008.0480032504324,4906.914806425066,9581.8468,48673401.24439451,7964,0.0575307717897538,0.219440690300447,4827.24
exp001_original_q2,False,"mean(42,2026,3407)",16258308.217354594,3985,3985,7970,11517369.796159402,477.2703429906974,40991,7969,8347.718047222224,1200.0,559.3040613366798,1377.5624991740938,4522.176882164169,9032.7642,26899728.82998761,6929,0.0579673985362608,0.1140451190352427,
exp005_q2,False,42,14717882.165475884,1998,2078,4076,11513308.87090243,479.0567946954716,44410,3859,1421.7991105135516,1200.0404146115363,263.8736215400858,428.2521872092772,1000.0,1000.0000000000408,12691001.827970428,2986,0.0072771124417831,0.0,
