interval_start,interval_end,charge_power_kw,discharge_power_kw,net_battery_power_kw,delta_power_kw,soc_start_kwh,soc_end_kwh,load_kw,pv_kw
2025-02-01 00:00:00,2025-02-01 00:10:00,5000.0,0.0,5000.0,,1421.7991105135516,2212.3685255556466,2532.1822,0.0
2025-02-01 00:10:00,2025-02-01 00:20:00,5000.0,0.0,5000.0,0.0,2212.3685255556466,3002.9379405977415,2492.4439,0.0
2025-02-01 00:20:00,2025-02-01 00:30:00,5000.0,0.0,5000.0,0.0,3002.9379405977415,3793.5073556398365,2464.3,0.0
2025-02-01 00:30:00,2025-02-01 00:40:00,5000.0,0.0,5000.0,0.0,3793.5073556398365,4584.0767706819315,2581.7688,0.0
2025-02-01 00:40:00,2025-02-01 00:50:00,5000.0,0.0,5000.0,0.0,4584.0767706819315,5374.6461857240265,2546.4635,0.0
2025-02-01 00:50:00,2025-02-01 01:00:00,5000.0,0.0,5000.0,0.0,5374.6461857240265,6165.2156007661215,2436.31,0.0
2025-02-01 01:00:00,2025-02-01 01:10:00,255.97133524056312,0.0,255.97133524056312,-4744.028664759437,6165.2156007661215,6205.688222519857,2620.5011,0.0
2025-02-01 01:10:00,2025-02-01 01:20:00,5000.0,0.0,5000.0,4744.028664759437,6205.688222519857,6996.257637561952,2710.7861,0.0
2025-02-01 01:20:00,2025-02-01 01:30:00,5000.0,0.0,5000.0,0.0,6996.257637561952,7786.827052604047,2676.48,0.0
2025-02-01 01:30:00,2025-02-01 01:40:00,157.04293372507402,0.0,157.04293372507402,-4842.957066274926,7786.827052604047,7811.6577206543525,2830.598,0.0
2025-02-01 01:40:00,2025-02-01 01:50:00,337.1020765052954,0.0,337.1020765052954,180.05914278022135,7811.6577206543525,7864.958238940806,2688.1558,0.0
2025-02-01 01:50:00,2025-02-01 02:00:00,4799.601371269251,0.0,4799.601371269251,4462.499294763956,7864.958238940806,8623.841848644719,2384.42,0.0
2025-02-01 02:00:00,2025-02-01 02:10:00,5000.0,0.0,5000.0,200.3986287307489,8623.841848644719,9414.411263686814,2604.5438,0.0
2025-02-01 02:10:00,2025-02-01 02:20:00,84.29480486159923,0.0,84.29480486159923,-4915.705195138401,9414.411263686814,9427.739442600918,2943.3655,0.0
2025-02-01 02:20:00,2025-02-01 02:30:00,21.537541747401974,0.0,21.537541747401974,-62.75726311419726,9427.739442600918,9431.144826957056,3019.32,0.0
2025-02-01 02:30:00,2025-02-01 02:40:00,171.55350248916966,0.0,171.55350248916966,150.01596074176769,9431.144826957056,9458.269817379312,2844.4369,0.0
2025-02-01 02:40:00,2025-02-01 02:50:00,289.2942500751135,0.0,289.2942500751135,117.74074758594384,9458.269817379312,9504.011254590698,2768.3064,0.0
2025-02-01 02:50:00,2025-02-01 03:00:00,320.98759459660994,0.0,320.98759459660994,31.693344521496442,9504.011254590698,9554.7638495699,2861.65,0.0
2025-02-01 03:00:00,2025-02-01 03:10:00,273.5436613992671,0.0,273.5436613992671,-47.44393319734286,9554.7638495699,9598.014900046077,2900.3973,0.0
2025-02-01 03:10:00,2025-02-01 03:20:00,203.69933141505146,0.0,203.69933141505146,-69.84432998421562,9598.014900046077,9630.222592302329,2919.6115,0.0
2025-02-01 03:20:00,2025-02-01 03:30:00,47.227355907726974,0.0,47.227355907726974,-156.4719755073245,9630.222592302329,9637.68989292912,2993.09,0.0
2025-02-01 03:30:00,2025-02-01 03:40:00,0.0,116.2368477991779,-116.2368477991779,-163.46420370690487,9637.68989292912,9617.269160313357,3109.8584,0.0
2025-02-01 03:40:00,2025-02-01 03:50:00,23.352002315448544,0.0,23.352002315448544,139.58885011462644,9617.269160313357,9620.961436075475,3054.8008,0.0
2025-02-01 03:50:00,2025-02-01 04:00:00,259.8764500916874,0.0,259.8764500916874,236.52444777623884,9620.961436075475,9662.051510701915,2901.7,0.0
2025-02-01 04:00:00,2025-02-01 04:10:00,119.0703971760123,0.0,119.0703971760123,-140.80605291567508,9662.051510701915,9680.878193550769,2947.1208,0.0
2025-02-01 04:10:00,2025-02-01 04:20:00,80.22830445830334,0.0,80.22830445830334,-38.842092717708965,9680.878193550769,9693.563402295853,3027.8717,0.0
2025-02-01 04:20:00,2025-02-01 04:30:00,177.529300457683,0.0,177.529300457683,97.30099599937967,9693.563402295853,9721.633249338985,3033.47,0.0
2025-02-01 04:30:00,2025-02-01 04:40:00,322.78413129721196,0.0,322.78413129721196,145.25483083952895,9721.633249338985,9772.669901711886,3019.3858,0.0
2025-02-01 04:40:00,2025-02-01 04:50:00,178.12457380849526,0.0,178.12457380849526,-144.6595574887167,9772.669901711886,9800.833869735967,3017.0819,0.0014
2025-02-01 04:50:00,2025-02-01 05:00:00,196.96284532205755,0.0,196.96284532205755,18.83827151356229,9800.833869735967,9831.976430018223,2997.85,0.0
2025-02-01 05:00:00,2025-02-01 05:10:00,256.19118292770304,0.0,256.19118292770304,59.22833760564549,9831.976430018223,9872.483812743443,2932.7015,0.0
2025-02-01 05:10:00,2025-02-01 05:20:00,210.27940488056254,0.0,210.27940488056254,-45.9117780471405,9872.483812743443,9905.731905965808,2991.1125,0.0199
2025-02-01 05:20:00,2025-02-01 05:30:00,5000.0,0.0,5000.0,4789.720595119437,9905.731905965808,10696.301321007903,3175.34,0.0
