experiment,policy_id,label,source,role,total_cost,planned_cost,emergency_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,active_slots,simultaneous_slots,initial_soc,final_soc,scenario,days,start_date,end_date,physically_comparable,ranking_allowed,forecast_selection_limitation,comparison_note,current,previous,absolute_change,relative_change_pct,beta,adjustment_cost,emergency_kwh,overlap_intervals,max_overlap_kwh,tv_kw,total_wan,source_sha256,settlement_comparable
exp001,exp001/legacy_rebased,exp001 同口径重算,data/results/exp003/baseline/exp002_q2_costs.csv,历史对照,15842654.1906855,11613278.0321186,4229376.15856689,6276030.03677205,5648637.45020651,11924667.4869786,496.172981125354,,,,,1200.0,2,334,2025-02-01,2025-12-31,True,True,original shared four-target early stopping; later rescoring does not remove that boundary,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,15842654.1906855,-2640672.2427432965,-16.66811767119078,,,,,,,,,
exp001,exp001/original,exp001 原登记（不可比）,data/results/exp003/baseline/exp001_original_q2_costs.csv,原登记不可比,16258308.2173546,12025380.5613548,4232927.65599983,6359633.61873862,5157736.17742078,11517369.7961594,,7969.0,,0.0,8347.71804722222,1200.0,2,334,2025-02-01,2025-12-31,False,False,original shared four-target early stopping; later rescoring does not remove that boundary,incompatible single-way eta=.9 (round trip .81) and warmup initial SOC; descriptive only,13201981.947942203,16258308.2173546,,,,,,,,,,,
exp002,exp002/primary,exp002 正式风险,data/results/exp003/baseline/exp002_q2_costs.csv,当轮正式策略,15128897.4527102,11755724.512758,3373172.93995212,6316145.32618928,5684741.21068202,12000886.5368713,499.344373214237,8881.0,,0.0,1421.79911051355,1200.0,2,334,2025-02-01,2025-12-31,True,True,original shared four-target early stopping; later rescoring does not remove that boundary,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,15128897.4527102,-1926915.5047679972,-12.736655204327587,,,,,,,,,
exp002,exp002/new_deterministic,exp002 同确定性,data/results/exp003/baseline/exp002_q2_costs.csv,历史对照,15352302.2799138,11677852.8610738,3674449.41883999,6315396.677972,5684067.42728647,11999464.1052585,499.285187375916,,,,,1200.0,2,334,2025-02-01,2025-12-31,True,True,original shared four-target early stopping; later rescoring does not remove that boundary,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,15352302.2799138,-2150320.331971597,-14.006500736928368,,,,,,,,,
exp003,exp003/primary,exp003 正式,data/results/exp003/dispatch_metrics.csv,当轮正式策略,14988622.6481765,11804823.0801435,3183799.56803298,6341190.38943135,5707232.23431987,12048422.6237512,501.322183786367,8809.0,,0.0,1421.79911051355,1252.21266160668,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,14988622.6481765,-1786640.7002342977,-11.91997918802538,,,,,,,,,
exp003,exp003/uncalibrated,exp003 未校准,data/results/exp003/dispatch_metrics.csv,历史对照,15258030.0911911,11686193.3332658,3571836.7579253,6320654.21244361,5688799.20831092,12009453.4207545,499.700831971095,,,,1421.79911051355,1200.0,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,15258030.0911911,-2056048.143248897,-13.475187366656938,,,,,,,,,
exp004,exp004/no_season,exp004 无季节,data/results/exp004/dispatch_metrics.csv,同预测基线,13611587.8329135,12729841.3664886,881746.466424911,6313399.08758655,5682140.76824373,11995539.8558303,499.121605809879,7715.0,,0.0,1421.79911051355,1335.79631484864,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,13611587.8329135,-409605.8849712964,-3.0092439618311753,,,,,,,,,
exp004,exp004/causal_season,exp004 历史季节,data/results/exp004/dispatch_metrics.csv,当轮正式策略,13626145.4059908,12727957.7050103,898187.700980567,6317717.49161782,5685938.60374733,12003656.0953652,499.459108639131,7619.0,,0.0,1421.79911051355,1429.32397020921,2,334,2025-02-01,2025-12-31,True,True,,same Q2 physical and settlement convention; forecast and/or controller may differ,13201981.947942203,13626145.4059908,-424163.458048597,-3.112864609988027,,,,,,,,,
exp004,exp004/oracle_season,exp004 全年探索,data/results/exp004/dispatch_metrics.csv,含未来探索,13572926.4785818,12774482.5882529,798443.890328896,6298402.74801812,5668554.14258255,11966956.8906007,497.932091734229,7491.0,,0.0,1421.79911051355,1430.58036952087,2,334,2025-02-01,2025-12-31,True,False,,future-informed seasonal decomposition; excluded from causal ranking,13201981.947942203,13572926.4785818,,,,,,,,,,,
exp005,exp005/beta_0.01,β=0.01敏感性对照,git:8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,sensitivity,14740993.873912528,12142430.663598318,2598563.210314211,,,11622043.98963216,,,,0.0,1421.7991105135516,,2,334,2025-02-01,2025-12-31,False,False,,completed LP simulation; additional 1000 kW/10min hard ramp and emergency charging allowed; show separately as descriptive historical comparator,13201981.947942203,14740993.873912528,,,0.01,0.0,700763.4348475451,0.0,1.2867928944615414e-11,12681513.558848687,1474.0993873912528,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,True
