variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label,registry_experiment,registry_record,registry_source,registry_sha256,comparison_basis,raw_record_json,scenario,role,predictor_id,issue_hour,month,period,unit,signed_error_sum,bias,policy_label,experiment,name,order,case_id,alpha_load,alpha_pv,month_label,exploratory,label,source,forecast_reused
gru,mean,load,all,192168,35205017.479135156,12682729609.50502,887487989.598,183.199166766242,256.901021824945,3.966816215179,门控循环网络,小区负载,exp001,0,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""load"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 35205017.479135156, ""squared_error_sum"": 12682729609.50502, ""actual_abs_sum"": 887487989.598, ""mae"": 183.199166766242, ""rmse"": 256.901021824945, ""wape_pct"": 3.966816215179, ""model_label"": ""门控循环网络"", ""target_label"": ""小区负载""}",,,,,,,,,,,,,,,,,,,,,
gru,mean,price,all,192168,8251.853521949613,639.04831881046,145615.9419,0.042940830533,0.057666861168,5.666861343806,门控循环网络,电价,exp001,1,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""price"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 8251.853521949613, ""squared_error_sum"": 639.04831881046, ""actual_abs_sum"": 145615.9419, ""mae"": 0.042940830533, ""rmse"": 0.057666861168, ""wape_pct"": 5.666861343806, ""model_label"": ""门控循环网络"", ""target_label"": ""电价""}",,,,,,,,,,,,,,,,,,,,,
gru,mean,pv,all,192168,35027041.44581877,22708919562.34298,457271934.1543,182.273018638997,343.761868196959,7.660002468903,门控循环网络,光伏历史预测,exp001,2,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 35027041.44581877, ""squared_error_sum"": 22708919562.34298, ""actual_abs_sum"": 457271934.1543, ""mae"": 182.273018638997, ""rmse"": 343.761868196959, ""wape_pct"": 7.660002468903, ""model_label"": ""门控循环网络"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
gru,mean,pv,generating,107413,33296072.173097357,22638190023.8453,457271934.1543,309.98177290549,459.084285751023,7.281459824268,门控循环网络,光伏历史预测,exp001,3,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 33296072.173097357, ""squared_error_sum"": 22638190023.8453, ""actual_abs_sum"": 457271934.1543, ""mae"": 309.98177290549, ""rmse"": 459.084285751023, ""wape_pct"": 7.281459824268, ""model_label"": ""门控循环网络"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
gru,mean,pv_corrected,all,192168,30351902.27045764,17121609569.11058,457271934.1543,157.944622780367,298.49135646693,6.637604454468,门控循环网络,光伏预报修正,exp001,4,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 30351902.27045764, ""squared_error_sum"": 17121609569.11058, ""actual_abs_sum"": 457271934.1543, ""mae"": 157.944622780367, ""rmse"": 298.49135646693, ""wape_pct"": 6.637604454468, ""model_label"": ""门控循环网络"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
gru,mean,pv_corrected,generating,107413,28352884.77951688,16980824567.761862,457271934.1543,263.961389957611,397.604200992243,6.200442813521,门控循环网络,光伏预报修正,exp001,5,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru"", ""seed"": ""mean"", ""target"": ""pv_corrected"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 28352884.77951688, ""squared_error_sum"": 16980824567.761862, ""actual_abs_sum"": 457271934.1543, ""mae"": 263.961389957611, ""rmse"": 397.604200992243, ""wape_pct"": 6.200442813521, ""model_label"": ""门控循环网络"", ""target_label"": ""光伏预报修正""}",,,,,,,,,,,,,,,,,,,,,
gru_no_calendar,mean,load,all,192168,36330743.45908145,14140161265.246819,887487989.598,189.057197135223,271.260555101243,4.093660295678,移除日历特征,小区负载,exp001,6,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""load"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 36330743.45908145, ""squared_error_sum"": 14140161265.246819, ""actual_abs_sum"": 887487989.598, ""mae"": 189.057197135223, ""rmse"": 271.260555101243, ""wape_pct"": 4.093660295678, ""model_label"": ""移除日历特征"", ""target_label"": ""小区负载""}",,,,,,,,,,,,,,,,,,,,,
gru_no_calendar,mean,price,all,192168,8918.771079332495,763.806692762927,145615.9419,0.046411322797,0.0630450792,6.124858970083,移除日历特征,电价,exp001,7,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""price"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 8918.771079332495, ""squared_error_sum"": 763.806692762927, ""actual_abs_sum"": 145615.9419, ""mae"": 0.046411322797, ""rmse"": 0.0630450792, ""wape_pct"": 6.124858970083, ""model_label"": ""移除日历特征"", ""target_label"": ""电价""}",,,,,,,,,,,,,,,,,,,,,
gru_no_calendar,mean,pv,all,192168,33775107.96149223,22613447458.300198,457271934.1543,175.758232179615,343.038490840639,7.38621932351,移除日历特征,光伏历史预测,exp001,8,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""all"", ""n"": 192168, ""absolute_error_sum"": 33775107.96149223, ""squared_error_sum"": 22613447458.300198, ""actual_abs_sum"": 457271934.1543, ""mae"": 175.758232179615, ""rmse"": 343.038490840639, ""wape_pct"": 7.38621932351, ""model_label"": ""移除日历特征"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
gru_no_calendar,mean,pv,generating,107413,32892074.28594127,22591742754.373775,457271934.1543,306.220609106358,458.613087301249,7.193110232486,移除日历特征,光伏历史预测,exp001,9,reports/registry/exp001.json,03dcdf0382c96acd2120ab8fbdf2f95c2e33e4353b526a7125345f94017bcd79,original registry; preserve original protocol and population,"{""variant"": ""gru_no_calendar"", ""seed"": ""mean"", ""target"": ""pv"", ""population"": ""generating"", ""n"": 107413, ""absolute_error_sum"": 32892074.28594127, ""squared_error_sum"": 22591742754.373775, ""actual_abs_sum"": 457271934.1543, ""mae"": 306.220609106358, ""rmse"": 458.613087301249, ""wape_pct"": 7.193110232486, ""model_label"": ""移除日历特征"", ""target_label"": ""光伏历史预测""}",,,,,,,,,,,,,,,,,,,,,
