model,model_id,role,seed,issue_hour,evaluation_start,evaluation_end,forecast_source,target,population,lead_slot,lead_start_exclusive_minutes,lead_end_inclusive_minutes,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,1,0,10,334,139.3250468520946,186.44553434025795,4.039390452070777,3.2864775395899137,46534.56564859959,11610487.04999172,1097.6834982230312,1152019.4989999998,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,2,10,20,334,135.0402239088834,179.48181542219965,3.9209153070086247,1.8539326472776483,45103.43478556706,10759383.170461014,619.2135041907345,1150329.2281,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,3,20,30,334,141.62395855291447,183.12087708813377,4.1074314167963655,-3.412195844467948,47302.40215667344,11200107.37892615,-1139.6734120522947,1151629.75,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,4,30,40,334,117.70304494815119,155.49866193545333,3.4019113636092286,-10.196914071760794,39312.8170126825,8076064.510481279,-3405.7692999681053,1155609.6796999997,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,5,40,50,334,130.3394426951494,175.29589262134212,3.762923032769128,-11.575736698952365,43533.3738601799,10263369.089950979,-3866.29605745009,1156903.1171,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,6,50,60,334,150.57014484534827,199.55164895710203,4.353006705645956,-6.368159057457022,50290.428378346325,13300167.440900492,-2126.9651251906453,1155303.26,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,7,60,70,334,140.39284562045557,188.93550594248964,4.0586727187381175,-3.9711828684529884,46891.21043723216,11922672.885518678,-1326.3750780632981,1155333.6198,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,8,70,80,334,134.38491857837928,175.21226059832193,3.8859112724167955,-4.4707712105986674,44884.56280517868,10253578.31216741,-1493.237584339955,1155058.8693,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,9,80,90,334,138.55868781373195,188.08331419900577,4.004442688713417,-7.0152406260072295,46278.601729786475,11815361.248747364,-2343.0903690864147,1155681.46,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,10,90,100,334,124.0949629504923,170.2308056888675,3.5707279924259385,-8.10663890450083,41447.71762546443,9678828.08663064,-2707.617394103277,1160763.7914,
