model,model_id,role,seed,issue_hour,evaluation_start,evaluation_end,forecast_source,target,population,month,days,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,2,28,4032,123.82365878119876,156.76824848251402,2.741343709935,-9.179935414455919,499256.9922057934,99091576.00853387,-37013.49959108626,18212126.7901,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,3,31,4464,114.22562339245654,145.12741569229274,2.622440703843097,-17.89320078606758,509903.182823926,94020619.73057705,-79875.24830900568,19443840.3155,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,4,30,4320,97.18206783118022,122.57397017154592,2.212214456770538,-5.540539462238414,419826.53303069854,64905313.66681693,-23935.13047686995,18977659.7719,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,5,31,4464,125.37949000491552,165.40686979791946,2.848447729467346,-6.237220316459112,559694.0433819429,122132507.02080801,-27842.951492673477,19649089.487999998,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,6,30,4320,178.0363645541472,230.4577295435282,3.7088030096270193,10.458060574283367,769117.094873916,229438505.2594665,45178.82168090415,20737609.7592,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,7,31,4464,215.89172042188463,279.3606629780401,4.044992651355235,-0.25286382516283556,963740.639963293,348381184.40718246,-1128.784115526898,23825522.6407,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,8,31,4464,157.6793834441794,197.84080930269536,3.1253488603274593,20.935562388540355,703880.7676948168,174725360.725235,93456.35050244414,22521670.3527,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,9,30,4320,167.89692422865915,223.84263586535465,3.7015043995065375,-24.214903869331547,725314.7126678075,216455870.72656694,-104608.38471551228,19595133.0698,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,10,31,4464,101.29255555336181,130.09758034043045,2.3301610622030045,-1.1703462691567552,452169.96799020714,75554898.15218076,-5224.425745515755,19405095.0093,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,load,all,11,30,4320,96.13971282933807,119.77983514583987,2.2163899739131847,-1.872500093921321,415323.5594227404,61979942.48067897,-8089.200405740106,18738740.217699997,
