model,stage,model_id,target,population,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,raw,hgb_extra_trees_half_raw,load,all,48096,151.50436373318968,210.15247782387488,3.281604980442233,11.786965281956197,7286753.878111491,2124114819.0424924,566905.8822009653,222048476.9355,
final_blend,raw,hgb_extra_trees_half_raw,load,pv_generating,26880,149.6586343517803,205.42886137713998,2.8169689808954472,4.617728559501302,4022824.091375855,1134363339.2907162,124124.54367939499,142806829.5625,
final_blend,raw,hgb_extra_trees_half_raw,pv,all,48096,176.31148673957716,360.6332332381315,7.411615873436513,-30.883225815044167,8479877.266226703,6255189195.533765,-1485359.6288003642,114413339.9657,
final_blend,raw,hgb_extra_trees_half_raw,pv,pv_generating,26880,312.82483474030374,482.3553278922098,7.349432819931853,-57.905704509215205,8408731.557819365,6254079883.860514,-1556505.3372077048,114413339.9657,
final_blend,raw,hgb_extra_trees_half_raw,net_load,all,48096,278.2480075205238,422.96096708223155,9.272038259223516,42.67019109700036,13382616.169707114,8604181038.455366,2052265.5110013294,144333055.96420002,
final_blend,raw,hgb_extra_trees_half_raw,net_load,pv_generating,26880,376.64038512292325,532.2859741676582,15.553655653217648,62.52343306871651,10124093.552104177,7615866270.986074,1680629.8808870998,65091408.59120001,
final_blend,ridge28,hgb_extra_trees_half_ridge28,load,all,48096,144.655685128509,195.52527049975657,3.133261676891268,-7.211324230558272,6957359.831940768,1838716400.0069273,-346835.85019293067,222048476.9355,
final_blend,ridge28,hgb_extra_trees_half_ridge28,load,pv_generating,26880,142.80701532810497,192.05869990666406,2.6880034965971,-7.717691051094586,3838652.5720194615,991510308.3604467,-207451.53545342246,142806829.5625,
final_blend,ridge28,hgb_extra_trees_half_ridge28,pv,all,48096,153.25935231883813,307.0503899088877,6.44257200369873,6.179810385627388,7371161.809126838,4534488087.700146,297224.16030713485,114413339.9657,
final_blend,ridge28,hgb_extra_trees_half_ridge28,pv,pv_generating,26880,272.3276284410447,410.62933761117824,6.398001015169905,9.160305196264035,7320166.652495281,4532410254.140026,246229.0036755773,114413339.9657,
final_blend,ridge28,hgb_extra_trees_half_ridge28,net_load,all,48096,248.53576227685943,362.9159007179668,8.281939256820532,-13.39113461618566,11953576.022467831,6334625611.004208,-644060.0105000655,144333055.96420002,
final_blend,ridge28,hgb_extra_trees_half_ridge28,net_load,pv_generating,26880,328.54809917054536,451.7580653261468,13.567647554178466,-16.877996247358624,8831372.90570426,5485814196.904556,-453680.5391289998,65091408.59120001,
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,load,all,48096,136.9730927360006,182.98698621729875,2.9668556880686503,-3.5806242718477694,6587857.868230686,1610457868.7587035,-172213.7049787903,222048476.9355,
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,load,pv_generating,26880,136.42428403234365,181.23777819084373,2.567863712137439,-4.619226830770573,3667084.7547893976,882930914.7067173,-124164.817211113,142806829.5625,
