family,month,channel,train_first_day,train_last_day,validation_first_day,validation_last_day,formal_first_day,formal_last_day,training_rows,validation_rows,iterations,trees,training_seconds,model_source,model_sha256
HGB,2,load,7,23,24,30,31,58,2448,1008,99.0,,0.3960789169650525,data/results/exp008/forecast_absolute_hgb/models/month02_load_seed42.joblib,4bcded17aaf0f67d80d240220eb82cc04118ec1847a4e5138e8f7bf17b4f3d79
HGB,2,pv,7,23,24,30,31,58,2448,1008,91.0,,0.3666613339446485,data/results/exp008/forecast_absolute_hgb/models/month02_pv_seed42.joblib,a807317745e557946e7484a202028106900bf3e263c8e194e73ac417507a18da
HGB,3,load,7,51,52,58,59,89,6480,1008,100.0,,0.650553458952345,data/results/exp008/forecast_absolute_hgb/models/month03_load_seed42.joblib,2e5930dae33a3b79ffa98c831dcc072857a976dda097ced498d9ce81ef1b572d
HGB,3,pv,7,51,52,58,59,89,6480,1008,100.0,,0.6078681249637157,data/results/exp008/forecast_absolute_hgb/models/month03_pv_seed42.joblib,ac352acf214b73e055065c56a04c47b2187cd94f581f1bed61daa7ab9fd8ef47
HGB,4,load,7,82,83,89,90,119,10944,1008,70.0,,0.8466308329952881,data/results/exp008/forecast_absolute_hgb/models/month04_load_seed42.joblib,62d33b3094a7790c42865ccf7f3084a59b1085ea2d6bb4c282fa8fd2782e6ee5
HGB,4,pv,7,82,83,89,90,119,10944,1008,100.0,,0.8791649580234662,data/results/exp008/forecast_absolute_hgb/models/month04_pv_seed42.joblib,5d70862a385ff961063a7757c6b705c01db08de5a99cd56e3f7af90bcfca4329
HGB,5,load,7,112,113,119,120,150,15264,1008,98.0,,1.1663177920272574,data/results/exp008/forecast_absolute_hgb/models/month05_load_seed42.joblib,abc9541b9ea4969bc01606ad99c0960e9334bb0276c470149ad0f3dbb9f7a247
HGB,5,pv,7,112,113,119,120,150,15264,1008,75.0,,1.0715330829843879,data/results/exp008/forecast_absolute_hgb/models/month05_pv_seed42.joblib,bbab7a02610ae0dcaf4026b1298187e2fdedd0e3aeda0b5ae43378183244b46e
HGB,6,load,7,143,144,150,151,180,19728,1008,100.0,,1.414121666108258,data/results/exp008/forecast_absolute_hgb/models/month06_load_seed42.joblib,4e1a3f841254e3d77a32d090b41526fcdaa6361fc57da2af3e3d46acae7a5695
HGB,6,pv,7,143,144,150,151,180,19728,1008,73.0,,1.3083505410468206,data/results/exp008/forecast_absolute_hgb/models/month06_pv_seed42.joblib,fbebaf7a5584fb18bb674cc5b3ec5c02601dabdac89140905071c47095801a6e
