scenario,month,planned_cost_yuan,up_adjustment_cost_yuan,down_adjustment_cost_yuan,emergency_cost_yuan,adjustment_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh
2,2025-02,1143712.267670553,0.0,0.0,14026.370074412034,0.0,1157738.637744965,1880408.4147377932,1880408.4147377932,2807.576155815472,559218.3330166896,502485.2473564653
2,2025-03,1049603.553569615,0.0,0.0,66736.98826032395,0.0,1116340.5418299388,1763748.4683054846,1763748.4683054846,12002.6475295525,555455.2054565336,499368.3390565053
2,2025-04,880099.3539396554,0.0,0.0,53700.93512079475,0.0,933800.2890604502,1509958.042538044,1509958.042538044,9066.490043973263,501667.7924146782,452715.9948135769
2,2025-05,891625.2201092896,0.0,0.0,28835.798549614537,0.0,920461.0186589042,1483306.8425542032,1483306.8425542032,5773.270011490004,480513.39755147294,431107.72474895004
2,2025-06,1225681.8092511115,0.0,0.0,154967.20437702644,0.0,1380649.013628138,1945943.6926620663,1945943.6926620663,27177.048478774006,502503.9188008536,451823.0779691419
2,2025-07,1383328.1070584117,0.0,0.0,55544.047735251275,0.0,1438872.154793663,2168705.9593164814,2168705.9593164814,11499.538169923642,519983.41429605224,468030.47349641187
2,2025-08,1190868.770700739,0.0,0.0,48614.14399867987,0.0,1239482.914699419,1881933.984257479,1881933.984257479,8455.608256387268,508846.514650316,458678.0256667346
2,2025-09,1035637.085458827,0.0,0.0,76396.00999093977,0.0,1112033.0954497666,1668097.8322628029,1668097.8322628029,13991.217503274029,503804.11042053736,452125.630012689
2,2025-10,1067197.7565228334,0.0,0.0,12788.936285237174,0.0,1079986.6928080705,1751154.5945895333,1751154.5945895333,2402.059842389588,551439.9758910626,497641.5361476548
2,2025-11,1196639.1945018584,0.0,0.0,13907.36826274041,0.0,1210546.562764599,1947284.2176744835,1947284.2176744835,2716.954552498989,597591.6394800612,539156.2396239686
2,2025-12,1570541.0871210361,0.0,0.0,41529.93938321742,0.0,1612071.0265042535,2523166.2382171005,2523166.2382171005,9361.522220778379,694559.0707329712,625103.163659674
3,2025-02,1059987.6173190468,76436.83347899868,0.0,21538.119600998714,76436.83347899868,1157962.570399044,1766285.7938934965,1831725.77467238,4362.5658839844955,573516.9845960829,516064.8519474822
3,2025-03,974863.7058011421,77218.98019030193,0.0,4576.99304157223,77218.98019030193,1056659.6790330163,1649869.973555053,1726374.643428235,1044.3547211453028,577884.6350372705,519930.84067552607
3,2025-04,810817.9505775305,57377.7080502682,0.0,11493.619575129025,57377.7080502682,879689.2782029278,1395084.5052157692,1449841.1067794706,2443.786225897095,510089.8722655525,459638.4865360071
3,2025-05,816252.9109926119,58646.83854903512,0.0,31368.586806303174,58646.83854903512,906268.3363479502,1377329.6455482512,1431583.6897195373,6005.313240452096,484632.1824376609,435364.4093736685
3,2025-06,1092093.9795207628,123233.83596435614,0.0,25209.480726305537,123233.83596435614,1240537.2962114243,1775399.4373273614,1892360.4111935915,5468.523283503145,544935.4813158113,490418.27850030374
3,2025-07,1255782.8681867484,152092.15094731312,0.0,16854.88642755175,152092.15094731312,1424729.9055616134,2016009.4723239029,2140299.4260570286,3652.3408115495727,538735.3283453668,484916.89830062015
3,2025-08,1103251.123827074,88637.90425582264,0.0,27504.11559294005,88637.90425582264,1219393.1436758367,1767272.192920478,1847023.2113664148,4990.821327522559,517910.75992148207,466093.7736980717
3,2025-09,948925.9347729724,90535.5135128865,0.0,22800.228307621932,90535.5135128865,1062261.6765934809,1553169.628198749,1627426.1279487289,4875.395966537971,524118.738358656,471667.42763728596
3,2025-10,966369.749553999,98315.62813486754,0.0,7830.909971945037,98315.62813486754,1072516.2876608116,1610785.6379365292,1703713.9589056657,1293.5536634924918,572120.9687067054,514915.7414803759
3,2025-11,1116361.6915048852,94135.82872017953,0.0,4148.683601058431,94135.82872017953,1214646.2038261232,1839306.6040728635,1927711.025334586,827.4941175335291,608777.1553045053,548595.8571784153
