scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,updated_issued,load,next_6h,all,annual,all,kW,48096,139.60788155843318,184.08523698665627,3.0239255698136738,-0.8941561751957067
3,updated_issued,pv,next_6h,all,annual,all,kW,48096,91.24038741285842,171.73551060980412,3.835477291655333,4.371019132720028
3,updated_issued,pv,next_6h,pv_generating,annual,all,kW,26880,158.24518096381613,227.59508927690015,3.717774925181429,2.811061291139896
3,updated_issued,net_load,next_6h,all,annual,all,kW,48096,187.21210908110106,251.80106564114342,6.238455590241228,-5.265175307915737
3,updated_issued,load,next_6h,all,monthly,2,kW,4032,130.07385185755507,163.84124692669934,2.8797173264506046,-2.3265892592637063
3,updated_issued,pv,next_6h,all,monthly,2,kW,4032,77.93560126263978,145.0448225766499,3.9632026526650166,13.508427309908994
3,updated_issued,pv,next_6h,pv_generating,monthly,2,kW,2036,144.04054062546714,198.35963342369007,3.6987278944960207,16.451952522613254
3,updated_issued,net_load,next_6h,all,monthly,2,kW,4032,161.50328136568766,211.51971969737698,5.449472869466397,-15.835016569172701
3,updated_issued,load,next_6h,all,monthly,3,kW,4464,115.64437828268677,147.52203421315647,2.655013085261695,-12.473855611194685
3,updated_issued,pv,next_6h,all,monthly,3,kW,4464,84.18899058401605,159.49936574856085,3.6537240312421186,11.077202711490882
3,updated_issued,pv,next_6h,pv_generating,monthly,3,kW,2426,151.75222727450202,215.35081590399324,3.5791683286390503,17.221715706920644
3,updated_issued,net_load,next_6h,all,monthly,3,kW,4464,162.04194271947628,219.55386197548884,5.758273866512777,-23.55105832268556
3,updated_issued,load,next_6h,all,monthly,4,kW,4320,101.99758462536055,129.55188367549295,2.321832991410209,-0.26206225273214295
3,updated_issued,pv,next_6h,all,monthly,4,kW,4320,106.59068397536474,186.65447792485438,3.945339918569493,2.8709626152903933
3,updated_issued,pv,next_6h,pv_generating,monthly,4,kW,2526,173.3183521444498,240.1471926380601,3.751105926869582,-4.064544243325796
3,updated_issued,net_load,next_6h,all,monthly,4,kW,4320,167.14130110106123,230.1240976284373,5.996183913561241,-3.1330248680225363
3,updated_issued,load,next_6h,all,monthly,5,kW,4464,127.01895650636565,166.0634174409675,2.885694129444011,-1.7866298332894204
3,updated_issued,pv,next_6h,all,monthly,5,kW,4464,105.40417697803275,185.83244257394335,3.7557130579185722,-8.797119324117135
3,updated_issued,pv,next_6h,pv_generating,monthly,5,kW,2747,168.7845466919846,236.09672712434994,3.7008521711176976,-16.79775643608133
3,updated_issued,net_load,next_6h,all,monthly,5,kW,4464,190.47416909566206,251.54609677150168,6.896095765080396,7.010489490827714
3,updated_issued,load,next_6h,all,monthly,6,kW,4320,167.72856475703367,217.47678352537733,3.4940738501886925,3.5307059652473542
3,updated_issued,pv,next_6h,all,monthly,6,kW,4320,103.64052728470787,189.70755425419347,4.373338066262557,4.419585761074734
3,updated_issued,pv,next_6h,pv_generating,monthly,6,kW,2765,161.3356898687799,237.05660211980268,4.357378395233238,6.314182678148717
3,updated_issued,net_load,next_6h,all,monthly,6,kW,4320,218.015590967061,286.6506673494151,7.5270296116119075,-0.8888797958273867
