family,level,replicate_id,day,total_cost_yuan
baseline,0.0,-1,31,24437.424633255032
baseline,0.0,-1,32,55844.72546799595
baseline,0.0,-1,33,52276.754136715375
baseline,0.0,-1,34,55824.39490059545
baseline,0.0,-1,35,53970.48358545001
baseline,0.0,-1,36,54295.80962910949
baseline,0.0,-1,37,20372.80321968737
baseline,0.0,-1,38,19970.132177312647
baseline,0.0,-1,39,52625.60843582495
baseline,0.0,-1,40,53490.564359183525
baseline,0.0,-1,41,51323.2978373141
baseline,0.0,-1,42,51416.1796515788
baseline,0.0,-1,43,50577.42078897583
baseline,0.0,-1,44,18503.2632669198
baseline,0.0,-1,45,18524.351733511918
baseline,0.0,-1,46,49003.64392655407
baseline,0.0,-1,47,49420.88493924917
baseline,0.0,-1,48,47848.96801196986
baseline,0.0,-1,49,48187.345964186214
baseline,0.0,-1,50,47616.75450646251
baseline,0.0,-1,51,17488.717598912466
baseline,0.0,-1,52,18019.602748657016
baseline,0.0,-1,53,47076.48207109234
baseline,0.0,-1,54,46630.61974361864
baseline,0.0,-1,55,45559.97047634816
baseline,0.0,-1,56,45649.59730795657
baseline,0.0,-1,57,44416.63087828196
baseline,0.0,-1,58,17366.205748245673
baseline,0.0,-1,59,17528.944531520803
baseline,0.0,-1,60,68029.13917930328
baseline,0.0,-1,61,58941.77667453263
baseline,0.0,-1,62,45839.19472753089
baseline,0.0,-1,63,45535.87967388051
baseline,0.0,-1,64,43660.33131603472
baseline,0.0,-1,65,16398.931344103592
baseline,0.0,-1,66,16171.816306779849
baseline,0.0,-1,67,43209.08599920236
baseline,0.0,-1,68,50745.21841406811
baseline,0.0,-1,69,43797.62125212993
baseline,0.0,-1,70,41948.88594230139
baseline,0.0,-1,71,51781.09637356228
baseline,0.0,-1,72,15728.14879505083
baseline,0.0,-1,73,16082.245203270131
baseline,0.0,-1,74,41888.12757772981
baseline,0.0,-1,75,43279.33094193374
baseline,0.0,-1,76,41837.8242032869
baseline,0.0,-1,77,39745.975714856235
baseline,0.0,-1,78,39746.32829607265
baseline,0.0,-1,79,15095.661179411636
baseline,0.0,-1,80,15272.6329108197
baseline,0.0,-1,81,39716.25431954785
baseline,0.0,-1,82,39442.45524303817
baseline,0.0,-1,83,40071.26877452082
baseline,0.0,-1,84,39881.4482867599
baseline,0.0,-1,85,39011.11086199389
baseline,0.0,-1,86,14499.407908739193
baseline,0.0,-1,87,14240.69917060589
baseline,0.0,-1,88,39224.128832733695
baseline,0.0,-1,89,37989.57187461744
baseline,0.0,-1,90,54642.098289647925
baseline,0.0,-1,91,45106.59021283079
baseline,0.0,-1,92,39005.35471817998
baseline,0.0,-1,93,13911.733117186934
baseline,0.0,-1,94,14970.369740183087
baseline,0.0,-1,95,37556.6536695103
baseline,0.0,-1,96,36650.142119502045
baseline,0.0,-1,97,37013.50954055009
baseline,0.0,-1,98,37467.811829000464
baseline,0.0,-1,99,37277.6307180622
baseline,0.0,-1,100,13607.407350342794
baseline,0.0,-1,101,13111.577926408452
baseline,0.0,-1,102,35698.25852027805
baseline,0.0,-1,103,34920.5374154328
baseline,0.0,-1,104,35910.212068518274
baseline,0.0,-1,105,35327.31680279301
