family,level,replicate_id,n_days,total_cost_yuan,cost_change_pct,emergency_cost_yuan,emergency_kwh,peak_emergency_kw,throughput_kwh,reversals,final_soc_kwh,balance_error_kwh,soc_error_kwh,simultaneous_slots,emergency_charge_slots,min_soc_kwh,max_soc_kwh,max_power_kw,physics_passed
baseline,0.0,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,-0.1,-1,334,12655027.45357511,-4.142972597022155,20093.247671181336,4017.354471010163,4532.1810637720555,9045648.60665314,2339,2618.37838704566,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,-0.05,-1,334,12726449.629285784,-3.6019767375193523,91515.42338185571,17919.842773970104,5021.041112056286,10119361.43154641,2473,2101.4669057091974,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,-0.02,-1,334,12880228.415342554,-2.4371608283388357,245294.20943862572,46600.27690855028,5184.273212056285,10862737.702605747,2513,1568.2797536558217,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,0.0,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,0.02,-1,334,14287308.207094323,8.220934276624515,1652374.0011903942,311335.83642877504,5401.916012056285,11604663.5851323,2541,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,0.05,-1,334,18184545.402468182,37.74102611390606,5549611.196564253,1032149.0555404989,5678.683341471442,11255684.046031516,2543,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
load_bias,0.1,-1,334,26254142.52432487,98.8651600028675,13619208.318420943,2564556.4844650486,5981.738841471442,10331613.721338758,2491,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,-0.1,-1,334,17172879.627882645,30.07804203640374,4537945.421978716,763758.2937383639,5375.627841471442,11252897.809497684,2563,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,-0.05,-1,334,14270454.71703517,8.093275489287821,1635520.511131242,286040.76529790525,5293.094612056285,11554726.121404067,2557,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,-0.02,-1,334,13453178.734482966,1.902720269814906,818244.5285790376,148328.79426964576,5293.094612056285,11483202.691596992,2547,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,0.0,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,0.02,-1,334,13035809.498394666,-1.2586932038139986,400875.2924907375,77089.13686781494,5293.094612056285,11208388.031937666,2517,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
pv_bias,0.05,-1,334,12896976.682685582,-2.310299063120036,262042.47678165324,53039.80745369773,5293.094612056285,10978332.564010944,2489,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
