fold_month,validation_days,test_days,train_start,train_end,validation_start,validation_end,test_start,test_end,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct_vs_val7,mae_kw_change_pct_vs_val7,daily_energy_rmse_kwh_change_pct_vs_val7,cumulative_error_rmse_kwh_change_pct_vs_val7
4,7,7,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-07,load,1008,7,2.297943520880584,15921138.463200752,100980.45765616791,4394383.7931,125.67728602030407,100.17902545254753,-10.724230498007774,124.71534864068181,126.35921619957101,0.7248873578270926,684.4210067642182,551.4974171465041,462.27845953818957,813.2501987849759,14981.530022644338,2099.064884397458,0.0,0.0,0.0,0.0
4,7,7,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-07,pv,1008,7,7.740101252470827,160712701.77077794,199584.02277648548,2578571.2133,399.2958854504721,198.0000225957197,44.09537809463162,394.6757796165477,338.95343589981513,28.380214173335354,3664.150516925,3170.339701288395,2553.8120705066094,23309.026060211367,136128.17807746519,3099.898996681431,0.0,0.0,0.0,0.0
4,7,7,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-07,net,1008,7,9.342918180837191,182947565.56873733,262764.439061643,2812445.0409999997,426.0230049687883,260.6790070055982,-54.81960859263941,424.15521928976625,371.2923445068311,-27.655326815508264,4130.428288574013,3599.749000553767,2849.8615001274507,29618.815706688278,151876.78505594793,5465.493893351406,0.0,0.0,0.0,0.0
4,7,14,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-14,load,2016,14,2.2719680667629025,31245582.306549743,199663.79167966117,8788142.5184,124.49417957196432,99.03957920618113,-10.705366348253854,123.8656834562418,125.3386714625624,-7.459845995418651,550.6400772298352,403.9867349552511,386.35941085096465,526.3966921036093,14972.404055192888,4552.243005100922,0.0,0.0,0.0,0.0
4,7,14,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-14,pv,2016,14,6.788327565942822,243156322.4145532,355556.56912853976,5237763.8774,347.2941910915715,176.3673457978868,26.122981440435876,343.21918683231854,284.74368791700124,15.373337529089609,2927.358601047108,2391.1351859856754,2028.6512882068307,14877.479824868891,105735.77534108014,5581.304013291883,0.0,0.0,0.0,0.0
4,7,14,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-14,net,2016,14,8.51488771611552,284786259.51436853,480012.40415458125,5637330.992000001,375.8497379974638,238.10139094969307,-36.82834778868973,371.9965646412372,312.52702501355657,-22.833183524508254,3190.8489539453662,2500.877726741436,2205.168212811853,17676.24487308027,123586.78067968188,9505.37947919285,0.0,0.0,0.0,0.0
4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.254498468910342,61651846.617117345,396071.3266288041,17568045.9353,123.65531352022465,98.23197585039784,-5.801852591002998,122.99570458832707,119.23960020027984,-1.0300043696827053,531.6171694492624,409.40543296399056,369.8009497410988,490.6541924535517,14799.982369331503,8109.7662322263905,0.0,0.0,0.0,0.0
4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.534634066061506,476618657.0880972,708080.4499238427,10835808.7502,343.8153462737774,175.615190953334,12.265980423241892,340.47948858436206,301.1528546234009,16.39929265463601,3009.5849248877853,2302.3763410520723,2091.028348298845,15725.002465471904,102483.98986788555,11989.856393867974,0.0,0.0,0.0,0.0
4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.390034848334263,551199428.8093786,942426.8313070463,11232692.6925,369.7380255559449,233.73681332019999,-18.067833014244886,366.47347713166255,326.8305865627995,-17.429297024318714,3117.4885357988846,2313.994383028057,2180.8215895455314,16872.80342159284,119833.40412041573,19315.613078113347,0.0,0.0,0.0,0.0
4,14,7,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-07,load,1008,7,2.318989435757979,16110437.674283234,101905.29592864976,4394383.7931,126.42221742170427,101.09652373873985,-9.032963275387502,125.20492420978881,124.86701918951798,1.5642597789041146,615.8762314049452,508.0182226572694,422.20043225070384,658.5130770999264,15324.063980720743,2055.0039442719035,0.5927335201047157,0.9158586660706902,-10.015001684903947,-8.6696722420342
