validation_days,test_days_per_fold,folds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
7,7,3,load,3024,21,3.5003700880607616,162292699.20204517,496145.05825033394,14174074.3341,231.66402533754987,164.06913301929032,-61.88679019497327,235.527449870225,249.98303329383202,-34.931253775944825,3917.6963605361716,2078.3142078735727,2218.6521341061907,26646.4318981916,27021.78873740533,13812.568493206323
7,7,3,pv,3024,21,8.337316517487162,551080452.857969,662695.6439228456,7948548.463199999,426.89061771145674,219.1453848951209,-81.79085999703248,424.0306182857138,379.84317898630553,-78.81989420003134,5268.933629377231,4309.661765096894,3553.2869489997356,48197.32915066375,134038.27033940534,17667.697044084776
7,7,3,net,3024,21,9.975038608190173,610027096.482577,908784.8950809855,9110590.2521,449.1420011495467,300.5241055161989,19.904069802059233,450.35714685891867,432.7634156511933,43.88864042408652,5286.123941204303,4437.319699965234,3347.1143852561663,48512.33736418979,153216.19983242956,16272.313532140683
7,14,3,load,6048,42,3.2797436735965686,281342894.84206307,928902.0200893357,28322396.886299998,215.68109742714626,153.5882969724431,-21.431521685364995,217.90241548661885,228.6343940494463,-14.074226707888565,3068.8550502888565,1593.3047500535395,1736.404443464836,16350.471041117053,30167.8647462611,22933.851535407623
7,14,3,pv,6048,42,7.119796748436609,830726979.3106103,1133991.7097984636,15927304.5266,370.6152335523191,187.49862926561897,-38.351153378264854,364.63100741560595,309.9777442133397,-33.09494508780152,4135.611442603522,3154.9191112858366,2802.358218299077,29693.197923946504,107662.45341709355,24206.42425495585
7,14,3,net,6048,42,9.1760662552273,1009330791.6248794,1674279.5765961572,18246158.3213,408.51769235178926,276.83194057476146,16.91963169289987,404.1420780264243,369.5892811301458,19.02071837991296,4219.2112732422875,3333.1226889532822,2688.4216584578153,30905.80515322015,135980.89981121095,30455.165125338128
7,28,3,load,12096,84,3.0081025220895006,460888624.4338331,1698836.9992784332,56475369.001,195.19878291290817,140.4461804959022,-3.03730898033301,196.81702027822638,202.37548818413748,4.267818478072956,2366.556189931715,1204.8197446398253,1347.2512328033288,9723.243402958531,28379.321447722123,36117.392432548
7,28,3,pv,12096,84,6.563594372514721,1376791442.7868013,2068887.3397703879,31520645.889300004,337.37522713024435,171.03896658154662,-4.500784908722024,333.57611474110445,297.1308032545383,3.867645563102846,3406.9160686821124,2503.645312935196,2323.3110029115824,20151.175519174274,93670.86836200973,38281.14648589154
7,28,3,net,12096,84,8.535883837469662,1743589475.2626495,3098793.7500251965,36303138.714499995,379.6655835023563,256.18334573621,1.4634759283890113,377.6164119187623,351.035701192672,0.40017291497011326,3485.363674770292,2570.77266639323,2270.529766299755,21089.86101633381,123056.09427985083,61446.91857908268
14,7,3,load,3024,21,3.53109248207641,164866772.94708952,500499.67321532714,14174074.3341,233.49397315214833,165.5091511955447,-60.16993636112011,236.68054879941587,249.5984072406608,-35.03273819009327,3879.605206640457,2060.406731716652,2201.1154802845604,26130.792637832885,28388.642860543285,13728.290803693171
