name,family,parameter,value,default,fold_month,validation_days,test_days,train_start,train_end,validation_start,validation_end,test_start,test_end,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct_vs_val7,mae_kw_change_pct_vs_val7,daily_energy_rmse_kwh_change_pct_vs_val7,cumulative_error_rmse_kwh_change_pct_vs_val7,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
baseline,baseline,baseline,0.0,0.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.254498468910342,61651846.617117345,396071.3266288041,17568045.9353,123.65531352022464,98.23197585039784,-5.801852591002998,122.99570458832709,119.23960020027984,-1.0300043696827053,531.6171694492624,409.40543296399056,369.8009497410988,490.6541924535517,14799.982369331505,8109.7662322263905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.534634066061506,476618657.0880972,708080.4499238427,10835808.7502,343.8153462737774,175.615190953334,12.265980423241892,340.47948858436206,301.1528546234009,16.39929265463601,3009.5849248877853,2302.3763410520723,2091.028348298845,15725.002465471904,102483.98986788555,11989.856393867974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.390034848334263,551199428.8093786,942426.8313070463,11232692.6925,369.7380255559449,233.7368133202,-18.067833014244886,366.47347713166255,326.8305865627995,-17.429297024318714,3117.4885357988846,2313.994383028057,2180.8215895455314,16872.80342159284,119833.40412041573,19315.613078113347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.174294924044047,329403002.3978133,890817.4161473957,21340548.1011,285.82717367973146,220.93685916354065,-1.549066094000142,285.98836522897307,289.48258885575785,14.537437673400174,3997.1896037260008,2655.333793255144,2266.4717937828727,27738.75820856809,53958.41500517528,17800.10060049475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.247382590724476,553270329.6436801,798722.2598924693,11020837.5216,370.43194222469145,198.09579858444175,-30.524192272167717,364.8467978330225,318.998510724688,-20.52272388708031,3923.866096720452,2897.11155172579,2640.0403313334864,26730.425598944796,110489.39822141238,16455.958460736252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.05425187016298,781955814.8936194,1317989.5199494015,13108777.6293,440.383303601169,326.88232141602225,28.97512617816757,436.32923333327415,408.74549527611174,35.06016156048049,3700.9801194846345,2803.0451493726005,2373.662140696407,23779.954591702255,170157.49949897715,22590.20033303433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,load,4032,28,2.345042031519037,69833775.4189025,411948.25650223345,17566774.9646,131.60503324916382,102.16970647376822,-1.76100825599588,138.901151975352,157.6364905304277,-0.7039778694986016,735.9504448832627,549.7200077003398,414.2589992112371,940.3178078539446,16379.56696865957,10207.525599826857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,pv,4032,28,5.8162733050633415,346902456.05502415,562084.6299540759,9663999.6175,293.32118145445503,139.40591020686406,4.755857122759763,291.1693750064253,269.085583106322,15.72636792175284,3219.7678071608093,2311.4480460277255,2202.5234492039467,17998.09849310612,68039.21699673121,9835.331631287314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,baseline,baseline,0.0,0.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,net,4032,28,7.008866750397424,410434231.5596516,838377.3987687482,11961668.3927,319.0520400434167,207.93090247240775,-6.516865378755653,321.0863658722169,309.49487607066317,-16.43034579125144,3609.333902615114,2595.278466779034,2252.9228782531186,22616.825035706337,79177.37922015964,19541.105167935013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.2499229685968873,61460669.03705819,395267.5006319666,17568045.9353,123.463441906362,98.03261424403934,-5.6814236961319615,122.79524208405539,119.10673396549932,-0.5625809860787895,522.9721848185235,405.5074636479813,364.9154012868827,474.8262258573956,14768.395261508227,8058.197462832366,,,,,-0.15516649337616872,-0.20294980797508355,-1.6261673112805686,-1.3211292338855651
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.538706320721003,476592561.00108707,708521.7116505669,10835808.7502,343.8059337614104,175.724630865716,12.1094275531537,340.56934662032893,301.56746522993143,16.72510896442797,3016.9390015315066,2310.5549126172295,2096.1500096077953,15801.946074586669,102400.57401496863,11987.246631074491,,,,,-0.0027376649905153094,0.06231802145810761,0.24435517944374485,0.24493504897324936
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.38835361318294,550712960.6472316,942237.9833290598,11232692.6925,369.5748310100124,233.68997602407237,-17.79085124928566,366.5523904339575,327.72285888122485,-17.287689950506763,3121.094222340499,2313.8065502628697,2183.3676956945765,16911.856154040357,119673.69956203888,19341.984795385277,,,,,-0.04413788538171204,-0.020038476379624637,0.11565997758160584,0.11674985983496367
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.2467344883242344,61321460.351721615,394707.3469530289,17568045.9353,123.3235400227405,97.89368724033454,-5.852919368666125,122.66305645156936,118.98616629079282,-0.5074542243506023,523.1816925437826,404.32983241906174,364.6639912679933,475.2067420364183,14733.488781704064,8051.970639623761,,,,,-0.26830508777924145,-0.3443772836031478,-1.58675780058396,-1.3891144619022522
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.548557190251318,477496308.6281466,709589.1330331037,10835808.7502,344.131753615191,175.98936831178167,12.426764981545388,340.9336654310269,301.9130046484614,15.729508117173292,3011.9401366451157,2303.438903012795,2093.2430418026574,15749.623935301732,102677.03991096478,12091.373474911145,,,,,0.09202827763297172,0.2130666239158696,0.07825702932833245,0.10591408316460438
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.404170018257423,553079648.1695172,944014.5915060776,11232692.6925,370.36810309214627,234.13060305210257,-18.279684350211514,367.2844521190939,328.0286980830035,-16.236962341523896,3122.2622399536817,2308.78377428168,2186.832504459538,16924.516484445456,120248.01530362923,19275.4602258088,,,,,0.1704118842669633,0.1684756997876402,0.15312659854171962,0.27562616505734105
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.2496958250799923,61365856.76390128,395227.5959545794,17568045.9353,123.36817473994658,98.02271725063973,-5.74954566624202,122.6827882186076,119.18143167305004,0.49780873348401616,525.6128483588494,403.69206685085317,366.97146970145656,479.6334485414979,14740.073090124492,7980.282660790239,,,,,-0.23220901076045353,-0.2130249320005606,-1.1294445393163821,-0.7651359580399086
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.525951668717406,475329807.92957133,707139.6419527036,10835808.7502,343.3501671531847,175.38185564303166,12.179568799881446,340.159648812635,301.1837149339789,16.10670766537477,3006.7369544819207,2301.657278569611,2088.863919986826,15695.255405290303,102194.08187882957,12003.743625296584,,,,,-0.1352991149563887,-0.13286738410024368,-0.09463000636111829,-0.10351023283732275
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.376566713738628,548634385.8850118,940913.9971365063,11232692.6925,368.8767222010608,233.36160643266524,-17.929114466123465,365.778408626344,326.76507830256196,-15.60889893189075,3108.7445733991804,2304.0408490196296,2174.613444435479,16778.28615041467,119291.75003138388,19157.619132649826,,,,,-0.23294962793968255,-0.16052537133753875,-0.28048098009969546,-0.28467001334787634
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.2524329887903427,61581163.24601157,395708.4621325381,17568045.9353,123.58440825521863,98.14197969556996,-5.5940706904378645,122.90779803461389,119.14736534855373,-0.8885185980877511,520.3320385311549,400.1130764722424,364.137426860641,470.0441498645614,14803.06181392799,8085.34048165051,,,,,-0.05734105796788569,-0.09161594689385266,-2.1227927852289885,-1.5315057693667034
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.538033090054715,477683429.87056094,708448.7616631202,10835808.7502,344.1991761822851,175.70653811089292,12.092397523131458,340.78853218379004,301.05386275006776,16.06285257124703,3018.0040611388367,2309.016129137015,2096.838019962792,15813.10505737936,102659.96782718437,12007.64752296736,,,,,0.11163838748549093,0.0520155215861573,0.2797440996407552,0.2778380153800164
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,4,7,28,2025-01-08,2025-03-24,2025-03-25,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.392633275816605,551817478.0171256,942718.7046809753,11232692.6925,369.9452575122902,233.80920254984505,-17.686468213569317,366.60310690042235,326.55588339965,-16.95137116933478,3120.192489932224,2313.933621953944,2182.7389970014815,16902.085371926136,119957.40818390858,19249.94593555207,,,,,0.05604832124954662,0.0309704015455603,0.08673501449287802,0.0879213350208019
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.1813344269641695,330435570.9838996,892319.6846541427,21340548.1011,286.2748096027143,221.30944559874573,-1.772302668710926,286.10739967604036,287.9456016425822,16.13902507193562,4017.715551480203,2698.287505344782,2283.9800943703326,28024.371966329632,53928.89464674069,17600.727669256892,,,,,0.156610694924475,0.16863932827491102,0.5135094851409727,0.7724914395796478
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.244796766572523,553457763.6570199,798437.2804140882,11020837.5216,370.4946834042406,198.02511915031948,-31.65479383709349,364.5397514773144,317.5046388368316,-20.35576097897618,3922.1022551360998,2895.101624750057,2637.770882520789,26706.39947872167,110559.91095208681,16387.89461756047,,,,,0.01693730275320604,-0.03567942108178013,-0.044951625281663965,-0.0859626569246763
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.04831039883005,780921083.594963,1317210.6656844593,13108777.6293,440.0918362163814,326.68915319555043,29.88249116838257,435.41689958499677,405.7368780404072,36.49478605091181,3693.2977945960865,2796.724716386919,2372.735456943291,23681.334374250546,169999.48993005574,22290.741764236038,,,,,-0.06618493081008703,-0.05909411669466902,-0.2075754162553456,-0.03904025502314834
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.153072079400868,325009075.2716925,886288.3447778963,21340548.1011,283.9144405302245,219.813577573883,-3.4021005575957517,284.47075179192785,287.9899495341387,15.514489986665032,3979.3651436212836,2615.8272628048694,2258.524549003148,27491.921781715348,53115.48775987505,17760.33858559676,,,,,-0.669192199216917,-0.5084174700004107,-0.4459248089733414,-0.3506438863049022
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.207900361087106,546226155.4695377,794370.9875142297,11020837.5216,368.0662397081283,197.01661396682286,-33.01386486971222,362.85141218360434,317.74679127530334,-21.95108986563692,3895.3062466971687,2874.8367033990144,2621.7358814234967,26342.727006177047,109130.02980670435,16468.89314945009,,,,,-0.6386335104784813,-0.5447791550000303,-0.7278497614165103,-0.6933397832124766
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,9.98126112287627,766827972.2282774,1308421.3251976226,13108777.6293,436.10263583838594,324.50925724147385,29.611764312116474,432.4247323512939,405.63815576799533,37.46557985230196,3667.3264597585735,2756.662971006723,2335.71636422887,23349.450282023176,166836.0587031647,22433.48246328741,,,,,-0.9720322563954054,-0.7259689555153992,-0.9093174953543781,-1.5986174197648806
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.175999599101296,329835417.949903,891181.2031479552,21340548.1011,286.01471838770914,221.0270841140762,-1.5290213885327577,286.5906618701528,290.4996319466287,20.128257239153054,3997.935724869288,2623.1329660756433,2266.423512502971,27749.114687823134,54055.30444657741,17365.899970841117,,,,,0.06561472289818848,0.04083743693883424,0.018666143397139123,-0.0021302396100542076
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.245706529245085,552717587.3809419,798537.5438800635,11020837.5216,370.2468567935606,198.04998608136495,-30.452813513940523,364.8431887169605,318.9564794919532,-21.744858196036578,3928.2892823505786,2899.7130142265078,2641.981423119498,26790.723412900035,110292.01155261135,16567.02277120716,,,,,-0.04996476006342565,-0.02312643852326879,0.1127251929881945,0.0735250807714305
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.043963029223896,780387546.7362463,1316640.7786700649,13108777.6293,439.941471896553,326.547812170155,28.923792125407754,436.2996681239318,409.00104695843453,41.87311543518964,3684.670036124177,2771.1045802801523,2356.1458367652285,23570.821658179415,169977.67703632615,22029.741033693586,,,,,-0.10032889553327484,-0.10233323246671144,-0.44069632459222685,-0.7379442773620348
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,load,4032,28,4.187555380728118,330913276.66791344,893647.2702844853,21340548.1011,286.4816664384227,221.63870790785845,-1.9287536741362745,286.69575807870484,291.347758466516,15.01785528030076,4039.4248414913855,2679.5553769692438,2286.353882476596,28328.043489683514,53743.701715652154,17954.930088873047,,,,,0.22898199295235955,0.3176693771129724,1.0566233266997127,0.8772263898567667
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,pv,4032,28,7.249127887388528,554032731.2879112,798914.6062020843,11020837.5216,370.68708033830893,198.14350352234234,-30.178499265116375,365.1368059873403,319.0169118966561,-20.957716938720953,3931.5035281631926,2902.6089792610364,2644.741876580657,26834.58331937436,110574.32821036551,16462.143260931876,,,,,0.06887584048103079,0.024081751476545676,0.1946404707623417,0.17808611449492417
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,7,7,28,2025-01-08,2025-06-23,2025-06-24,2025-06-30,2025-07-01,2025-07-28,net,4032,28,10.074506094301963,784672015.1056933,1320644.6011523209,13108777.6293,441.14749784801324,327.54082369849226,28.249745590980105,437.2318307920732,410.7488169062856,35.97557221902171,3742.3033364042494,2845.4489178591944,2388.1341957468667,24313.948370941627,170297.1664866212,22710.947686021198,,,,,0.17352934150662858,0.2014493410403606,1.1165479301566528,0.6096931320737076
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,load,4032,28,2.3370631730164666,69205647.63192543,410546.62838434306,17566774.9646,131.01182814944943,101.82208045246604,-1.1897542662211353,137.98305953952575,156.12367319823363,-0.3339397665963818,668.4131122347935,467.8344503653981,379.5278605122526,775.652931610074,16388.4461834508,10098.90308021413,,,,,-0.4507465140723754,-0.34024373104314387,-9.176885905569632,-8.383918940835022
