name,factor,factor_value,weight,window,penalty_multiplier,gain,seconds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
baseline,baseline,0.0,0.5,28,1.0,0.5,0.6241155840689316,load,48096,334,2.9668556880686503,1610457868.7587035,6587857.868230686,222048476.9355,182.98698621729875,136.9730927360006,-3.5806242718477694,185.48249206935222,191.15631976631676,-0.6922702681107142,1967.0527369891493,1128.699908644868,1131.4362224808185,6717.52859391754,26766.708530972337,142934.29579756886,0.0,0.0,0.0,0.0
baseline,baseline,0.0,0.5,28,1.0,0.5,0.6241155840689316,pv,48096,334,6.44257200369873,4534488087.700146,7371161.809126838,114413339.9657,307.0503899088877,153.25935231883813,6.179810385627388,307.1617998537445,282.1737961041864,15.282953376879517,2889.3712526872273,2063.79114791263,1978.4419937675234,14493.864992804438,79786.07695039551,129518.8132276826,0.0,0.0,0.0,0.0
baseline,baseline,0.0,0.5,28,1.0,0.5,0.6241155840689316,net,48096,334,8.064833340403238,6135346014.993298,11640220.418623667,144333055.96420002,357.1618393483832,242.02055095275423,-9.760434657475153,359.1954878698574,342.42767245767953,-15.975223644990225,3542.7962393845705,2478.747117648772,2254.7986018358,21790.634017009474,105773.9454697108,254156.57619001277,0.0,0.0,0.0,0.0
weight_0.3,weight,0.3,0.3,28,1.0,0.5,0.6216033330420032,load,48096,334,2.9413334467765067,1587360081.2907286,6531186.120161679,222048476.9355,181.6700132276776,135.79478792751328,-3.669208924404159,184.28082966681933,190.2180844767454,-0.3777858912091876,1983.0447890792484,1119.659111483437,1139.0208195368227,6827.199019955487,26176.79468618907,141713.37367349374,-0.7197085524198066,-0.8602454576669083,0.81299559434167,0.6703512672922907
weight_0.3,weight,0.3,0.3,28,1.0,0.5,0.6216033330420032,pv,48096,334,6.4478260582181,4537435404.298137,7377173.148386069,114413339.9657,307.1501616678494,153.38433858088135,5.567689071151735,307.1493446851701,281.96150270740503,14.862523916717475,2892.3353633301294,2069.8688298253433,1980.744950807555,14523.617802031305,79817.6040105547,129878.1768949118,0.03249361089925351,0.08155212726150829,0.10258670083138632,0.11640255551015333
weight_0.3,weight,0.3,0.3,28,1.0,0.5,0.6216033330420032,net,48096,334,8.039442492786124,6114549201.010252,11603573.032322675,144333055.96420002,356.55599466710345,241.25858766472626,-9.236897995555895,358.5993797007079,341.9272202564894,-15.240309807926659,3549.40395526868,2472.3743428209555,2259.7406766600952,21871.993815411366,105260.18351763612,252974.71158564152,-0.16962749502720254,-0.3148341267005583,0.18651131585420977,0.21918032148287026
weight_0.4,weight,0.4,0.4,28,1.0,0.5,0.6259152500424534,load,48096,334,2.9509871109403227,1595337185.4099824,6552621.934405901,222048476.9355,182.12592253545125,136.24047601476008,-3.6316508450678557,184.67776051371186,190.4812655346227,-0.529230732511569,1971.06329520337,1121.806056965946,1132.9619131695765,6744.948808503415,26424.90285088577,142188.4778447483,-0.4705600653070352,-0.5348617794974975,0.20388666449073778,0.13484548739413071
weight_0.4,weight,0.4,0.4,28,1.0,0.5,0.6259152500424534,pv,48096,334,6.444048669304688,4535128424.055741,7372851.311566739,114413339.9657,307.07206915725,153.2944800309119,5.842140877072784,307.1225262358342,282.01251912362153,15.010695106303954,2891.0797165068607,2067.5167964401107,1979.749255967367,14511.010290273247,79782.24536624167,129685.44633780333,0.007060485534204908,0.022920436203266448,0.059129259282419966,0.06607533624749529
weight_0.4,weight,0.4,0.4,28,1.0,0.5,0.6259152500424534,net,48096,334,8.048402148956146,6120290012.958859,11616504.777876751,144333055.96420002,356.7233365774169,241.52746128319924,-9.473791722140637,358.7575769543736,342.0174086600055,-15.539925838815522,3544.0288782466455,2474.5462688427847,2256.238195878544,21805.799808760723,105445.73905016435,253377.12658133262,-0.12277425039760592,-0.20373876004077252,0.03479282405156603,0.06384579277154412
weight_0.6,weight,0.6,0.6,28,1.0,0.5,0.6208262079162523,load,48096,334,2.989514078536301,1632917608.435811,6638170.479162203,222048476.9355,184.25855316262948,138.0191799559673,-3.5196027727014956,186.70066871953946,192.25281668237366,-0.8744157831869245,1971.7124833999717,1140.4585806040316,1134.8241750614418,6749.392564575146,27201.821849010415,144006.352858425,0.6948947417608986,0.7637173105106809,0.23688975507361043,0.2994382284486896
