name,day,date,future_mutation_max_difference_kw
baseline,31,2025-02-01,0.0
baseline,32,2025-02-02,0.0
baseline,59,2025-03-01,0.0
baseline,90,2025-04-01,0.0
baseline,151,2025-06-01,0.0
baseline,243,2025-09-01,0.0
baseline,364,2025-12-31,0.0
weight_0.3,31,2025-02-01,0.0
weight_0.3,32,2025-02-02,0.0
weight_0.3,59,2025-03-01,0.0
weight_0.3,90,2025-04-01,0.0
weight_0.3,151,2025-06-01,0.0
weight_0.3,243,2025-09-01,0.0
weight_0.3,364,2025-12-31,0.0
weight_0.4,31,2025-02-01,0.0
weight_0.4,32,2025-02-02,0.0
weight_0.4,59,2025-03-01,0.0
weight_0.4,90,2025-04-01,0.0
weight_0.4,151,2025-06-01,0.0
weight_0.4,243,2025-09-01,0.0
weight_0.4,364,2025-12-31,0.0
weight_0.6,31,2025-02-01,0.0
weight_0.6,32,2025-02-02,0.0
weight_0.6,59,2025-03-01,0.0
weight_0.6,90,2025-04-01,0.0
weight_0.6,151,2025-06-01,0.0
weight_0.6,243,2025-09-01,0.0
weight_0.6,364,2025-12-31,0.0
weight_0.7,31,2025-02-01,0.0
weight_0.7,32,2025-02-02,0.0
weight_0.7,59,2025-03-01,0.0
weight_0.7,90,2025-04-01,0.0
weight_0.7,151,2025-06-01,0.0
weight_0.7,243,2025-09-01,0.0
weight_0.7,364,2025-12-31,0.0
window_14,31,2025-02-01,0.0
window_14,32,2025-02-02,0.0
window_14,59,2025-03-01,0.0
window_14,90,2025-04-01,0.0
window_14,151,2025-06-01,0.0
window_14,243,2025-09-01,0.0
window_14,364,2025-12-31,0.0
window_21,31,2025-02-01,0.0
window_21,32,2025-02-02,0.0
window_21,59,2025-03-01,0.0
window_21,90,2025-04-01,0.0
window_21,151,2025-06-01,0.0
window_21,243,2025-09-01,0.0
window_21,364,2025-12-31,0.0
window_35,31,2025-02-01,0.0
window_35,32,2025-02-02,0.0
window_35,59,2025-03-01,0.0
window_35,90,2025-04-01,0.0
window_35,151,2025-06-01,0.0
window_35,243,2025-09-01,0.0
window_35,364,2025-12-31,0.0
window_42,31,2025-02-01,0.0
window_42,32,2025-02-02,0.0
window_42,59,2025-03-01,0.0
window_42,90,2025-04-01,0.0
window_42,151,2025-06-01,0.0
window_42,243,2025-09-01,0.0
window_42,364,2025-12-31,0.0
penalty_multiplier_0.5,31,2025-02-01,0.0
penalty_multiplier_0.5,32,2025-02-02,0.0
penalty_multiplier_0.5,59,2025-03-01,0.0
penalty_multiplier_0.5,90,2025-04-01,0.0
penalty_multiplier_0.5,151,2025-06-01,0.0
penalty_multiplier_0.5,243,2025-09-01,0.0
penalty_multiplier_0.5,364,2025-12-31,0.0
penalty_multiplier_0.75,31,2025-02-01,0.0
penalty_multiplier_0.75,32,2025-02-02,0.0
penalty_multiplier_0.75,59,2025-03-01,0.0
penalty_multiplier_0.75,90,2025-04-01,0.0
penalty_multiplier_0.75,151,2025-06-01,0.0
penalty_multiplier_0.75,243,2025-09-01,0.0
penalty_multiplier_0.75,364,2025-12-31,0.0
penalty_multiplier_1.25,31,2025-02-01,0.0
penalty_multiplier_1.25,32,2025-02-02,0.0
penalty_multiplier_1.25,59,2025-03-01,0.0
penalty_multiplier_1.25,90,2025-04-01,0.0
penalty_multiplier_1.25,151,2025-06-01,0.0
penalty_multiplier_1.25,243,2025-09-01,0.0
penalty_multiplier_1.25,364,2025-12-31,0.0
penalty_multiplier_1.5,31,2025-02-01,0.0
penalty_multiplier_1.5,32,2025-02-02,0.0
penalty_multiplier_1.5,59,2025-03-01,0.0
penalty_multiplier_1.5,90,2025-04-01,0.0
penalty_multiplier_1.5,151,2025-06-01,0.0
penalty_multiplier_1.5,243,2025-09-01,0.0
penalty_multiplier_1.5,364,2025-12-31,0.0
penalty_multiplier_2,31,2025-02-01,0.0
penalty_multiplier_2,32,2025-02-02,0.0
penalty_multiplier_2,59,2025-03-01,0.0
penalty_multiplier_2,90,2025-04-01,0.0
penalty_multiplier_2,151,2025-06-01,0.0
penalty_multiplier_2,243,2025-09-01,0.0
penalty_multiplier_2,364,2025-12-31,0.0
gain_0.25,31,2025-02-01,0.0
gain_0.25,32,2025-02-02,0.0
gain_0.25,59,2025-03-01,0.0
gain_0.25,90,2025-04-01,0.0
gain_0.25,151,2025-06-01,0.0
gain_0.25,243,2025-09-01,0.0
gain_0.25,364,2025-12-31,0.0
gain_0.4,31,2025-02-01,0.0
gain_0.4,32,2025-02-02,0.0
gain_0.4,59,2025-03-01,0.0
gain_0.4,90,2025-04-01,0.0
gain_0.4,151,2025-06-01,0.0
gain_0.4,243,2025-09-01,0.0
gain_0.4,364,2025-12-31,0.0
gain_0.6,31,2025-02-01,0.0
gain_0.6,32,2025-02-02,0.0
gain_0.6,59,2025-03-01,0.0
gain_0.6,90,2025-04-01,0.0
gain_0.6,151,2025-06-01,0.0
gain_0.6,243,2025-09-01,0.0
gain_0.6,364,2025-12-31,0.0
gain_0.75,31,2025-02-01,0.0
gain_0.75,32,2025-02-02,0.0
gain_0.75,59,2025-03-01,0.0
gain_0.75,90,2025-04-01,0.0
gain_0.75,151,2025-06-01,0.0
gain_0.75,243,2025-09-01,0.0
gain_0.75,364,2025-12-31,0.0
