name,month,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
baseline,2,load,4032,28,2.741343709935,99091576.00853387,499256.9922057934,18212126.7901,156.76824848251402,123.82365878119876,-9.179935414455919,154.8857740495489,148.73921750884767,-18.662902551112886,1613.5775014391606,1007.2780817075599,1021.6754344968141,4520.195057553202,20056.08867472206,11271.134343526835
baseline,2,pv,4032,28,5.90168394652403,225167680.9115437,467935.59427735093,7928848.7577,236.31580344157274,116.05545492989854,-34.99078792032738,230.78890813522978,192.83840227072412,-0.5281299823055987,2079.6159418738184,1694.1309295905753,1442.8272214613467,7508.337614055088,48336.821342180956,8183.228648680779
baseline,2,net,4032,28,6.4587210269684485,304704402.4169271,771780.6852743705,11949435.2218,274.90276167622267,191.41386043511173,25.810852505871456,269.5199300590665,241.4334905465406,-18.13477256880729,2534.9275868294603,2006.7573951075017,1707.603846504772,11156.00324734207,64415.52512987199,16052.78460128679
baseline,3,load,4464,31,2.622440703843097,94020619.73057705,509903.182823926,19443840.3155,145.12741569229274,114.22562339245654,-17.89320078606758,145.86894898032918,139.0938070926687,-15.193418960157665,893.7142408885903,703.3254369264034,661.8682807324861,1386.6755978594952,19675.29118766404,11654.256221583966
baseline,3,pv,4464,31,6.824531570646421,445890686.0135788,701966.8347791458,10285934.3167,316.0473166553531,157.25063503117065,-12.974371331718718,313.323903954166,285.3852903975188,9.729850041525033,2979.1430482010464,2404.4348129102814,2053.621763136104,15408.495315355252,84477.41104969376,12060.92963994584
baseline,3,net,4464,31,7.961065885620909,528147027.1900028,1000070.2982427498,12562015.0946,343.9658501813086,224.03008473179878,-4.918829454348863,341.5078314347478,314.60644232513704,-24.92326900168269,2988.86999660593,2328.4688129219976,1994.5039157602891,15509.27752883877,102803.22856211168,21230.189575546283
baseline,4,load,4320,30,2.212214456770538,64905313.66681693,419826.53303069854,18977659.7719,122.57397017154592,97.18206783118022,-5.540539462238414,121.86111611258546,118.23822775304828,-1.3857793153759093,518.0018622058857,399.2663344934182,358.32631448866965,465.84362716799546,14558.534536447034,8635.448912459235
baseline,4,pv,4320,30,6.520392445794717,502652784.16270286,761013.4014551768,11671282.177900001,341.1082103215544,176.16050959610573,5.827327455117721,339.29977431335305,303.98405202512396,2.102352698197809,2954.766345844676,2283.786687539727,2059.454422423364,15157.368330792186,101197.44281798162,14442.05011473335
baseline,4,net,4320,30,8.379572115440721,580337626.9899439,1009054.0348554171,12041832.4582,366.5206865308964,233.5773228831984,-11.367866917356137,364.60160104584696,328.1128268067409,-3.4881320135737153,3057.5099983609844,2291.618744328725,2142.9523488366076,16229.804496662131,118107.60915841747,19672.150670845553
baseline,5,load,4464,31,2.848447729467346,122132507.02080801,559694.0433819429,19649089.487999998,165.40686979791946,125.37949000491552,-6.237220316459112,176.72432154603666,202.7987798432094,-20.785738692106523,904.4533059670945,720.0960130731381,456.35723384764077,1420.201011588206,25939.231564757676,16276.118419632601
