name,parameter,parameter_value,delta,ramp,up,down,eta_rt,capacity_factor,nominal_capacity_kwh,emin_kwh,emax_kwh,initial_terminal_kwh,eligible_for_comparison,outcome,elapsed_seconds,stage1_cost,budget,cost,quantity,tv,starts,short_deficit,short_runs,min_on,min_off,max_step,charge,discharge,surplus,emin,emax,balance,state,endpoint,simultaneous,smooth,max_c,max_d,low,daily_balance,cost_recompute,violations,stage1_status,stage1_success,stage1_mip_gap,stage1_mip_dual_bound,stage1_seconds,stage1_message,stage2_status,stage2_success,stage2_mip_gap,stage2_mip_dual_bound,stage2_seconds,stage2_message,cost_change_pct_from_frozen,smooth_change_pct_from_frozen,tv_change_pct_from_frozen,quantity_change_pct_from_frozen
center,center,,0.001,1000.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,2.7438715419266373,34080.95139956883,34115.03245096839,34115.032450968385,57560.64380388695,33209.16605760791,4,0,0,170,430,1000.0000000000073,20186.713705536185,18168.042334982565,0.0,1199.999999999999,10800.000000000004,1.2789769243681803e-12,4.547473508864674e-13,0.0,2.8614977054530755e-10,0.03695080976222771,4999.631414496048,4268.670200000007,0,5.002220859751105e-12,0.0,0,0,True,0.0,34080.95139956883,0.13475683296564966,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36950.809762227225,2.5984911249252036,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0
delta_0p0005,delta,0.0005,0.0005,1000.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,3.7002785409567878,34080.95139956883,34097.99197526861,34097.99197526861,57570.85178258838,34345.00062651223,6,0,0,30,30,1000.0000000000073,20288.793492550452,18259.914143295406,0.0,1199.999999999999,10800.000000000005,1.3642420526593924e-12,7.958078640513251e-13,0.0,2.1715859398065005e-10,0.04468402821285571,5000.000000000049,4268.670200000017,1,7.275957614183426e-12,0.0,0,0,True,0.0,34080.95139956883,0.12316291604656726,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,44684.02821285556,3.570902041043155,Optimization terminated successfully. (HiGHS Status 7: Optimal),-0.04995004980360429,20.92841401958434,3.42024417877278,0.0177343025144161
delta_0p0009,delta,0.0009,0.0009,1000.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,2.7278697920264676,34080.95139956883,34111.62435582844,34111.62435582845,57562.25540125387,34436.052311220184,4,0,0,170,440,1000.0000000002267,20202.829679205322,18182.546711284784,0.0,1199.999999999995,10800.000000000025,1.5916157281025792e-12,6.252776074688914e-13,0.0,2.7625901566352654e-10,0.037802814105014015,4999.999999999814,4282.224499999994,1,0.0,0.0,0,0,True,0.0,34080.95139956883,0.12429366703145206,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,37802.81410501149,2.597643250017427,Optimization terminated successfully. (HiGHS Status 7: Optimal),-0.009990009960669788,2.305779895674309,3.6944205448700362,0.0027998251242777883
delta_0p0011,delta,0.0011,0.0011,1000.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,2.203142707934603,34080.95139956883,34118.44054610836,34118.44054610836,57556.39079940203,32900.372486494394,4,0,0,170,430,1000.0000000000073,20144.183660686867,18129.76529461818,0.0,1199.9999999999993,10800.000000000002,1.3642420526593924e-12,7.958078640513203e-13,0.0,1.4115235743743256e-10,0.036736369782287774,4902.650189485426,4268.670200000022,0,9.777068044058979e-12,0.0,0,0,True,0.0,34080.95139956883,0.12627383298240602,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36736.36978227546,2.07086341700051,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00999000996078081,-0.5803390543260734,-0.9298444007231343,-0.007388736824098796
delta_0p0020,delta,0.002,0.002,1000.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,3.5306997910374776,34080.95139956883,34149.11340236797,34149.11340236796,57553.10851149513,31089.994980305335,4,0,0,170,430,1000.0000000000086,20111.360781617826,18100.224703456042,-4.0430971163610515e-14,1199.999999999999,10800.000000000002,1.2789769243681803e-12,3.410605131648481e-13,0.0,1.8580341835746852e-10,0.03547916318076759,4093.6069143093664,4256.681300000038,0,1.7093456629406017e-11,0.0,0,0,True,0.0,34080.95139956883,0.12780437502078712,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,35479.16318075638,3.3968686669832096,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0999000996072974,-3.9827180809566043,-6.381283630026868,-0.013091049532909516
ramp_900,ramp,900.0,0.001,900.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,2.7845270830439404,34119.39656966433,34153.516066233984,34153.516066234,57565.830135841104,33045.7934023431,4,0,0,170,430,900.0000000000091,20238.57702507774,18214.719322569963,0.0,1199.999999999999,10800.000000000002,1.4345577227975074e-12,5.684341886080874e-13,0.0,1.4115235743743256e-10,0.03683735652940493,4925.3606474096805,4268.670200000017,0,0.0,0.0,0,0,True,0.0,34119.39656966432,0.11865066702011973,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36837.35652940461,2.6598080419935286,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11280544821676841,-0.3070385562666478,-0.491950490359816,0.009010204909842834
ramp_1100,ramp,1100.0,0.001,1100.0,3,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,3.0280052080051973,34051.192974531674,34085.2442675062,34085.244267506234,57550.96793273538,33952.71056865864,4,0,0,160,440,1100.000000000009,20089.954994020554,18080.959494618495,0.0,1199.9999999999961,10800.000000000593,1.4210854715202004e-12,5.684341886080834e-13,0.0,3.825334715656936e-09,0.03746716011712405,5000.000000000049,4291.704900000001,0,7.275957614183426e-12,0.0,0,0,True,0.0,34051.192974531674,0.12079066596925259,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,37467.16011721128,2.901678082998842,Optimization terminated successfully. (HiGHS Status 7: Optimal),-0.08731688444079122,1.3973992944105174,2.238973751285722,-0.016809873052392454
up_2,up,2,0.001,1000.0,2,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,2.718939375015907,34080.92022734661,34115.00124757395,34115.00124757398,57560.72669162538,33212.14119755322,4,0,0,170,430,1000.0000000000628,20187.542582920476,18168.788324628425,0.0,1199.999999999999,10800.000000000022,1.2789769243681803e-12,6.252776074689027e-13,0.0,4.51466064532724e-09,0.036952875831634174,5000.000000000167,4268.670200000007,0,2.5011104298755527e-12,0.0,0,0,True,0.0,34080.920227346614,0.13240124995354563,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36952.875831633515,2.580547707970254,Optimization terminated successfully. (HiGHS Status 7: Optimal),-9.146523443082089e-05,0.0055914049509553365,0.008958791497959417,0.0001440007146413791
up_4,up,4,0.001,1000.0,4,2,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,1.9119283329928294,34087.22679625588,34121.314123052136,34121.31412305214,57556.390799402056,32652.079547898797,4,0,0,170,430,1000.0000000000073,20144.183660687257,18129.76529461853,0.0,1199.9999999999955,10800.000000000047,1.3892713283946197e-12,3.4106051316484647e-13,0.0,2.3138920358017838e-10,0.036563944130485276,4778.503720145367,4268.670199999997,0,0.0,0.0,0,0,True,0.0,34087.226796255876,0.27922787494026124,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36563.94413042006,1.6264712499687448,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.018413208584178165,-1.0469747056474632,-1.677508278114348,-0.007388736824043285
down_1,down,1,0.001,1000.0,3,1,0.9,1.0,12000.0,1200.0,10800.0,6000.0,True,optimal_and_physical_audit_passed,3.448049750062637,34080.95139956883,34115.03245096839,34115.0324509684,57560.64380388688,33209.16605760576,4,0,0,170,430,1000.0000000000116,20186.713705535563,18168.042334982005,-1.188698577594656e-12,1199.9999999999984,10800.000000000005,1.5916157281026115e-12,2.2737367544323206e-13,0.0,1.7278019225579137e-10,0.03695080976222623,4999.631414495326,4268.670199999995,0,6.08725903658877e-12,7.275957614183426e-12,0,0,True,0.0,34080.95139956883,0.1541478339349851,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,True,0.0,36950.80976222596,3.2880742909619585,Optimization terminated successfully. (HiGHS Status 7: Optimal),4.440892098500626e-14,-4.019007349143067e-12,-6.461498003318411e-12,-1.2212453270876722e-13
