scenario,strategy,analysis_label,parameter,value,nominal_value,parameter_change_pct,emergency_multiplier,up_adjustment_multiplier,down_adjustment_multiplier,total_cost_yuan,nominal_total_cost_yuan,cost_change_pct,cost_change_yuan,emergency_kwh,throughput_kwh,baseline_cost_yuan,cost_saving_yuan,cost_reduction_pct
2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4,5,-20,4,1.5,0.5,13088572.3995,13201981.9479,-0.859034263604,-113409.548408,105253.932765,11353818.8253,13896164.2717,807591.872123,5.81161719403
2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4.5,5,-10,4.5,1.5,0.5,13145277.1737,13201981.9479,-0.429517131802,-56704.7742038,105253.932765,11353818.8253,13981210.8745,835933.700719,5.97897927601
2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5,5,0,5,1.5,0.5,13201981.9479,13201981.9479,0,0,105253.932765,11353818.8253,14066257.4773,864275.529315,6.14431756785
2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5.5,5,10,5.5,1.5,0.5,13258686.7221,13201981.9479,0.429517131802,56704.7742038,105253.932765,11353818.8253,14151304.0801,892617.357911,6.30766855734
2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,6,5,20,6,1.5,0.5,13315391.4963,13201981.9479,0.859034263604,113409.548408,105253.932765,11353818.8253,14236350.6829,920959.186507,6.46906786032
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4,5,-20,4,1.5,0.5,12785910.2266,12826263.0743,-0.31461110259,-40352.8476793,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4.5,5,-10,4.5,1.5,0.5,12806086.6505,12826263.0743,-0.157305551295,-20176.4238396,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5,5,0,5,1.5,0.5,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5.5,5,10,5.5,1.5,0.5,12846439.4982,12826263.0743,0.157305551295,20176.4238396,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,6,5,20,6,1.5,0.5,12866615.922,12826263.0743,0.31461110259,40352.8476793,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.2,1.5,-20,5,1.2,0.5,12625126.8693,12826263.0743,-1.5681590486,-201136.204997,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.35,1.5,-10,5,1.35,0.5,12725694.9718,12826263.0743,-0.784079524299,-100568.102498,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.5,1.5,0,5,1.5,0.5,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.65,1.5,10,5,1.65,0.5,12926831.1768,12826263.0743,0.784079524299,100568.102498,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.8,1.5,20,5,1.8,0.5,13027399.2793,12826263.0743,1.5681590486,201136.204997,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.4,0.5,-20,5,1.5,0.4,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.45,0.5,-10,5,1.5,0.45,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.5,0.5,0,5,1.5,0.5,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.55,0.5,10,5,1.5,0.55,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.6,0.5,20,5,1.5,0.6,12826263.0743,12826263.0743,0,0,40813.7444034,11726491.2697,,,
4-2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4,5,-20,4,1.5,0.5,13875716.3429,13994531.2579,-0.849009608732,-118814.915077,109880.042454,11179601.9835,,,
4-2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4.5,5,-10,4.5,1.5,0.5,13935123.8004,13994531.2579,-0.424504804366,-59407.4575384,109880.042454,11179601.9835,,,
4-2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5,5,0,5,1.5,0.5,13994531.2579,13994531.2579,0,0,109880.042454,11179601.9835,,,
4-2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5.5,5,10,5.5,1.5,0.5,14053938.7155,13994531.2579,0.424504804366,59407.4575384,109880.042454,11179601.9835,,,
4-2,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,6,5,20,6,1.5,0.5,14113346.173,13994531.2579,0.849009608732,118814.915077,109880.042454,11179601.9835,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4,5,-20,4,1.5,0.5,13534891.9687,13579870.465,-0.331214472218,-44978.4962884,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4.5,5,-10,4.5,1.5,0.5,13557381.2168,13579870.465,-0.165607236109,-22489.2481442,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5,5,0,5,1.5,0.5,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5.5,5,10,5.5,1.5,0.5,13602359.7131,13579870.465,0.165607236109,22489.2481442,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,6,5,20,6,1.5,0.5,13624848.9613,13579870.465,0.331214472218,44978.4962884,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.2,1.5,-20,5,1.2,0.5,13361930.0804,13579870.465,-1.60487822843,-217940.384542,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.35,1.5,-10,5,1.35,0.5,13470900.2727,13579870.465,-0.802439114216,-108970.192271,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.5,1.5,0,5,1.5,0.5,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.65,1.5,10,5,1.65,0.5,13688840.6572,13579870.465,0.802439114216,108970.192271,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,up_adjustment_multiplier,1.8,1.5,20,5,1.8,0.5,13797810.8495,13579870.465,1.60487822843,217940.384542,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.4,0.5,-20,5,1.5,0.4,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.45,0.5,-10,5,1.5,0.45,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.5,0.5,0,5,1.5,0.5,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.55,0.5,10,5,1.5,0.55,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
4-3,exp008_final,fixed_action_billing_rescoring_not_reoptimization,down_adjustment_multiplier,0.6,0.5,20,5,1.5,0.6,13579870.465,13579870.465,0,0,46317.7160535,12593476.8844,,,
2,exp006_primary,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4,5,-20,4,1.5,0.5,13896164.2717,14066257.4773,-1.20922858034,-170093.2056,197559.782604,11480847.0398,,,
2,exp006_primary,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,4.5,5,-10,4.5,1.5,0.5,13981210.8745,14066257.4773,-0.604614290171,-85046.6027998,197559.782604,11480847.0398,,,
2,exp006_primary,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5,5,0,5,1.5,0.5,14066257.4773,14066257.4773,0,0,197559.782604,11480847.0398,,,
2,exp006_primary,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,5.5,5,10,5.5,1.5,0.5,14151304.0801,14066257.4773,0.604614290171,85046.6027998,197559.782604,11480847.0398,,,
2,exp006_primary,fixed_action_billing_rescoring_not_reoptimization,emergency_multiplier,6,5,20,6,1.5,0.5,14236350.6829,14066257.4773,1.20922858034,170093.2056,197559.782604,11480847.0398,,,
