scenario,strategy,analysis_label,date,day_index,month,quarter,planned_cost_yuan,up_cost_yuan,down_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,up_adjustment_kwh,down_adjustment_kwh,emergency_kwh,surplus_kwh,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,active_slots,emergency_slots,nonidle_reversals,charge_episodes,discharge_episodes,power_tv_kw,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,load_kwh,pv_kwh,net_load_kwh,load_peak_kw,net_load_peak_kw,mean_settlement_price_yuan_per_kwh,mean_external_dynamic_price_yuan_per_kwh,balance_max_abs_kwh,soc_equation_max_abs_kwh
2,exp008_final,frozen_trajectory_rescoring,2025-02-01,31,2,1,24437.4246333,0,0,0,24437.4246333,47466.3413341,47466.3413341,0,0,0,9252.32801316,19351.3790446,15515.541657,34866.9207016,1.44638112568,112,0,7,4,9,74549.7661045,1421.79911051,3425.31228196,1421.79911051,10800,76305.2062833,41927.03035,34378.1759333,4422.76,3484.94,0.766197222222,0.651493055556,2.27373675443e-13,8.73967564985e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-02,32,2,1,50522.5923413,0,0,5322.13312669,55844.725468,80636.5241101,80636.5241101,0,0,977.365793018,1058.65289252,20644.3566542,18445.3975936,39089.7542478,1.62617135852,122,24,7,14,3,88950.9816213,3425.31228196,3567.11239111,1200,10759.7731899,121705.97265,43349.6947,78356.27795,7139.7466,6301.5851,0.766197222222,0.836388194444,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-03,33,2,1,52253.0374109,0,0,23.7167257716,52276.7541367,82803.7964046,82803.7964046,0,0,5.72936967547,530.02806422,22257.8681565,20195.2869465,42453.1551029,1.76680705642,141,1,8,4,4,105829.67741,3567.11239111,3395.07857754,1692.24442381,10800,122603.769,42386.8525,80216.9165,7168.4724,6231.2748,0.766197222222,0.844790277778,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-04,34,2,1,52710.0385042,0,0,3114.35639636,55824.3949006,83602.7046608,83602.7046608,0,0,450.805203761,1136.3695201,22949.6309296,21227.3545352,44176.9854648,1.83948032929,142,2,8,4,4,102694.4855,3395.07857754,2791.41379324,1200,10800,121578.09885,40383.2349,81194.86395,7107.25,6147.589,0.766197222222,0.849189583333,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-05,35,2,1,52588.2672467,0,0,1382.21633877,53970.4835855,83585.3391867,83585.3391867,0,0,294.90849235,937.497969559,22612.1966278,20417.8739017,43030.0705295,1.79058925453,131,7,8,7,7,111361.607844,2791.41379324,2720.89823048,1200,10800,121991.084433,41242.65745,80748.4269833,7224.4705,6333.0819,0.766197222222,0.848254166667,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-06,36,2,1,54226.3310655,0,0,69.4785635767,54295.8096291,85790.5985975,85790.5985975,0,0,14.8284203557,2997.45928018,22139.285069,19602.374548,41741.6596171,1.73607862565,123,1,8,5,4,111463.894567,2720.89823048,3061.35116644,1825.98521493,10800,122252.1627,41981.1054833,80271.0572167,7370.8801,6287.1803,0.766197222222,0.843964583333,2.27373675443e-13,8.66862137627e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-07,37,2,1,20372.8032197,0,0,0,20372.8032197,39261.9863643,39261.9863643,0,0,0,6541.68639463,17292.9724289,16378.3521259,33671.3245548,1.40291054707,123,0,7,3,5,71396.7217942,3061.35116644,2202.60627068,1641.02569362,10800,76168.5969333,44362.9172667,31805.6796667,4434.4978,3216.2247,0.766197222222,0.644038888889,4.54747350886e-13,8.81072992343e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-08,38,2,1,17983.2509426,0,0,1986.88123476,19970.1321773,35124.0840823,35124.0840823,0,0,376.103740223,2851.50306272,17471.7347429,16400.2126998,33871.9474427,1.41093687581,123,5,8,6,5,71620.4381917,2202.60627068,1490.40712846,1200,10800,75746.7875167,44169.6248,31577.1627167,4351.2177,3210.87,0.766197222222,0.642351388889,1.13686837722e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-09,39,2,1,52236.8598048,0,0,388.748630978,52625.6084358,82912.5303334,82912.5303334,0,0,113.858155385,867.396642405,23325.307368,20721.7314883,44047.0388564,1.83212301571,130,2,8,5,7,101061.293155,1490.40712846,1776.11379522,1490.40712846,10800,121547.903567,41992.4876,79555.4159667,7076.4168,6138.8163,0.766197222222,0.841384027778,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-10,40,2,1,53469.7896004,0,0,20.774758787,53490.5643592,84421.3614154,84421.3614154,0,0,7.27917266539,7735.78862195,19507.9190723,17141.7046895,36649.6237619,1.52399084455,111,1,8,4,7,108807.402116,1776.11379522,2214.00753323,1776.11379522,10800,121477.564517,47150.9269333,74326.6375833,7204.3318,6203.4616,0.766197222222,0.818063888889,2.27373675443e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-11,41,2,1,51323.2978373,0,0,0,51323.2978373,81448.5329903,81448.5329903,0,0,0,4709.13108976,20185.0894324,18666.2846652,38851.3740975,1.6177187033,117,0,8,4,8,103268.802327,2214.00753323,1687.27308235,1687.27308235,10800,121441.281617,46220.6844833,75220.5971333,7166.8905,6113.51,0.766197222222,0.828492361111,2.27373675443e-13,8.95283847058e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-12,42,2,1,51415.7471262,0,0,0.43252540497,51416.1796516,82023.0069601,82023.0069601,0,0,0.114819592506,4787.86319927,20836.7689294,18868.2464823,39705.0154117,1.65234886588,113,1,8,4,6,106290.325958,1687.27308235,1565.88963849,1565.88963849,10800,121363.852883,46097.11675,75266.7361333,7161.6182,6203.4816,0.766197222222,0.826424305556,3.41060513165e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-13,43,2,1,50506.8966602,0,0,70.5241287737,50577.420789,80249.1736677,80249.1736677,0,0,31.7029704767,6723.90364011,19549.3685112,17321.8745298,36871.2430409,1.53354243111,108,3,8,6,9,102279.570303,1565.88963849,1853.1900799,1565.88963849,10800,121310.283717,49980.8047,71329.4790167,7014.89,6195.9096,0.766197222222,0.814790972222,3.41060513165e-13,9.09494701773e-13
2,exp008_final,frozen_trajectory_rescoring,2025-02-14,44,2,1,18503.2632669,0,0,0,18503.2632669,35814.3417013,35814.3417013,0,0,0,3945.74388051,18200.7839007,16133.9878966,34334.7717973,1.42806234151,115,0,8,4,6,63257.7633717,1853.1900799,2113.25327965,1402.33680325,10800,75872.63795,46070.8361333,29801.8018167,4372.7346,3358.6035,0.766197222222,0.6311,1.13686837722e-13,9.09494701773e-13
